Year,TOTAL_RUN_Sockeye,TOTAL_RUN_Pink,TOTAL_RUN_Chinook,TOTAL_RUN_Coho,TOTAL_RUN_Chum,TOTAL_RUN_Steelhead,ESC_Sockeye,ESC_Pink,ESC_Chinook,ESC_Coho,ESC_Chum,ESC_Steelhead
1992,1960000,392000,37000,305000,67000,9000,673000,206000,18000,109000,28000,5000
1993,2151000,1205000,48000,119000,323000,17000,538000,372000,26000,43000,98000,9000
1994,837000,222000,45000,759000,149000,13000,310000,145000,25000,207000,74000,7000
1995,1169000,1010000,23000,151000,113000,6000,265000,402000,9000,47000,49000,3000
1996,1055000,570000,44000,208000,61000,28000,218000,278000,23000,79000,26000,12000
1997,995000,475000,38000,61000,53000,22000,250000,299000,20000,27000,23000,12000
1998,712000,167000,48000,134000,290000,31000,266000,115000,25000,70000,154000,12000
1999,843000,1454000,30000,207000,89000,23000,211000,535000,13000,103000,35000,11000
2000,625000,600000,34700,208000,40000,21000,204000,221000,19000,106000,19000,15000
2001,582000,2093000,52400,374000,90000,27000,169000,760000,32000,195000,30000,13000
2002,1404000,693000,31400,378000,32000,22000,405000,291000,15000,292000,15000,18000
2003,1177000,1155000,46200,261000,87000,25000,264000,854000,28000,141000,65000,17000
2004,985000,782000,33600,222000,82000,11000,216000,493000,17000,99000,49000,5000
2005,667000,1523000,28300,374000,42000,12000,225000,1064000,16000,160000,30000,8000
2006,775000,141000,45800,195000,72000,7000,21000,118000,28000,102000,51000,5000
2007,602000,1015000,41300,282000,21000,22000,165000,647000,25000,142000,11000,6000
2008,380000,55000,30400,193000,4400,18000,218000,45000,22000,115000,3000,14000
2009,575000,912000,40200,479000,28000,47000,245000,723000,30000,312000,20000,27000
2010,439000,203000,27800,277000,10000,25000,229000,180000,21000,148000,9000,20000
2011,557000,180000,19500,209000,8000,30000,277000,116000,11000,98000,6000,23000
2012,477000,302000,17200,256000,18000,16000,203000,231000,10000,115000,16000,14000
2013,504000,1116000,16200,876000,17000,11000,210000,848000,9000,354000,14000,8000
2014,553000,461000,24600,441000,24000,26000,260000,347000,13000,232000,20000,20000
2015,870000,457000,35200,249000,61000,24000,390000,354000,21000,56000,48000,16000
2016,442000,387000,19700,508000,28000,34000,277000,294000,10000,183000,21000,25000
2017,369000,964000,11700,370000,25000,11000,227000,840000,5000,190000,23000,10000
2018,316000,266000,24200,149000,50000,35000,224000,223000,16000,73000,46000,30000
2019,377000,190000,21000,237000,28000,16000,243000,160000,12000,144000,24000,12000
2020,296000,776000,22100,232000,114000,5000,216000,736000,14000,96000,102000,4000
2021,503000,639000,20000,374000,160000,9000,349000,547000,13000,181000,119000,6000
2022,622000,520000,24200,511000,118000,15000,444000,467000,18000,291000,98000,11000
2023,696000,2528000,18900,511000,65000,35000,504000,2242000,14000,270000,54000,27000
2024,760000,1312000,19900,326000,142000,17000,526000,1103000,12000,173000,115000,13000
