Area,System,Species,Survey_type,Conducted_by,Week_of_last_survey,Num_surveys,Count,Avg_Raw_Peak,Avg_Esc_Est
20,HARRIS CREEK,Chinook,Periodic/PL+D,PFN,Oct 6NA12,1,45,40,90
20,LENS CREEK,Chinook,Periodic/PL+D,PFN,Oct 6NA12,1,15,20,40
20,RENFREW CREEK,Chinook,Periodic/PL+D,PFN,Oct 20NA26,1,10,40,40
20,SAN JUAN RIVER,Chinook,Mixed/PL+D,PFN/4Mile Crk,Oct 20NA26,3,2419,1070,1360
20,GORDON RIVER,Chinook,Periodic/PL+D,PFN,Sep 29NA Oct 5,1,79,80,50
21,KLANAWA RIVER,Chinook,Periodic/PL+D,HFN,Oct 27NANov 2,4,0,0,NA
22,NITINAT RIVER,Chinook,Periodic/PL+D,MCWright/Nitinat,Nov 3NA9,6,7296,11830,13560
22,CAMPUS CREEK,Chinook,Periodic/PL+D,Ditidaht/MCWright,Oct 27NANov 2,1,0,50,70
22,WORTHLESS CREEK,Chinook,Periodic/PL+D,MCWright/Nitinat,Oct 27NANov 2,1,0,NA,NA
23,SOMASS SYSTEM,Chinook,Fence/Cumulative,Hup/StAD,Oct 27NANov 2,NA,44774,N/A,N/A
23,SARITA RIVER,Chinook,Periodic/PL+D,HFN,Oct 6NA12,8,3502,1710,1990
23,PACHENA RIVER,Chinook,Periodic/PL+D,HFN,Oct 27NANov 2,2,0,NA,NA
23,TOQUAHT RIVER,Chinook,Periodic/PL+D,TCES,Oct 6NA12,2,125,80,150
23,LITTLE TOQUAHT CREEK,Chinook,Periodic/PL+D,TCES,Oct 27NANov 2,2,0,NA,NA
23,PARADISE CREEK,Chinook,Periodic/PL+D,TCES,Nov 3NA9,1,0,NA,NA
23,CLEMENS CREEK,Chinook,Periodic/PL+D,Redd,Oct 27NANov 2,9,61,30,50
23,EFFINGHAM RIVER,Chinook,Periodic/PL+D,TCES,Oct 20NA26,2,22,20,20
23,NAHMINT RIVER,Chinook,Periodic/PL+D,Redd,Oct 27NANov 2,7,884,390,460
24,BEDWELL RIVER,Chinook,Periodic/PL+D,TSES,Nov 3NA9,5,115,310,460
24,MEGIN RIVER,Chinook,Periodic/PL+D,TSES,Sep 29NA Oct 5,3,30,30,40
24,MOYEHA RIVER,Chinook,Periodic/PL+D,TSES/NTC/Ha'oom,Sep 29NA Oct 5,4,100,90,90
24,CYPRE RIVER,Chinook,Periodic/PL+D,TSES,Oct 20NA26,3,14,200,860
24,SYDNEY RIVER,Chinook,Periodic/PL+D,Redd,Sep 29NA Oct 5,1,5,0,NA
24,WARN BAY CREEK,Chinook,Periodic/PL+D,TSES,Oct 27NANov 2,2,0,10,20
24,TRANQUIL CREEK,Chinook,Periodic/PL+D,TSES,Oct 27NANov 2,5,50,100,220
24,KENNEDY RIVER (UPPER),Chinook,Periodic/PL+D,Ha'oom,Oct 20NA26,3,1,0,10
25,CHUM CREEK,Chinook,Periodic/PL+D,NFN,Oct 27NANov 2,4,1,10,20
25,LITTLE ZEBALLOS RIVER,Chinook,Periodic/PL+D,EFN/Wildcoast,Sept 15NA21,1,1,30,30
25,ZEBALLOS RIVER,Chinook,Periodic/PL+D,EFN/Wildcoast,Oct 20NA26,2,127,170,240
25,ESPINOSA CREEK,Chinook,Periodic/PL+D,NFN,Oct 27NANov 2,4,8,30,40
25,HAMMOND CREEK,Chinook,Periodic/PL+D,EFN/Wildcoast,Oct 20NA26,2,0,0,0
24,ESCALANTE RIVER,Chinook,Periodic/PL+D,Redd,Oct 13NA19,1,1,0,NA
25,BURMAN RIVER,Chinook,Periodic/PL+D,MMFN,Sep 29NA Oct 5,2,630,2490,3960
25,CANTON CREEK,Chinook,Periodic/PL+D,MMFN,Sep 29NA Oct 5,3,95,1560,2340
25,CONUMA RIVER,Chinook,Periodic/PL+D,Ecofish/Conuma,Oct 20NA26,5,22266,12700,18490
25,LEINER RIVER,Chinook,Periodic/PL+D,Ecofish,Oct 27NANov 2,7,402,740,800
25,TAHSIS RIVER,Chinook,Periodic/PL+D,Ecofish,Oct 27NANov 2,6,161,690,690
25,GOLD RIVER,Chinook,Periodic/PL+D,Ecofish,Oct 20NA26,5,4317,4630,3620
26,ARTLISH RIVER,Chinook,Periodic/PL+D,KCFN,Oct 20NA26,4,138,170,320
26,KAOUK RIVER,Chinook,Periodic/PL+D,KCFN,Sep 29NA Oct 5,3,163,280,370
26,MALKSOPE RIVER,Chinook,Periodic/PL+D,KCFN,Sep 29NA Oct 5,2,15,20,30
26,TAHSISH RIVER,Chinook,Periodic/PL+D,StAD/KCFN,Nov 3NA9,6,1488,710,890
27,CAYEGHLE SYSTEM,Chinook,Periodic/PL+D,Wildcoast/Quatsino,Sep 29NA Oct 5,4,109,230,360
27,MARBLE RIVER,Chinook,Periodic/PL+D,Wildcoast/Quatsino,Sep 29NA Oct 5,4,1164,1680,2970
20,HARRIS CREEK,Coho,Periodic/PL+D,PFN,Oct 6NA12,1,415,780,950
20,LENS CREEK,Coho,Periodic/PL+D,PFN,Oct 6NA12,1,10,450,600
20,RENFREW CREEK,Coho,Periodic/PL+D,PFN,Oct 20NA26,1,499,530,580
20,SAN JUAN RIVER,Coho,Mixed/PL+D,PFN/4Mile Crk,Oct 20NA26,3,1911,2110,3580
20,GORDON RIVER,Coho,Periodic/PL+D,PFN,Sep 29NA Oct 5,1,547,800,720
21,KLANAWA RIVER,Coho,Periodic/PL+D,HFN,Oct 27NANov 2,4,252,40,20
22,NITINAT RIVER,Coho,Periodic/PL+D,MCWright/Nitinat,Nov 3NA9,6,1574,2300,3230
22,CAMPUS CREEK,Coho,Periodic/PL+D,Ditidaht/MCWright,Oct 27NANov 2,1,12,30,40
22,HOBITON CREEK,Coho,Periodic/PL+D,Ditidaht/MCWright,Oct 20NA26,1,0,0,20
23,SOMASS SYSTEM,Coho,Fence/Cumulative,Hup/StAD,Oct 27NANov 2,NA,19949,N/A,N/A
23,SUGSAW CREEK,Coho,Periodic/PL+D,HFN,Oct 20NA26,2,0,0,0
23,FREDERICK CREEK,Coho,Periodic/PL+D,HFN,Nov 3NA9,2,0,10,10
23,CARNATION CREEK,Coho,Fence/Cumulative,BC,Nov 3NA9,NA,94,80,100
23,SARITA RIVER,Coho,Periodic/PL+D,HFN,Oct 6NA12,8,265,240,560
23,PACHENA RIVER,Coho,Periodic/PL+D,HFN,Oct 27NANov 2,2,8,80,120
