Area,System,Species,Survey_type,Conducted_by,Week_of_last_survey,Num_surveys,Count,Avg_Raw_Peak,Avg_Esc_Est
20,HARRIS CREEK,Chinook,Periodic/PL+D,PFN,Oct 5-11,1,66,50,90
20,RENFREW CREEK,Chinook,Periodic/PL+D,PFN,Oct 12-18,1,17,40,40
20,SAN JUAN RIVER,Chinook,Mixed/PL+D,PFN/4Mile Crk,Oct 12-18,2,230,"1,240","1,490"
20,GORDON RIVER,Chinook,Periodic/PL+D,PFN,Oct 5-11,1,110,80,60
21,KLANAWA RIVER,Chinook,Periodic/PL+D,HFN,Sept 14-20,1,0,0,-
22,NITINAT RIVER,Chinook,Periodic/PL+D,BCCF/StAD/DFN/Nitinat,Oct 12-18,5,4578,"11,990","14,080"
23,SOMASS SYSTEM,Chinook,Fence/Cumulativ e,Hup/StAD,Oct 19-25,-,45774,N/A,N/A
23,SARITA RIVER,Chinook,Periodic/PL+D,HFN,Oct 12-18,6,2260,"1,980","1,990"
23,PACHENA RIVER,Chinook,Periodic/PL+D,HFN,Oct 12-18,2,0,-,-
23,TOQUAHT RIVER,Chinook,Periodic/PL+D,TCES,Oct 5-11,2,18,80,150
23,LITTLE TOQUAHT CREEK,Chinook,Periodic/PL+D,TCES,Oct 19-25,1,0,-,-
23,CLEMENS CREEK,Chinook,Periodic/PL+D,Redd,Oct 12-18,7,38,40,50
23,EFFINGHAM RIVER,Chinook,Periodic/PL+D,TCES,Oct 5-11,1,1,20,20
23,THORNTON CREEK,Chinook,Periodic/PL+D,TCES,Oct 5-11,3,135,220,910
23,NAHMINT RIVER,Chinook,Periodic/PL+D,Redd,Oct 12-18,5,493,440,460
24,BEDWELL RIVER,Chinook,Periodic/PL+D,TSES,Oct 5-11,3,124,270,460
24,MEGIN RIVER,Chinook,Periodic/PL+D,TSES,Oct 12-18,2,40,30,40
24,MOYEHA RIVER,Chinook,Periodic/PL+D,TSES/NTC/Ha'oom,Oct 5-11,3,135,90,90
24,CYPRE RIVER,Chinook,Periodic/PL+D,TSES,Sep 21-27,2,2,80,860
24,SYDNEY RIVER,Chinook,Periodic/PL+D,Redd,Sept 14-20,1,0,0,-
24,WARN BAY CREEK,Chinook,Periodic/PL+D,TSES,Oct 5-11,1,1,0,20
24,TRANQUIL CREEK,Chinook,Periodic/PL+D,TSES,Oct 5-11,3,112,90,220
24,KENNEDY RIVER (UPPER),Chinook,Periodic/PL+D,Ha'oom,Oct 5-11,3,6,0,10
25,CHUM CREEK,Chinook,Periodic/PL+D,NFN/NTC,Oct 5-11,2,35,10,20
25,LITTLE ZEBALLOS RIVER,Chinook,Periodic/PL+D,EFN/Wildcoast/NTC,Oct 5-11,1,28,10,30
25,ZEBALLOS RIVER,Chinook,Periodic/PL+D,EFN/Wildcoast/NTC,Oct 5-11,2,251,160,240
25,ESPINOSA CREEK,Chinook,Periodic/PL+D,NFN/NTC,Oct 5-11,6,85,30,40
25,ESCALANT E RIVER,Chinook,Periodic/PL+D,Redd,Oct 12-18,1,0,0,-
25,BURMAN RIVER,Chinook,Periodic/PL+D,MMFN/NTC,Oct 12-18,5,1465,"1,660","3,960"
25,CONUMA RIVER,Chinook,Periodic/PL+D,Ecofish/Conuma,Oct 12-18,4,23203,"13,340","18,490"
25,LEINER RIVER,Chinook,Periodic/PL+D,Ecofish,Oct 12-18,4,1119,630,780
25,TAHSIS RIVER,Chinook,Periodic/PL+D,Ecofish,Oct 12-18,4,897,680,690
25,GOLD RIVER,Chinook,Periodic/PL+D,MMFN/Ecofish/NTC,Oct 12-18,4,1361,"4,940","3,620"
26,ARTLISH RIVER,Chinook,Periodic/PL+D,KCFN,Oct 12-18,4,295,170,320
26,KAOUK RIVER,Chinook,Periodic/PL+D,KCFN,Oct 5-11,3,343,270,370
26,MALKSOPE RIVER,Chinook,Periodic/PL+D,KCFN,Sep 21-27,1,7,20,30
26,TAHSISH RIVER,Chinook,Periodic/PL+D,StAD/KCFN,Oct 12-18,6,1012,860,890
27,CAYEGHLE SYSTEM,Chinook,Periodic/PL+D,Wildcoast/Quatsino,Sept 14-20,2,76,220,360
27,MARBLE RIVER,Chinook,Periodic/PL+D,Wildcoast/Quatsino,Sep 21-27,3,491,"1,680","2,970"
20,HARRIS CREEK,Coho,Periodic/PL+D,PFN,Oct 5-11,1,1141,830,990
20,RENFREW CREEK,Coho,Periodic/PL+D,PFN,Oct 12-18,1,553,570,580
20,SAN JUAN RIVER,Coho,Mixed/PL+D,PFN/4Mile Crk,Oct 12-18,2,3755,"2,220","3,120"
20,GORDON RIVER,Coho,Periodic/PL+D,PFN,Oct 5-11,1,815,740,710
21,KLANAWA RIVER,Coho,Periodic/PL+D,HFN,Sept 14-20,1,0,110,160
22,NITINAT RIVER,Coho,Periodic/PL+D,BCCF/StAD/DFN/Nitinat,Oct 12-18,5,3225,"2,240","3,060"
23,SOMASS SYSTEM,Coho,Fence/Cumulative,Hup/StAD,Oct 19-25,-,33124,N/A,N/A
23,SUGSAW CREEK,Coho,Periodic/PL+D,HFN,Oct 19-25,3,0,0,0
23,FREDERICK CREEK,Coho,Periodic/PL+D,HFN,Oct 5-11,2,58,10,10
23,CARNATION CREEK,Coho,Fence/Cumulative,BC,Oct 19-25,-,36,70,100
23,SARITA RIVER,Coho,Periodic/PL+D,HFN,Oct 12-18,6,530,220,560
23,PACHENA RIVER,Coho,Periodic/PL+D,HFN,Oct 12-18,2,0,70,120
23,ROUSSEAU CREEK,Coho,Periodic/PL+D,HFN,Sep 21-27,2,20,150,-
23,TOQUAHT RIVER,Coho,Periodic/PL+D,TCES,Oct 5-11,2,267,480,640
