YEAR,SOCKEYE,COHO,PINK,CHUM,CHINOOK,
1970,26500,24050,432650,24800,800,
1971,16500,14335,6050,44500,500,
1972,17500,26150,329900,8600,1000,
1973,38000,58350,4000,50000,900,
1974,39000,97100,201400,41800,1000,
1975,16500,47000,3950,53050,1500,
1976,40900,153500,285050,53500,700,
1977,36750,55400,4900,60300,800,
1978,20300,61250,217500,56200,600,
1979,20650,34750,3250,32450,400,
1980,33200,17140,290795,14768,600,
1981,23000,18000,3650,26100,750,
1982,28500,35250,362000,70800,1400,
1983,19500,20600,2130,35225,600,
1984,18500,28850,1213900,52775,300,
1985,43200,23700,1875,63800,1500,
1986,13500,32900,838500,82500,500,
1987,9100,32650,4500,51100,2000,
1988,23600,28900,566100,29950,2200,
1989,11200,16550,1300,18975,2800,
1990,200,10270,1389560,4700,2000,
1991,4400,11350,600,1000,1900,
1992,12100,8200,994800,6300,2000,
1993,500,2500,350,50060,1000,
1994,8700,UNK,647000,32150,2000,
1995,7100,UNK,1000,19855,1500,
1996,19300,UNK,2924000,6725,3000,
1997,12000,UNK,UNK,31050,2500,
1998,14000,38400,747200,32100,3000,
1999,15550,28000,2700,33000,3200,
2000,19200,22600,465000,13520,3600,
2001,3900,6674,1,3804,UNK,
2002,9850,13474,939003,7000,3500,
2003,7500,2538,UNK,34081,4000,
2004,10000,719,177500,4000,UNK,
2005,5000,1500,UNK,1650,UNK,
2006,27200,UNK,250250,18300,UNK,
2007,8500,UNK,UNK,1950,UNK,
2008,9100,UNK,607750,600,UNK,
2009,7500,UNK,UNK,35520,UNK,
2010,18025,UNK,1135000,200,UNK,
2011,7000,UNK,UNK,25400,UNK,
2012,19050,UNK,207200,4000,UNK,
2013,9000,UNK,35000,1000,UNK,
2014,19800,UNK,1030000,UNK,UNK,
2015,UNK,UNK,UNK,UNK,UNK,
2016,10600,UNK,250000,8500,UNK,
2017,12500,UNK,UNK,2500,UNK,
2018,6800,UNK,553200,5000,UNK,
2019,5900,UNK,UNK,14000,UNK,
2020,7900,UNK,802400,UNK,UNK,
2021,6200,UNK,UNK,UNK,UNK,
2022,24600,UNK,844000,UNK,UNK,
2023,32100,UNK,UNK,28000,UNK,
2024,24300,UNK,585000,1000,UNK,
