"Stock","Year","Period","Escapement","Smsy","Umsy","LowerGoal","RateType","Rate"
"Situk",1975,"1975-1984",NA,NA,0.81008208,500,"calendar year exploitation rate",NA
"Situk",1976,"1975-1984",1421,NA,0.81008208,500,"calendar year exploitation rate",0.390389447
"Situk",1977,"1975-1984",1732,NA,0.81008208,500,"calendar year exploitation rate",0.369339148
"Situk",1978,"1975-1984",808,NA,0.81008208,500,"calendar year exploitation rate",0.367908309
"Situk",1979,"1975-1984",1284,NA,0.81008208,500,"calendar year exploitation rate",0.432178699
"Situk",1980,"1975-1984",905,NA,0.81008208,500,"calendar year exploitation rate",0.466082996
"Situk",1981,"1975-1984",702,NA,0.81008208,500,"calendar year exploitation rate",0.50226886
"Situk",1982,"1975-1984",434,NA,0.81008208,500,"calendar year exploitation rate",0.31395451
"Situk",1983,"1975-1984",592,NA,0.81008208,500,"calendar year exploitation rate",0.307583934
"Situk",1984,"1975-1984",1726,NA,0.81008208,500,"calendar year exploitation rate",0.246355373
"Situk",1985,"1985-1998",1521,NA,0.81008208,500,"calendar year exploitation rate",0.242877068
"Situk",1986,"1985-1998",2067,NA,0.81008208,500,"calendar year exploitation rate",0.097507042
"Situk",1987,"1985-1998",1379,NA,0.81008208,500,"calendar year exploitation rate",0.388848753
"Situk",1988,"1985-1998",868,NA,0.81008208,500,"calendar year exploitation rate",0.273188915
"Situk",1989,"1985-1998",637,NA,0.81008208,500,"calendar year exploitation rate",0.375300336
"Situk",1990,"1985-1998",628,NA,0.81008208,500,"calendar year exploitation rate",0.313411079
"Situk",1991,"1985-1998",889,NA,0.81008208,500,"calendar year exploitation rate",0.452263196
"Situk",1992,"1985-1998",1595,NA,0.81008208,500,"calendar year exploitation rate",0.466161343
"Situk",1993,"1985-1998",952,NA,0.81008208,500,"calendar year exploitation rate",0.429764022
"Situk",1994,"1985-1998",1271,NA,0.81008208,500,"calendar year exploitation rate",0.549544843
"Situk",1995,"1985-1998",4330,NA,0.81008208,500,"calendar year exploitation rate",0.647665897
"Situk",1996,"1985-1998",1800,NA,0.81008208,500,"calendar year exploitation rate",0.66249287
"Situk",1997,"1985-1998",1878,NA,0.81008208,500,"calendar year exploitation rate",0.532636287
"Situk",1998,"1985-1998",924,NA,0.81008208,500,"calendar year exploitation rate",0.646175695
"Situk",1999,"1999-2008",1461,NA,0.81008208,500,"calendar year exploitation rate",0.687532189
"Situk",2000,"1999-2008",1785,NA,0.81008208,500,"calendar year exploitation rate",0.489378039
"Situk",2001,"1999-2008",656,NA,0.81008208,500,"calendar year exploitation rate",0.642536089
"Situk",2002,"1999-2008",1000,NA,0.81008208,500,"calendar year exploitation rate",0.308584752
"Situk",2003,"1999-2008",2117,NA,0.81008208,500,"calendar year exploitation rate",0.552529531
"Situk",2004,"1999-2008",757,NA,0.81008208,500,"calendar year exploitation rate",0.598559247
"Situk",2005,"1999-2008",610,NA,0.81008208,500,"calendar year exploitation rate",0.158330459
"Situk",2006,"1999-2008",747,NA,0.81008208,500,"calendar year exploitation rate",0.212399178
"Situk",2007,"1999-2008",677,NA,0.81008208,500,"calendar year exploitation rate",0.260265764
