"Chapter","Region","Species","Year","Spawners","Harvest","Harvest Rate","Returns","Data Source"
2,"Nass River","Sockeye",1982,350008.522103124,570748.477896876,0.619868736156094,920757,"LGL Spreadsheet - Table 11"
2,"Nass River","Sockeye",1983,209431.32879941,405941.67120059,0.659667666928172,615373,"LGL Spreadsheet - Table 11"
2,"Nass River","Sockeye",1984,201972.130787376,341060.869212624,0.628066561723917,543033,"LGL Spreadsheet - Table 11"
2,"Nass River","Sockeye",1985,407046.140378834,434261,0.516052318668252,841307.140378834,"LGL Spreadsheet - Table 11"
2,"Nass River","Sockeye",1986,213695.694924444,445184,0.67629179331307,658879.694924444,"LGL Spreadsheet - Table 11"
2,"Nass River","Sockeye",1987,210162.330204589,352702,0.626334519572954,562864.33020459,"LGL Spreadsheet - Table 11"
2,"Nass River","Sockeye",1988,155793.957248263,245346,0.613466334164589,401139.957248263,"LGL Spreadsheet - Table 11"
2,"Nass River","Sockeye",1989,127416.872872636,459265,0.783276450511945,586681.872872636,"LGL Spreadsheet - Table 11"
2,"Nass River","Sockeye",1990,177462.353688758,282162,0.61437908496732,459624.353688758,"LGL Spreadsheet - Table 11"
2,"Nass River","Sockeye",1991,308716.697046355,650280,0.678496868475992,958996.697046355,"LGL Spreadsheet - Table 11"
2,"Nass River","Sockeye",1992,672837.804388767,1287240,0.657142857142857,1960077.80438877,"LGL Spreadsheet - Table 11"
2,"Nass River","Sockeye",1993,538259.655482784,1612322,0.749767441860465,2150581.65548278,"LGL Spreadsheet - Table 11"
2,"Nass River","Sockeye",1994,310043,527094,0.62962962962963,837137,"LGL Spreadsheet - Table 11"
2,"Nass River","Sockeye",1995,264685,904042,0.773972602739726,1168727,"LGL Spreadsheet - Table 11"
2,"Nass River","Sockeye",1996,218116,836487,0.793168880455408,1054603,"LGL Spreadsheet - Table 11"
2,"Nass River","Sockeye",1997,250456,744303,0.748490945674044,994759,"LGL Spreadsheet - Table 11"
2,"Nass River","Sockeye",1998,266458,445320,0.625879043600563,711778,"LGL Spreadsheet - Table 11"
2,"Nass River","Sockeye",1999,210957,631847,0.750832338640209,842804,"LGL Spreadsheet - Table 11"
2,"Nass River","Sockeye",2000,204407,421575,0.674112555772281,625982,"LGL Spreadsheet - Table 11"
2,"Nass River","Sockeye",2001,167253,413358,0.712374443694283,580611,"LGL Spreadsheet - Table 11"
2,"Nass River","Sockeye",2002,405473,998502,0.711533530487701,1403975,"LGL Spreadsheet - Table 11"
2,"Nass River","Sockeye",2003,263688,913784,0.776640123926514,1177472,"LGL Spreadsheet - Table 11"
2,"Nass River","Sockeye",2004,215856.736652355,770238,0.78196893209397,986094.736652355,"LGL Spreadsheet - Table 11"
2,"Nass River","Sockeye",2005,224559.040699046,442318,0.664107485604607,666877.040699046,"LGL Spreadsheet - Table 11"
2,"Nass River","Sockeye",2006,250641.90834824,524469,0.677465133980983,775110.90834824,"LGL Spreadsheet - Table 11"
2,"Nass River","Sockeye",2007,164747.251339213,437463,0.727668845315904,602210.251339213,"LGL Spreadsheet - Table 11"
2,"Nass River","Sockeye",2008,218375.302569412,162021,0.426914512995633,380396.302569412,"LGL Spreadsheet - Table 11"
2,"Nass River","Sockeye",2009,244900,330436,0.575899995828525,575336,"LGL Spreadsheet - Table 11"
2,"Nass River","Sockeye",2010,229010,209931,0.478289792933447,438941,"LGL Spreadsheet - Table 11"
2,"Nass River","Sockeye",2011,276700,280011,0.5042302096244,556711,"LGL Spreadsheet - Table 11"
