CU_Name,CU_ID,Year,NatOrigSpn,HatchOrigSpn
Okanagan_1.x,CK-01,1953,NA,NA
Okanagan_1.x,CK-01,1954,NA,NA
Okanagan_1.x,CK-01,1955,NA,NA
Okanagan_1.x,CK-01,1956,NA,NA
Okanagan_1.x,CK-01,1957,NA,NA
Okanagan_1.x,CK-01,1958,NA,NA
Okanagan_1.x,CK-01,1959,NA,NA
Okanagan_1.x,CK-01,1960,NA,NA
Okanagan_1.x,CK-01,1961,NA,NA
Okanagan_1.x,CK-01,1962,NA,NA
Okanagan_1.x,CK-01,1963,NA,NA
Okanagan_1.x,CK-01,1964,NA,NA
Okanagan_1.x,CK-01,1965,NA,NA
Okanagan_1.x,CK-01,1966,NA,NA
Okanagan_1.x,CK-01,1967,NA,NA
Okanagan_1.x,CK-01,1968,NA,NA
Okanagan_1.x,CK-01,1969,NA,NA
Okanagan_1.x,CK-01,1970,NA,NA
Okanagan_1.x,CK-01,1971,NA,NA
Okanagan_1.x,CK-01,1972,NA,NA
Okanagan_1.x,CK-01,1973,NA,NA
Okanagan_1.x,CK-01,1974,NA,NA
Okanagan_1.x,CK-01,1975,NA,NA
Okanagan_1.x,CK-01,1976,NA,NA
Okanagan_1.x,CK-01,1977,NA,NA
Okanagan_1.x,CK-01,1978,NA,NA
Okanagan_1.x,CK-01,1979,NA,NA
Okanagan_1.x,CK-01,1980,NA,NA
Okanagan_1.x,CK-01,1981,NA,NA
Okanagan_1.x,CK-01,1982,NA,NA
Okanagan_1.x,CK-01,1983,NA,NA
Okanagan_1.x,CK-01,1984,NA,NA
Okanagan_1.x,CK-01,1985,NA,NA
Okanagan_1.x,CK-01,1986,NA,NA
Okanagan_1.x,CK-01,1987,NA,NA
Okanagan_1.x,CK-01,1988,NA,NA
Okanagan_1.x,CK-01,1989,NA,NA
Okanagan_1.x,CK-01,1990,NA,NA
Okanagan_1.x,CK-01,1991,NA,NA
Okanagan_1.x,CK-01,1992,NA,NA
Okanagan_1.x,CK-01,1993,NA,NA
Okanagan_1.x,CK-01,1994,NA,NA
Okanagan_1.x,CK-01,1995,NA,NA
Okanagan_1.x,CK-01,1996,NA,NA
Okanagan_1.x,CK-01,1997,NA,NA
Okanagan_1.x,CK-01,1998,NA,NA
Okanagan_1.x,CK-01,1999,NA,NA
Okanagan_1.x,CK-01,2000,NA,NA
Okanagan_1.x,CK-01,2001,NA,NA
Okanagan_1.x,CK-01,2002,NA,NA
Okanagan_1.x,CK-01,2003,NA,NA
Okanagan_1.x,CK-01,2004,NA,NA
Okanagan_1.x,CK-01,2005,NA,NA
Okanagan_1.x,CK-01,2006,33,1
Okanagan_1.x,CK-01,2007,7,0
Okanagan_1.x,CK-01,2008,11,3
Okanagan_1.x,CK-01,2009,6,0
Okanagan_1.x,CK-01,2010,5,0
Okanagan_1.x,CK-01,2011,17,4
Okanagan_1.x,CK-01,2012,10,1
Okanagan_1.x,CK-01,2013,35,5
Okanagan_1.x,CK-01,2014,46,7
Okanagan_1.x,CK-01,2015,56,5
Okanagan_1.x,CK-01,2016,38,2
Okanagan_1.x,CK-01,2017,51,4
Okanagan_1.x,CK-01,2018,9,1
Okanagan_1.x,CK-01,2019,14,1
Okanagan_1.x,CK-01,2020,73,6
Okanagan_1.x,CK-01,2021,73,0
Okanagan_1.x,CK-01,2022,23,0
Okanagan_1.x,CK-01,2023,12,8
