ReturnYear,ConservationUnit,Total.Prefishery.Abundance,Total.Return,Natural.Returns,Hatchery Returns
1984,Fraser Canyon,46713,14925,14925,0
1985,Fraser Canyon,31561,10084,10084,0
1986,Fraser Canyon,33258,11403,11403,0
1987,Fraser Canyon,28495,13187,13187,0
1988,Fraser Canyon,55758,16060,16060,0
1989,Fraser Canyon,31582,11206,11206,0
1990,Fraser Canyon,26987,7110,7110,0
1991,Fraser Canyon,14492,4674,4674,0
1992,Fraser Canyon,40498,7506,7506,0
1993,Fraser Canyon,19325,2406,2406,0
1994,Fraser Canyon,7673,4348,4348,0
1995,Fraser Canyon,8026,3519,3519,0
1996,Fraser Canyon,8926,1473,1473,0
1997,Fraser Canyon,3300,1964,1964,0
1998,Fraser Canyon,5874,5460,5460,0
1999,Fraser Canyon,4502,4096,4096,0
2000,Fraser Canyon,2819,2719,2719,0
2001,Fraser Canyon,6427,5971,5971,0
2002,Fraser Canyon,4141,3817,3817,0
2003,Fraser Canyon,5227,4552,4552,0
2004,Fraser Canyon,6760,5872,5872,0
2005,Fraser Canyon,2608,2269,2269,0
2006,Fraser Canyon,1772,1605,1605,0
2007,Fraser Canyon,3084,2739,2739,0
2008,Fraser Canyon,1262,1138,1138,0
2009,Fraser Canyon,2608,2308,2308,0
2010,Fraser Canyon,2486,2227,2227,0
2011,Fraser Canyon,3647,3189,3189,0
2012,Fraser Canyon,5781,5134,5134,0
2013,Fraser Canyon,6443,5398,5398,0
2014,Fraser Canyon,1537,1048,1048,0
2015,Fraser Canyon,428,352,352,0
2016,Fraser Canyon,1251,1160,1160,0
2017,Fraser Canyon,1835,1657,1657,0
2018,Fraser Canyon,5800,4916,4916,0
2019,Fraser Canyon,4162,3259,3259,0
2020,Fraser Canyon,6154,5311,5311,0
2021,Fraser Canyon,2621,2372,2372,0
2022,Fraser Canyon,7550,6420,6420,0
1984,Lower Thompson,21595,6900,6894,5
1985,Lower Thompson,14192,4534,4534,0
1986,Lower Thompson,14056,4819,4819,0
1987,Lower Thompson,14248,6594,6502,92
1988,Lower Thompson,23528,6777,5176,1601
1989,Lower Thompson,20283,7197,3816,3382
1990,Lower Thompson,33792,8902,7277,1625
1991,Lower Thompson,23682,7638,5885,1753
1992,Lower Thompson,46912,8695,6194,2501
1993,Lower Thompson,131746,16401,14557,1844
1994,Lower Thompson,19593,11103,5830,5272
1995,Lower Thompson,14031,6151,6104,47
1996,Lower Thompson,14671,2421,1557,865
1997,Lower Thompson,13626,8109,6473,1636
1998,Lower Thompson,2784,2587,553,2034
1999,Lower Thompson,5096,4636,1849,2787
2000,Lower Thompson,5443,5207,2447,2760
2001,Lower Thompson,10924,10148,5030,5118
2002,Lower Thompson,18067,16654,6068,10586
2003,Lower Thompson,3803,3289,1935,1354
2004,Lower Thompson,5195,4506,2811,1695
2005,Lower Thompson,3288,2861,2092,769
2006,Lower Thompson,1353,1226,1207,19
2007,Lower Thompson,11641,10327,9121,1206
2008,Lower Thompson,4333,3909,3504,405
2009,Lower Thompson,5603,4916,3961,955
