Year,Management Group,Spawning Escapement,Run Size Adjustment (RSA),U.S. Catch,Canada Catch,Test Fishing Catch,Total Catch,Run Size,In-season Run Size
1893,Total Fraser,8050000,NA,NA,NA,NA,8290000,16340000,NA
1894,Total Fraser,2300000,NA,NA,NA,NA,4545000,6845000,NA
1895,Total Fraser,1835000,NA,NA,NA,NA,5515000,7350000,NA
1896,Total Fraser,660000,NA,NA,NA,NA,4500000,5160000,NA
1897,Total Fraser,11200000,NA,NA,NA,NA,16865000,28065000,NA
1898,Total Fraser,540000,NA,NA,NA,NA,5095000,5635000,NA
1899,Total Fraser,1420000,NA,NA,NA,NA,12155000,13575000,NA
1900,Total Fraser,380000,NA,NA,NA,NA,4435000,4815000,NA
1901,Total Fraser,12600000,NA,NA,NA,NA,27595000,40195000,NA
1902,Total Fraser,450000,NA,NA,NA,NA,7230000,7680000,NA
1903,Total Fraser,470000,NA,NA,NA,NA,4300000,4770000,NA
1904,Total Fraser,200000,NA,NA,NA,NA,2490000,2690000,NA
1905,Total Fraser,10150000,NA,NA,NA,NA,21920000,32070000,NA
1906,Total Fraser,435000,NA,NA,NA,NA,4160000,4595000,NA
1907,Total Fraser,200000,NA,NA,NA,NA,1805000,2005000,NA
1908,Total Fraser,190000,NA,NA,NA,NA,2805000,2995000,NA
1909,Total Fraser,4730000,NA,NA,NA,NA,23120000,27850000,NA
1910,Total Fraser,765000,NA,NA,NA,NA,4575000,5340000,NA
1911,Total Fraser,165000,NA,NA,NA,NA,2230000,2395000,NA
1912,Total Fraser,345000,NA,NA,NA,NA,3485000,3830000,NA
1913,Total Fraser,6450000,NA,NA,NA,NA,32335000,38785000,NA
1914,Total Fraser,670000,NA,NA,NA,NA,5815000,6485000,NA
1915,Total Fraser,370000,NA,NA,NA,NA,1855000,2225000,NA
1916,Total Fraser,130000,NA,NA,NA,NA,1335000,1465000,NA
1917,Total Fraser,615000,NA,NA,NA,NA,7180000,7795000,NA
1918,Total Fraser,85000,NA,NA,NA,NA,840000,925000,NA
1919,Total Fraser,240000,NA,NA,NA,NA,1285000,1525000,NA
1920,Total Fraser,200000,NA,NA,NA,NA,1215000,1415000,NA
1921,Total Fraser,215000,NA,NA,NA,NA,1695000,1910000,NA
1922,Total Fraser,420000,NA,NA,NA,NA,1110000,1530000,NA
1923,Total Fraser,305000,NA,NA,NA,NA,885000,1190000,NA
1924,Total Fraser,265000,NA,NA,NA,NA,1250000,1515000,NA
1925,Total Fraser,180000,NA,NA,NA,NA,1890000,2070000,NA
1926,Total Fraser,630000,NA,NA,NA,NA,1720000,2350000,NA
1927,Total Fraser,620000,NA,NA,NA,NA,1980000,2600000,NA
1928,Total Fraser,130000,NA,NA,NA,NA,1064000,1194000,NA
1929,Total Fraser,300000,NA,NA,NA,NA,2281000,2581000,NA
1930,Total Fraser,2625000,NA,NA,NA,NA,4969000,7594000,NA
1931,Total Fraser,220000,NA,NA,NA,NA,1715000,1935000,NA
1932,Total Fraser,245000,NA,NA,NA,NA,1882000,2127000,NA
1933,Total Fraser,345000,NA,NA,NA,NA,2637000,2982000,NA
1934,Total Fraser,1390000,NA,NA,NA,NA,5337000,6727000,NA
1935,Total Fraser,295000,NA,NA,NA,NA,1933000,2228000,NA
1936,Total Fraser,590000,NA,NA,NA,NA,3045000,3635000,NA
1937,Total Fraser,680000,NA,NA,NA,NA,2628000,3308000,NA
1938,Total Fraser,888584,NA,NA,NA,NA,3500000,4388584,NA
1939,Total Fraser,157769,NA,NA,NA,NA,1458000,1615769,NA
1940,Total Fraser,552476,NA,NA,NA,NA,2187000,2739476,NA
1941,Total Fraser,541515,NA,NA,NA,NA,4303000,4844515,NA
1942,Total Fraser,2884524,NA,NA,NA,NA,8765000,11649524,NA
1943,Total Fraser,242724,NA,NA,NA,NA,724000,966724,NA
1944,Total Fraser,315934,NA,NA,NA,NA,1574000,1889934,NA
1945,Total Fraser,553839,NA,NA,NA,NA,1813000,2366839,NA
1946,Total Fraser,2915964,NA,NA,NA,NA,8211635,11127599,NA
1947,Total Fraser,650082,NA,NA,NA,NA,674530,1324612,NA
1948,Total Fraser,1015551,NA,NA,NA,NA,2052047,3067598,NA
1949,Total Fraser,1085549,NA,NA,NA,NA,2471353,3556902,NA
1950,Total Fraser,1790393,NA,NA,NA,NA,2559148,4349541,NA
1951,Total Fraser,606154,NA,NA,NA,NA,2802000,3408154,NA
1952,Early Stuart,33582,NA,64771,93360,NA,158132,191714,NA
1952,Early Summer,87026,NA,139764,139248,NA,279013,366039,NA
1952,Late,141350,NA,157617,235795,NA,393413,534763,NA
1952,Summer,583620,NA,746524,769610,NA,1516135,2099755,NA
1952,Total Fraser,845578,NA,1108677,1238015,NA,2346693,3192271,NA
1953,Early Stuart,154312,NA,446133,364817,NA,810951,965263,NA
1953,Early Summer,83212,NA,206589,184643,NA,391234,474446,NA
1953,Late,299293,NA,271141,410956,NA,682098,981391,NA
1953,Summer,757381,NA,1117143,1128388,NA,2245532,3002913,NA
1953,Total Fraser,1294198,NA,2041008,2088806,NA,4129815,5424013,NA
1954,Early Stuart,35058,NA,104523,81987,NA,186511,221569,NA
1954,Early Summer,59248,NA,170008,133765,NA,303775,363023,NA
1954,Late,2127724,NA,4342740,3527356,4693,7874790,10002514,NA
1954,Summer,225234,NA,565294,688153,29,1253478,1478712,NA
1954,Total Fraser,2447264,NA,5182567,4431262,4723,9618554,12065818,NA
1955,Early Stuart,2170,NA,53842,59693,1,113537,115707,NA
1955,Early Summer,41600,NA,128369,113269,73,241713,283313,NA
1955,Late,136940,NA,354070,513698,354,868123,1005063,NA
1955,Summer,202529,NA,466004,489071,299,955375,1157904,NA
1955,Total Fraser,383239,17486,1002286,1175733,728,2178748,2579473,NA
1956,Early Stuart,25157,NA,27572,33975,1,61550,86707,NA
1956,Early Summer,52988,NA,71522,83000,76,154599,207587,NA
1956,Late,91544,NA,118228,163996,29,282254,373798,NA
1956,Summer,703011,NA,670878,693612,310,1364802,2067813,NA
1956,Total Fraser,872700,NA,888202,974584,417,1863205,2735905,NA
1957,Early Stuart,235033,NA,204827,76482,316,281626,516659,NA
1957,Early Summer,104744,NA,216688,161464,424,378577,483321,NA
1957,Late,373750,NA,407513,335475,19,743010,1116760,NA
1957,Summer,947600,NA,815493,919463,961,1735918,2683518,NA
1957,Total Fraser,1661127,NA,1644523,1492886,1721,3139131,4800258,NA
1958,Early Stuart,38812,NA,4657,114208,NA,118866,157678,NA
1958,Early Summer,113240,NA,123683,367190,396,491271,604511,NA
1958,Late,2403439,NA,4832459,7457130,4575,12294165,14697604,NA
1958,Summer,305387,NA,542817,1445213,1827,1989858,2295245,NA
1958,Total Fraser,2860878,NA,5503618,9383742,6799,14894160,17755038,NA
1959,Early Stuart,2670,NA,1703,3806,NA,5510,8180,NA
1959,Early Summer,117444,NA,270832,148896,326,420055,537499,NA
1959,Late,231170,NA,586477,695610,1952,1284041,1515211,NA
1959,Summer,598047,NA,949765,796768,1214,1747748,2345795,NA
1959,Total Fraser,949331,NA,1808778,1645081,3493,3457354,4406685,NA
