year,runsize,escapement
1996,1240777,1118447
1997,1118447,961165
1998,4071845,3381553
1999,3084466,2796117
2000,821359,664078
2001,3390291,3040777
2002,2700000,2245631
2003,2000971,1450485
2004,3346602,2612621
2005,1800000,1293204
2006,2682524,1869903
2007,1384951,1022330
2008,1223301,943689
2009,803883,463107
2010,655340,594175
2011,1424272,1031068
2012,1703883,1354369
2013,1433010,961165
2014,1511650,1127184
2015,1450485,926214
2016,2953398,1939806
2017,1066019,629126
2018,786408,655340
2019,323301,297087
2020,690291,550485
2021,550485,524272
2022,1240777,1109709
2023,655340,602913
2024,1126000,NA
