year,escapement,harvest,rec_harvest,total_run
1996,NA,91188,0,NA
1997,NA,121412,0,NA
1998,3471851,204064,4327,3680242
1999,2894103,270953,6915,3171971
2000,667730,66724,5,734459
2001,3014752,224838,10599,3250189
2002,2260681,187557,6961,2455199
2003,1470262,153388,3231,1626881
2004,2664646,254434,4384,2923464
2005,1373327,181122,1663,1556112
2006,2078453,404073,6277,2488803
2007,1054935,158768,4564,1218267
2008,958115,171902,4697,1134714
2009,643880,141089,3199,788168
2010,645328,38658,6279,690265
2011,1115873,119907,324,1236104
2012,1523901,246126,6940,1776967
2013,979906,305259,3498,1288663
2014,1141803,251164,3276,1396243
2015,985248,311853,2634,1299735
2016,1988604,439548,3295,2431447
2017,665119,269744,2569,937432
2018,706948,101056,5115,813119
2019,316507,22501,923,339931
2020,553359,86671,6618,646648
2021,536961,28242,1033,566236
2022,1141649,80172,8291,1230112
2023,620000,5033,0,625033
2024,1128000,22130,0,1150130
