year,spawners_naturalOrigin,spawners_hatcheryOrigin,spawners,runsize,source
1984,85145,12,85158,266537,"Marissa Glavas, pers. comm."
1985,56176,273,56449,176682,"Marissa Glavas, pers. comm."
1986,65958,1544,67502,196882,"Marissa Glavas, pers. comm."
1987,71336,7770,79106,170933,"Marissa Glavas, pers. comm."
1988,87021,7952,94973,329729,"Marissa Glavas, pers. comm."
1989,60347,9395,69741,196551,"Marissa Glavas, pers. comm."
1990,42352,5380,47731,181179,"Marissa Glavas, pers. comm."
1991,27219,5471,32690,101353,"Marissa Glavas, pers. comm."
1992,46546,5937,52483,283155,"Marissa Glavas, pers. comm."
1993,32950,2991,35940,288698,"Marissa Glavas, pers. comm."
1994,30528,7015,37543,66252,"Marissa Glavas, pers. comm."
1995,27633,1385,29018,66191,"Marissa Glavas, pers. comm."
1996,11475,1041,12514,75828,"Marissa Glavas, pers. comm."
1997,19559,2357,21916,36826,"Marissa Glavas, pers. comm."
1998,25622,2575,28197,30335,"Marissa Glavas, pers. comm."
1999,21517,3099,24616,27058,"Marissa Glavas, pers. comm."
2000,19057,4456,23513,24423,"Marissa Glavas, pers. comm."
2001,54225,8753,62979,67792,"Marissa Glavas, pers. comm."
2002,42783,14787,57570,62454,"Marissa Glavas, pers. comm."
2003,20347,2152,22500,25862,"Marissa Glavas, pers. comm."
2004,39266,2760,42025,48390,"Marissa Glavas, pers. comm."
2005,13226,1277,14503,16668,"Marissa Glavas, pers. comm."
2006,9911,29,9940,10972,"Marissa Glavas, pers. comm."
2007,57993,2227,60220,67835,"Marissa Glavas, pers. comm."
2008,16358,980,17339,19222,"Marissa Glavas, pers. comm."
2009,21638,1559,23197,26260,"Marissa Glavas, pers. comm."
2010,38554,2175,40729,45543,"Marissa Glavas, pers. comm."
2011,25943,2475,28419,32575,"Marissa Glavas, pers. comm."
2012,55340,2220,57560,65036,"Marissa Glavas, pers. comm."
2013,56285,2359,58645,70022,"Marissa Glavas, pers. comm."
2014,18197,1404,19601,28741,"Marissa Glavas, pers. comm."
2015,11621,1229,12849,15645,"Marissa Glavas, pers. comm."
2016,63418,2190,65609,70805,"Marissa Glavas, pers. comm."
2017,23517,1277,24794,27550,"Marissa Glavas, pers. comm."
2018,32489,1491,33980,40195,"Marissa Glavas, pers. comm."
2019,40750,3233,43984,56174,"Marissa Glavas, pers. comm."
2020,67295,5518,72813,84891,"Marissa Glavas, pers. comm."
2021,77337,10303,87639,96839,"Marissa Glavas, pers. comm."
2022,69464,3342,72806,85730,"Marissa Glavas, pers. comm."
2023,,,68435,77348,https://frasersalmon.ca/wp-content/uploads/2025/02/2025-Forum-2_Richmond_Chum-and-Coho.pdf
2024,93800,,93800,,https://frasersalmon.ca/wp-content/uploads/2025/02/2025-Forum-2_Richmond_Chum-and-Coho.pdf
