,Year,Okanagan-Bound Sockeye,Hatchery Origin Proportion (%),Osoyoos Natural Proportion (%),Skaha Natural Proportion (%),Hatchery-Origin,Osoyoos Natural-Origin,Osoyoos Natural + Hatchery-Origin,Skaha Natural-Origin,Skaha Natural + Hatchery-Origin
1,1977,33172,0,1,0,0,33172,33172,0,0
2,1978,11923,0,1,0,0,11923,11923,0,0
3,1979,34980,0,1,0,0,34980,34980,0,0
4,1980,39114,0,1,0,0,39114,39114,0,0
5,1981,42346,0,1,0,0,42346,42346,0,0
6,1982,24443,0,1,0,0,24443,24443,0,0
7,1983,35596,0,1,0,0,35596,35596,0,0
8,1984,126550,0,1,0,0,126550,126550,0,0
9,1985,121669,0,1,0,0,121669,121669,0,0
10,1986,53526,0,1,0,0,53526,53526,0,0
11,1987,99424,0,1,0,0,99424,99424,0,0
12,1988,85520,0,1,0,0,85520,85520,0,0
13,1989,20877,0,1,0,0,20877,20877,0,0
14,1990,12401,0,1,0,0,12401,12401,0,0
15,1991,43001,0,1,0,0,43001,43001,0,0
16,1992,66398,0,1,0,0,66398,66398,0,0
17,1993,40108,0,1,0,0,40108,40108,0,0
18,1994,2496,0,1,0,0,2496,2496,0,0
19,1995,5987,0,1,0,0,5987,5987,0,0
20,1996,23067,0,1,0,0,23067,23067,0,0
21,1997,36440,0,1,0,0,36440,36440,0,0
22,1998,8650,0,1,0,0,8650,8650,0,0
23,1999,14036,0,1,0,0,14036,14036,0,0
24,2000,76888,0,1,0,0,76888,76888,0,0
25,2001,88791,0,1,0,0,88791,88791,0,0
26,2002,16596,0,1,0,0,16596,16596,0,0
27,2003,35017,0,1,0,0,35017,35017,0,0
28,2004,93755,0,1,0,0,93755,93755,0,0
29,2005,59998,0,1,0,0,59998,59998,0,0
30,2006,27831,0,1,0,0,27831,27831,0,0
31,2007,23403,0.123,0.877,0,2879,20524,20524,0,2879
32,2008,198133,0.096,0.904,0,19021,179112,179112,0,19021
33,2009,167293,0.182,0.818,0,30447,136846,136846,0,30447
34,2010,357868,0.105,0.895,0,37576,320292,320292,0,37576
35,2011,172202,0.085,0.915,0,14637,157565,157565,0,14637
36,2012,471443,0.196,0.804,0,92403,379040,379040,0,92403
37,2013,162857,0.385,0.614,0.001,62700,99994,131344,163,31513
38,2014,550039,0.101,0.833,0.066,55554,458182,458182,36303,91857
39,2015,444300,0.013,0.551,0.436,5776,244809,250585,193715,193715
40,2016,272602,0.007,0.549,0.444,1909,149658,151567,121035,121035
41,2017,59003,0.002,0.236,0.762,118,13925,14043,44960,44960
42,2018,185134,0.063,0.525,0.412,11664,97195,97195,76275,87939
43,2019,56417,0.28,0.449,0.271,15797,25331,25331,15289,31086
44,2020,313273,0.089,0.655,0.256,27881,205194,205194,80198,108079
45,2021,119265,0.205,0.389,0.406,24449,46394,46394,48422,72871
46,2022,584921,0.012,0.725,0.263,7019,424068,424068,153834,160853
47,2023,216659,0.115,0.673,0.212,24915,145812,145812,45932,70847
48,2024,609940,0.063,0.657,0.28,38426,400731,400731,170783,209209
