year,spawners,harvest,enroute_loss,runsize
1980,15807,443,22564,38814
1981,16938,1330,23781,42049
1982,11703,595,15195,27493
1983,16761,1498,20555,38814
1984,53721,28575,60022,142318
1985,31946,48531,42434,122911
1986,15472,6818,26228,48518
1987,21090,45023,34157,100270
1988,20653,37950,20642,79245
1989,17947,937,24782,43666
1990,6261,714,5963,12938
1991,19738,1663,19030,40431
1992,33184,1538,26734,61456
1993,17151,2460,20820,40431
1994,1977,217,1041,3235
1995,4581,329,0,4910
1996,17035,1125,6099,24259
1997,11996,1544,22040,35580
1998,3708,263,4115,8086
1999,5648,642,11500,17790
2000,21838,2502,50054,74394
2001,39024,6333,38740,84097
2002,3560,728,10267,14555
2003,17753,989,16838,35580
2004,41791,3698,46694,92183
2005,31260,2405,26173,59838
2006,20819,1166,7126,29111
2007,13490,1313,4604,19407
2008,126972,9729,41197,177898
2009,64024,25399,44809,134232
2010,182122,68857,88644,339623
2011,45326,21544,106176,173046
2012,103098,153471,215668,472237
2013,42930,24026,99621,166577
2014,194937,119878,249605,564420
2015,20415,74407,343453,438275
2016,87371,101981,82346,271698
2017,35257,12079,9268,56604
2018,56175,51613,58789,166577
2019,29251,4185,24785,58221
2020,79399,87201,184343,350943
2021,19231,28086,72360,119677
2022,109644,175864,298319,583827
2023,32144,53022,125077,210243
