"river","year","infill","neighbour","escapement","pmax"
"artlish_river",1983,"yes","kaouk_river",405.218446601942,0.364077669902913
"artlish_river",1988,"yes","tahsish_river",285.201793721973,0.25624599615631
"bedwell_ursus",1979,"yes","tranquil_creek",12.2844444444444,0.0177777777777778
"bedwell_ursus",1980,"yes","tranquil_creek",153.555555555556,0.222222222222222
"bedwell_ursus",1981,"yes","tranquil_creek",76.7777777777778,0.111111111111111
"bedwell_ursus",1983,"yes","tranquil_creek",61.4222222222222,0.0888888888888889
"bedwell_ursus",1984,"yes","sarita_river",155.475,0.225
"bedwell_ursus",1985,"yes","tranquil_creek",3.07111111111111,0.00444444444444444
"bedwell_ursus",1990,"yes","tranquil_creek",138.2,0.2
"bedwell_ursus",1991,"yes","tranquil_creek",70.6355555555556,0.102222222222222
"bedwell_ursus",1992,"yes","megin_river",123.246135552913,0.178359096313912
"burman_river",1982,"yes","gold_river_aggregate",466.666666666667,0.666666666666667
"colonial_cayeghle_creeks",1979,"yes","marble_river",118.95,0.15
"colonial_cayeghle_creeks",1980,"yes","marble_river",793,1
"colonial_cayeghle_creeks",1981,"yes","marble_river",475.8,0.6
"colonial_cayeghle_creeks",1982,"yes","marble_river",793,1
"colonial_cayeghle_creeks",1983,"yes","marble_river",158.6,0.2
"colonial_cayeghle_creeks",1984,"yes","marble_river",95.16,0.12
"colonial_cayeghle_creeks",1985,"yes","marble_river",152.125537139349,0.191835481890731
"colonial_cayeghle_creeks",1986,"yes","marble_river",133.870472682627,0.168815224063843
"colonial_cayeghle_creeks",1987,"yes","marble_river",212.975751995089,0.268569674647023
"colonial_cayeghle_creeks",1988,"yes","marble_river",398.568907305095,0.502608962553714
"colonial_cayeghle_creeks",1989,"yes","marble_river",508.829496623695,0.641651319828115
"colonial_cayeghle_creeks",1990,"yes","marble_river",414.523787599754,0.302793124616329
"colonial_cayeghle_creeks",1991,"yes","marble_river",149.169736034377,0.108962553713935
"colonial_cayeghle_creeks",1992,"yes","marble_river",168.078575813382,0.122774708410068
"colonial_cayeghle_creeks",1993,"yes","marble_river",420.196439533456,0.306936771025169
"colonial_cayeghle_creeks",1994,"yes","marble_river",136.563842848373,0.0997544505831799
"colonial_cayeghle_creeks",2005,"yes","marble_river",490.999539594843,0.35865561694291
"gold_river_aggregate",2006,"yes","burman_river",562.086956521739,0.0383520030377824
"gold_river_aggregate",2007,"yes","burman_river",219.826086956522,0.0149990506929941
