Year,TyeeEscapement,source_id
1956,20160,ProvBC_20250903
1957,7745,ProvBC_20250903
1958,20994,ProvBC_20250903
1959,11019,ProvBC_20250903
1960,17692,ProvBC_20250903
1961,13500,ProvBC_20250903
1962,24940,ProvBC_20250903
1963,20200,ProvBC_20250903
1964,15851,ProvBC_20250903
1965,20374,ProvBC_20250903
1966,36601,ProvBC_20250903
1967,26585,ProvBC_20250903
1968,18022,ProvBC_20250903
1969,23453,ProvBC_20250903
1970,27597,ProvBC_20250903
1971,18881,ProvBC_20250903
1972,15868,ProvBC_20250903
1973,15475,ProvBC_20250903
1974,12546,ProvBC_20250903
1975,12675,ProvBC_20250903
1976,25444,ProvBC_20250903
1977,16617,ProvBC_20250903
1978,20157,ProvBC_20250903
1979,11509,ProvBC_20250903
1980,22092,ProvBC_20250903
1981,22566,ProvBC_20250903
1982,32946,ProvBC_20250903
1983,10506,ProvBC_20250903
1984,47716,ProvBC_20250903
1985,31767,ProvBC_20250903
1986,36872,ProvBC_20250903
1987,20835,ProvBC_20250903
1988,38344,ProvBC_20250903
1989,18991,ProvBC_20250903
1990,23267,ProvBC_20250903
1991,9723,ProvBC_20250903
1992,11328,ProvBC_20250903
1993,13999,ProvBC_20250903
1994,21866,ProvBC_20250903
1995,19554,ProvBC_20250903
1996,23409,ProvBC_20250903
1997,12714,ProvBC_20250903
1998,59022,ProvBC_20250903
1999,39363,ProvBC_20250903
2000,48741,ProvBC_20250903
2001,26373,ProvBC_20250903
2002,50297,ProvBC_20250903
2003,24422,ProvBC_20250903
2004,NA,ProvBC_20250903
2005,NA,ProvBC_20250903
2006,27500,ProvBC_20250903
2007,NA,ProvBC_20250903
2008,42440,ProvBC_20250903
2009,34180,ProvBC_20250903
2010,50489,ProvBC_20250903
2011,31809,ProvBC_20250903
2012,39964,ProvBC_20250903
2013,24256,ProvBC_20250903
2014,30250,ProvBC_20250903
2015,26553,ProvBC_20250903
2016,42439,ProvBC_20250903
2017,17078,ProvBC_20250903
2018,43238,ProvBC_20250903
2019,15606,ProvBC_20250903
2020,15280,ProvBC_20250903
2021,5164,ProvBC_20250903
2022,15204,ProvBC_20250903
2023,9295,ProvBC_20250903
2024,33313,ProvBC_20250903
2025,11118,ProvBC_20250903
