parameter,location,species,year,datavalue
Year1,Kalum-Early,Chinook,1992,0
Year1,Kalum-Early,Chinook,1993,0
Year1,Kalum-Early,Chinook,1994,0
Year1,Kalum-Early,Chinook,1995,0
Year1,Kalum-Early,Chinook,1996,0
Year1,Kalum-Early,Chinook,1997,0
Year1,Kalum-Late,Chinook,1989,0
Year1,Kalum-Late,Chinook,1990,0
Year1,Kalum-Late,Chinook,1991,0
Year1,Kalum-Late,Chinook,1992,0
Year1,Kalum-Late,Chinook,1993,0
Year1,Kalum-Late,Chinook,1994,0
Year1,Kalum-Late,Chinook,1995,0
Year1,Kalum-Late,Chinook,1996,0
Year1,Kalum-Late,Chinook,1997,0
Year1,Kalum-Late,Chinook,1998,0
Year1,Kalum-Late,Chinook,1999,0
Year1,Kalum-Late,Chinook,2000,0
Year1,Kalum-Late,Chinook,2001,0
Year1,Kalum-Late,Chinook,2002,0
Year1,Kalum-Late,Chinook,2003,0
Year1,Kalum-Late,Chinook,2004,0
Year1,Kalum-Late,Chinook,2005,0
Year1,Kalum-Late,Chinook,2006,0
Year1,Kalum-Late,Chinook,2007,0
Year1,Kalum-Late,Chinook,2008,0
Year1,Kalum-Late,Chinook,2009,0
Year1,Kalum-Late,Chinook,2010,0
Year1,Lower Skeena,Chinook,2008,0
Year1,Middle Skeena-Large Lakes,Chinook,1990,0
Year1,Middle Skeena-Large Lakes,Chinook,1991,0
Year1,Middle Skeena-Large Lakes,Chinook,1992,0
Year1,Middle Skeena-Large Lakes,Chinook,1993,0
Year1,Middle Skeena-Large Lakes,Chinook,1994,0
Year1,Middle Skeena-Large Lakes,Chinook,1995,0
Year1,Middle Skeena-Large Lakes,Chinook,1996,0
Year1,Middle Skeena-Large Lakes,Chinook,1997,0
Year1,Middle Skeena-Large Lakes,Chinook,1998,0
Year1,Middle Skeena-Large Lakes,Chinook,1999,0
Year1,Middle Skeena-Large Lakes,Chinook,2000,0
Year1,Middle Skeena-Large Lakes,Chinook,2001,0
Year1,Middle Skeena-Large Lakes,Chinook,2003,0
Year1,Middle Skeena-Large Lakes,Chinook,2004,0
Year1,Middle Skeena-Large Lakes,Chinook,2005,0
Year1,Middle Skeena-Large Lakes,Chinook,2006,0
Year1,Middle Skeena-Large Lakes,Chinook,2008,0
Year1,Middle Skeena-Large Lakes,Chinook,2010,0
Year1,Middle Skeena-Mainstem Tributaries,Chinook,1989,0
Year1,Middle Skeena-Mainstem Tributaries,Chinook,1990,0
Year1,Middle Skeena-Mainstem Tributaries,Chinook,1991,0
Year1,Middle Skeena-Mainstem Tributaries,Chinook,1996,0
Year1,Middle Skeena-Mainstem Tributaries,Chinook,2005,0
Year1,Middle Skeena-Mainstem Tributaries,Chinook,2006,0
Year1,Middle Skeena-Mainstem Tributaries,Chinook,2009,0
Year1,Middle Skeena-Mainstem Tributaries,Chinook,2010,0
Year1,Upper Bulkley River,Chinook,1989,0
Year1,Upper Bulkley River,Chinook,1990,0
Year1,Upper Bulkley River,Chinook,1991,0
Year1,Upper Bulkley River,Chinook,1992,0
Year1,Upper Bulkley River,Chinook,1993,0
Year1,Upper Bulkley River,Chinook,1994,0
Year1,Upper Bulkley River,Chinook,1995,0
Year1,Upper Bulkley River,Chinook,1996,0
Year1,Upper Bulkley River,Chinook,1998,0
Year1,Upper Bulkley River,Chinook,1999,0
Year1,Upper Bulkley River,Chinook,2000,0
Year1,Upper Bulkley River,Chinook,2002,0
Year1,Upper Bulkley River,Chinook,2006,0
Year1,Upper Skeena,Chinook,1997,0
Year1,Upper Skeena,Chinook,1998,0
Year1,Upper Skeena,Chinook,1999,0
Year1,Upper Skeena,Chinook,2003,0
Year1,Upper Skeena,Chinook,2007,0
Year1,Upper Skeena,Chinook,2008,0
Year1,Upper Skeena,Chinook,2009,0
Year1,Upper Skeena,Chinook,2010,0
Year1,Lower Skeena,Chum,2000,0
Year1,Lower Skeena,Chum,2009,0
Year1,Middle Skeena,Chum,2004,0
Year1,Middle Skeena,Chum,2005,0
Year1,Middle Skeena,Chum,2006,0
Year1,Middle Skeena,Chum,2007,0
Year1,Middle Skeena,Chum,2009,0
Year1,Middle Skeena,Chum,2010,0
Year1,Lower Skeena,Coho,1996,0
Year1,Middle Skeena,Coho,1989,0
Year1,Middle Skeena,Coho,1990,0
Year1,Middle Skeena,Coho,1991,0
Year1,Middle Skeena,Coho,1992,0
Year1,Middle Skeena,Coho,1993,0
Year1,Middle Skeena,Coho,1994,0
Year1,Middle Skeena,Coho,1995,0
Year1,Middle Skeena,Coho,1996,0
Year1,Middle Skeena,Coho,1997,0
Year1,Middle Skeena,Coho,1998,0
Year1,Middle Skeena,Coho,1999,0
Year1,Middle Skeena,Coho,2000,0
Year1,Middle Skeena,Coho,2001,0
Year1,Middle Skeena,Coho,2002,0
Year1,Middle Skeena,Coho,2003,0
Year1,Middle Skeena,Coho,2004,0
Year1,Middle Skeena,Coho,2005,0
Year1,Middle Skeena,Coho,2006,0
Year1,Middle Skeena,Coho,2007,0
Year1,Middle Skeena,Coho,2008,0
Year1,Middle Skeena,Coho,2009,0
Year1,Middle Skeena,Coho,2010,0
Year1,Upper Skeena,Coho,1997,0
Year1,Upper Skeena,Coho,1998,0
Year1,Upper Skeena,Coho,1999,0
Year1,Upper Skeena,Coho,2002,0
Year1,Upper Skeena,Coho,2003,0
Year1,Upper Skeena,Coho,2004,0
Year1,Upper Skeena,Coho,2005,0
Year1,Upper Skeena,Coho,2006,0
Year1,Upper Skeena,Coho,2007,0
Year1,Alastair,Lake sockeye,1989,0
Year1,Alastair,Lake sockeye,1998,0
Year1,Babine-SL,Lake sockeye,1989,0
Year1,Babine-SL,Lake sockeye,1990,0
Year1,Babine-SL,Lake sockeye,1991,0
Year1,Babine-SL,Lake sockeye,1992,0
Year1,Babine-SL,Lake sockeye,1993,0
Year1,Babine-SL,Lake sockeye,1994,0
Year1,Babine-SL,Lake sockeye,1995,0
Year1,Babine-SL,Lake sockeye,1996,0
Year1,Babine-SL,Lake sockeye,1997,0
Year1,Babine-SL,Lake sockeye,1998,0
Year1,Babine-SL,Lake sockeye,1999,0
Year1,Babine-SL,Lake sockeye,2000,0
Year1,Babine-SL,Lake sockeye,2001,0
Year1,Babine-SL,Lake sockeye,2002,0
Year1,Babine-SL,Lake sockeye,2003,0
Year1,Babine-SL,Lake sockeye,2004,0
Year1,Babine-SL,Lake sockeye,2005,0
Year1,Babine-SL,Lake sockeye,2006,0
Year1,Babine-SL,Lake sockeye,2008,0
Year1,Babine-SL,Lake sockeye,2009,0
Year1,Babine-SL,Lake sockeye,2010,0
Year1,Babine (enhanced),Lake sockeye,1989,0
Year1,Babine (enhanced),Lake sockeye,1990,0
Year1,Babine (enhanced),Lake sockeye,1991,0
Year1,Babine (enhanced),Lake sockeye,1992,0
Year1,Babine (enhanced),Lake sockeye,1993,0
Year1,Babine (enhanced),Lake sockeye,1994,0
Year1,Babine (enhanced),Lake sockeye,1995,0
Year1,Babine (enhanced),Lake sockeye,1996,0
Year1,Babine (enhanced),Lake sockeye,1997,0
Year1,Babine (enhanced),Lake sockeye,1998,0
Year1,Babine (enhanced),Lake sockeye,1999,0
Year1,Babine (enhanced),Lake sockeye,2000,0
Year1,Babine (enhanced),Lake sockeye,2001,0
Year1,Babine (enhanced),Lake sockeye,2002,0
Year1,Babine (enhanced),Lake sockeye,2003,0
Year1,Babine (enhanced),Lake sockeye,2004,0
