Species,Region,Year,prov_runsize_raw,prov_runsize_relative
Steelhead,Skeena,1956,20461,31.5721107
Steelhead,Skeena,1957,7385,11.39533931
Steelhead,Skeena,1958,21492,33.1629834
Steelhead,Skeena,1959,10682,16.48273723
Steelhead,Skeena,1960,14343,22.13180117
Steelhead,Skeena,1961,13365,20.62270952
Steelhead,Skeena,1962,24414,37.67174189
Steelhead,Skeena,1963,19752.54154,30.47893202
Steelhead,Skeena,1964,15181.77868,23.42606898
Steelhead,Skeena,1965,19666.39828,30.34600966
Steelhead,Skeena,1966,35980.34409,55.51905609
Steelhead,Skeena,1967,26118.65037,40.30208303
Steelhead,Skeena,1968,17369.31863,26.80152732
Steelhead,Skeena,1969,22992.19035,35.47783486
Steelhead,Skeena,1970,26939.45204,41.5686116
Steelhead,Skeena,1971,18345.19163,28.30733694
Steelhead,Skeena,1972,15303.2477,23.61350035
Steelhead,Skeena,1973,14886.78112,22.97087638
Steelhead,Skeena,1974,12112.7122,18.69038123
Steelhead,Skeena,1975,12272.80944,18.93741744
Steelhead,Skeena,1976,25102.3583,38.73390524
Steelhead,Skeena,1977,16215.97916,25.02188012
Steelhead,Skeena,1978,19499.84053,30.08900465
Steelhead,Skeena,1979,11049.44427,17.04971789
Steelhead,Skeena,1980,21756.93439,33.57178736
Steelhead,Skeena,1981,22153.40326,34.18355409
Steelhead,Skeena,1982,32380.80383,49.9648269
Steelhead,Skeena,1983,9982.893145,15.40398844
Steelhead,Skeena,1984,47042.92119,72.58903844
Steelhead,Skeena,1985,31229.71735,48.18865615
Steelhead,Skeena,1986,36406.67954,56.17690812
Steelhead,Skeena,1987,21720.83837,33.51608982
Steelhead,Skeena,1988,40671.40132,62.757538
Steelhead,Skeena,1989,18642.28814,28.76576828
Steelhead,Skeena,1990,23105.10955,35.65207353
Steelhead,Skeena,1991,9600.038513,14.81322901
Steelhead,Skeena,1992,12647.0276,19.51485047
Steelhead,Skeena,1993,13756.75145,21.2271971
Steelhead,Skeena,1994,21498.75496,33.17340655
Steelhead,Skeena,1995,19247.58243,29.69976067
Steelhead,Skeena,1996,23032.33983,35.53978705
Steelhead,Skeena,1997,12304.92902,18.98697919
Steelhead,Skeena,1998,64807.19706,100
Steelhead,Skeena,1999,47303.45952,72.99105913
Steelhead,Skeena,2000,55121.90108,85.05521545
Steelhead,Skeena,2001,32100.1715,49.53180042
Steelhead,Skeena,2002,51681.17753,79.74604654
Steelhead,Skeena,2003,28521.22591,44.00934958
Steelhead,Skeena,2004,25369.95409,39.14681584
Steelhead,Skeena,2005,17520.8468,27.03534112
Steelhead,Skeena,2006,29234.9623,45.11067231
Steelhead,Skeena,2007,17238.89541,26.60027928
Steelhead,Skeena,2008,46105.25277,71.14217998
Steelhead,Skeena,2009,39059.59718,60.27046216
Steelhead,Skeena,2010,56486.95443,87.16154531
Steelhead,Skeena,2011,35905.23472,55.40315944
Steelhead,Skeena,2012,41757.03549,64.43271331
Steelhead,Skeena,2013,25517.48657,39.37446414
Steelhead,Skeena,2014,31170.10934,48.09667869
Steelhead,Skeena,2015,27905.29249,43.0589406
Steelhead,Skeena,2016,45959.72295,70.91762186
Steelhead,Skeena,2017,22414.82738,34.58694158
Steelhead,Skeena,2018,43419.38753,66.99778651
Steelhead,Skeena,2019,16276.41519,25.11513525
Steelhead,Skeena,2020,15422.73332,23.79787125
Steelhead,Skeena,2021,4654.768653,7.18248723
