YEAR,SOCKEYE,COHO,PINK,CHUM,CHINOOK
1970,115503,43300,224750,35400,18250
1971,247524,44325,136525,28825,17000
1972,178716,20850,244250,81125,19800
1973,284682,9400,70786,66025,3550
1974,193703,16435,84915,121570,3775
1975,70874,15410,141758,30550,6025
1976,143405,32700,158175,64650,5590
1977,400371,35605,229155,57775,9060
1978,147718,33100,401445,75970,10190
1979,212944,18655,50625,42313,8180
1980,155515,22405,130777,54794,9072
1981,255818,34429,204425,16508,7925
1982,306070,31055,427135,29476,6575
1983,185150,36360,738205,45115,8055
1984,182450,67650,531035,67425,12620
1985,361208,44539,508855,48971,7999
1986,187261,34910,375245,34900,17375
1987,184242,31652,371866,31387,8695
1988,136760,10551,185065,47050,7370
1989,112609,20690,641270,33770,12525
1990,155472,38510,154968,30980,12103
1991,269850,16777,388100,23835,3967
1992,645964,16118,196808,15684,16415
1993,440740,7510,314102,79951,24126
1994,179262,15329,155356,33199,2440
1995,237991,13967,349017,40451,1256
1996,219825,11613,344860,22990,2619
1997,237312,3989,216527,20302,957
1998,193810,9781,151940,138490,1268
1999,197550,13216,464775,33467,724
2000,138042,17339,322990,20718,19348
2001,117692,26366,826632,30472,32340
2002,338879,30224,598264,17813,14804
2003,199458,18254,841856,40002,28274
2004,141913,15062,542500,54033,16875
2005,146813,19418,944415,30855,15571
2006,149598,15644,129050,43975,28061
2007,113637,9181,589059,17225,24964
2008,155860,12383,58676,14593,22138
2009,179652,17262,640955,20680,29576
2010,163317,168914,256789,10885,20729
2011,192584,85910,160418,9879,10826
2012,159112,125756,282396,19446,9797
2013,210263,518485,543757,16635,9034
2014,260102,307428,438618,20347,13108
2015,389503,42517,390255,51800,19465
2016,277484,191096,275997,63857,10192
2017,229000,180000,322000,25000,4984
2018,230508,73000,218684,48487,14956
2019,245476,128091,160466,28198,11981
2020,215462,7790,552508,60535,4074
2021,348826,12365,562047,65095,15763
2022,444704,32977,500236,76968,10987
