SMU,tableSource,PFMA,area,series,year,value
Fraser Chum,Table 3-8,29,Fraser,Total Commercial FSC Harvest,2010,38658
Fraser Chum,Table 3-8,29,Fraser,Total Commercial FSC Harvest,2011,119907
Fraser Chum,Table 3-8,29,Fraser,Total Commercial FSC Harvest,2012,246126
Fraser Chum,Table 3-8,29,Fraser,Total Commercial FSC Harvest,2013,305259
Fraser Chum,Table 3-8,29,Fraser,Total Commercial FSC Harvest,2014,251164
Fraser Chum,Table 3-8,29,Fraser,Total Commercial FSC Harvest,2015,311853
Fraser Chum,Table 3-8,29,Fraser,Total Commercial FSC Harvest,2016,439548
Fraser Chum,Table 3-8,29,Fraser,Total Commercial FSC Harvest,2017,269744
Fraser Chum,Table 3-8,29,Fraser,Total Commercial FSC Harvest,2018,101056
Fraser Chum,Table 3-8,29,Fraser,Total Commercial FSC Harvest,2019,22502
Fraser Chum,Table 3-9,NA,lower Fraser River,Total Recreational Harvest,2010,6279
Fraser Chum,Table 3-9,NA,lower Fraser River,Total Recreational Harvest,2011,324
Fraser Chum,Table 3-9,NA,lower Fraser River,Total Recreational Harvest,2012,6940
Fraser Chum,Table 3-9,NA,lower Fraser River,Total Recreational Harvest,2013,3498
Fraser Chum,Table 3-9,NA,lower Fraser River,Total Recreational Harvest,2014,3276
Fraser Chum,Table 3-9,NA,lower Fraser River,Total Recreational Harvest,2015,2634
Fraser Chum,Table 3-9,NA,lower Fraser River,Total Recreational Harvest,2016,3295
Fraser Chum,Table 3-9,NA,lower Fraser River,Total Recreational Harvest,2017,2569
Fraser Chum,Table 3-9,NA,lower Fraser River,Total Recreational Harvest,2018,5115
Fraser Chum,Table 3-9,NA,lower Fraser River,Total Recreational Harvest,2019,923
WCVI Chum,Table 3-10,21,Nitinat,Purse Seine Harvest,2010,0
WCVI Chum,Table 3-10,21,Nitinat,Purse Seine Harvest,2011,65469
WCVI Chum,Table 3-10,21,Nitinat,Purse Seine Harvest,2012,97
WCVI Chum,Table 3-10,21,Nitinat,Purse Seine Harvest,2013,0
WCVI Chum,Table 3-10,21,Nitinat,Purse Seine Harvest,2014,0
WCVI Chum,Table 3-10,21,Nitinat,Purse Seine Harvest,2015,58580
WCVI Chum,Table 3-10,21,Nitinat,Purse Seine Harvest,2016,269042
WCVI Chum,Table 3-10,21,Nitinat,Purse Seine Harvest,2017,0
WCVI Chum,Table 3-10,21,Nitinat,Purse Seine Harvest,2018,0
WCVI Chum,Table 3-10,21,Nitinat,Purse Seine Harvest,2019,0
WCVI Chum,Table 3-10,21,Nitinat,Gill Net Harvest,2010,0
WCVI Chum,Table 3-10,21,Nitinat,Gill Net Harvest,2011,211968
WCVI Chum,Table 3-10,21,Nitinat,Gill Net Harvest,2012,23219
WCVI Chum,Table 3-10,21,Nitinat,Gill Net Harvest,2013,15730
WCVI Chum,Table 3-10,21,Nitinat,Gill Net Harvest,2014,0
WCVI Chum,Table 3-10,21,Nitinat,Gill Net Harvest,2015,110535
WCVI Chum,Table 3-10,21,Nitinat,Gill Net Harvest,2016,137591
WCVI Chum,Table 3-10,21,Nitinat,Gill Net Harvest,2017,36051
WCVI Chum,Table 3-10,21,Nitinat,Gill Net Harvest,2018,11467
WCVI Chum,Table 3-10,21,Nitinat,Gill Net Harvest,2019,0
WCVI Chum,Table 3-10,22,Nitinat,In-lake Harvest & Broodstock,2010,42971
WCVI Chum,Table 3-10,22,Nitinat,In-lake Harvest & Broodstock,2011,136641
WCVI Chum,Table 3-10,22,Nitinat,In-lake Harvest & Broodstock,2012,75816
