region,species_name,species_qualified,cuid,cu_name_pse,pointid,streamid,POP_ID,GFE_ID,stream_name_pse,indicator,latitude,longitude,year,stream_observed_count,stream_survey_method,stream_survey_quality,source_id
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1935,1500,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1936,1500,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1938,3500,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1939,750,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1940,2000,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1942,3500,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1943,1000,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1944,2000,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1945,NA,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1947,1500,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1948,750,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1952,1500,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1954,NA,Not Applicable,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1956,750,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1957,1500,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1959,3500,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1960,750,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1961,3500,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1962,1500,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1963,NA,Not Applicable,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1964,7500,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1965,15000,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1966,7500,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1967,1500,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1968,1500,Unknown Estimate Method,Unknown,NuSEDS_20251103
