stock,year,2.50%,25%,50%,75%,97.50%,SD
LowerMainstem,1985,4411.664796,5432.599991,5980.288363,6523.483866,7514.886055,775.8053146
WhiteDonjek,1985,2185.641303,3351.11344,3961.834973,4538.019978,5671.099146,871.3644609
Pelly,1985,6476.062392,7923.646605,8719.308648,9498.842067,11072.86522,1149.200708
Stewart,1985,3966.769602,5190.636372,5822.443726,6446.732452,7669.253708,925.6210266
Carmacks,1985,4236.021071,5518.642853,6152.482207,6826.357606,8106.087697,967.5166567
Teslin,1985,7795.899743,9408.798199,10253.05334,11122.25486,12763.97632,1242.019145
MiddleMainstem,1985,9762.774652,11185.42402,11967.47609,12720.08296,14172.80801,1102.508339
UpperLakesAndMainstem,1985,4834.233203,5663.309288,6126.029551,6592.154804,7449.850752,653.9043872
LowerMainstem,1986,8998.897068,10337.55353,11053.0184,11770.72707,13118.29774,1029.850168
WhiteDonjek,1986,3669.464134,5161.726243,5947.347915,6724.548403,8147.590122,1119.531497
Pelly,1986,10308.08756,12490.32925,13575.63586,14695.78757,16830.08057,1630.498252
Stewart,1986,4405.460558,5953.22398,6794.186798,7635.60929,9198.459782,1198.249806
Carmacks,1986,6080.719631,7861.564799,8813.861109,9768.469557,11585.58009,1376.215114
Teslin,1986,9504.658046,11600.83352,12687.31262,13817.92009,15913.26839,1602.152585
MiddleMainstem,1986,16288.39481,18133.27657,19086.29022,20045.84541,21820.86821,1383.118349
UpperLakesAndMainstem,1986,2993.553406,3639.501687,3992.479928,4347.685006,5009.847844,504.0736095
LowerMainstem,1987,4944.941139,6036.851136,6623.430515,7202.479186,8317.949466,843.2520818
WhiteDonjek,1987,2700.273694,3794.982402,4385.30571,4977.44255,6093.693997,848.3550758
Pelly,1987,8191.756226,9813.7754,10626.90296,11400.87308,12944.45088,1188.173663
Stewart,1987,2993.60066,3990.116807,4528.063226,5065.209763,6055.452147,765.4628719
Carmacks,1987,3850.562411,5024.446134,5602.400397,6191.868386,7299.644218,862.2704516
Teslin,1987,2696.092664,3683.328142,4214.387736,4716.644281,5681.987522,746.4737143
MiddleMainstem,1987,8499.83332,10034.25279,10823.7618,11636.73606,13127.65489,1156.955394
UpperLakesAndMainstem,1987,1822.075839,2945.365145,3545.366467,4148.688872,5300.589122,869.628321
LowerMainstem,1988,1842.386501,2431.953177,2741.950543,3051.814289,3611.602187,442.3039216
WhiteDonjek,1988,3370.74703,4651.469176,5206.430894,5759.249624,7006.049102,908.825518
Pelly,1988,593.5838289,8419.903688,10702.15578,17504.15791,20420.92899,4956.836289
Stewart,1988,1.61621084,21.33097957,15796.67136,18830.01851,23575.3482,5893.432998
Carmacks,1988,7279.756594,8733.299534,9553.268147,10355.51485,11905.41696,1156.415091
Teslin,1988,7590.932212,9188.065808,10005.5086,10824.66318,12451.5197,1215.146872
MiddleMainstem,1988,6038.424135,7122.847313,7709.877646,8298.750771,9419.363827,845.2349229
UpperLakesAndMainstem,1988,605.5288849,984.1238518,1181.599562,1382.27683,1767.152149,290.405816
LowerMainstem,1989,490.5954497,1223.06113,1619.943045,2026.077553,2764.586062,568.4976532
WhiteDonjek,1989,4693.232421,9947.604332,12225.38718,14369.68479,19284.29402,3647.765399
Pelly,1989,1631.814306,6921.488138,10142.30774,13329.33633,19685.5429,4513.432148
Stewart,1989,2998.116552,9111.867945,13165.0144,16984.5006,21583.81276,4646.424052
Carmacks,1989,3160.353462,4213.254621,4795.28149,5370.526566,6426.688375,816.5837284
Teslin,1989,6176.692963,11795.98604,14839.30652,17646.45016,22667.90551,4122.803137
MiddleMainstem,1989,195.4607125,652.3745478,914.5923208,1171.891898,1714.014555,379.6384607
UpperLakesAndMainstem,1989,170.9335711,397.8098987,517.0288464,636.2825547,857.4908851,171.6393285
LowerMainstem,1990,968.0740415,1658.29675,2018.698382,2380.331107,3066.799838,524.681449
WhiteDonjek,1990,4241.465733,7282.648301,8742.514649,10667.05663,15030.93253,2697.366698
Pelly,1990,4876.093676,8442.658877,21522.65479,27734.20597,63323.63858,14611.88623
Stewart,1990,5097.030348,18283.72125,22279.39585,26810.06231,46120.5962,10255.89146
Carmacks,1990,770.5012338,2503.128295,3527.712133,5217.306938,18577.37964,4451.719602
Teslin,1990,4927.264336,11294.23269,15622.76064,20567.49606,32796.37211,6967.276943
MiddleMainstem,1990,410.3285132,2102.270797,3243.295486,4329.747014,6078.111234,1416.94568
UpperLakesAndMainstem,1990,120.6545158,298.612828,393.0155361,488.7948088,671.0288446,137.5935822
LowerMainstem,1991,15661.95416,17474.24481,18445.41431,19412.90103,21343.53944,1420.396322
WhiteDonjek,1991,608.2048659,1663.366543,6560.573162,7520.972309,8993.36323,2096.289591
Pelly,1991,8288.256403,10306.53335,11661.25756,15276.50703,18179.72077,2472.866091
Stewart,1991,3091.1142,4242.617921,4836.70036,5451.994547,6619.656884,882.1356708
Carmacks,1991,3743.924276,4932.829243,5555.583909,6181.364492,7393.319731,912.3488637
Teslin,1991,3782.857072,4892.018821,5492.867174,6088.535543,7236.384242,863.3817925
MiddleMainstem,1991,11890.33282,13954.72338,15014.63693,16107.5571,18133.53953,1560.801676
UpperLakesAndMainstem,1991,10853.83451,12528.77333,13448.23654,14323.38113,16075.64805,1305.453386
LowerMainstem,1992,6263.670404,7582.284891,8248.865038,8919.626729,10241.08414,994.353435
WhiteDonjek,1992,2722.366532,3882.342674,4482.775119,5086.54945,6243.278627,880.2280237
Pelly,1992,9804.248372,12068.53895,13266.7489,14390.18184,16510.80964,1676.640318
Stewart,1992,4433.549438,6621.651063,7717.336666,8832.714775,10868.0963,1608.636716
Carmacks,1992,8908.812292,12064.97855,13691.04703,15322.16393,18439.43011,2382.654456
Teslin,1992,8442.735026,10365.98977,11400.0327,12388.9751,14353.92435,1477.797332
MiddleMainstem,1992,12169.7249,14556.69879,15814.60592,17076.73927,19382.78321,1803.264578
UpperLakesAndMainstem,1992,10335.30738,11806.64597,12586.77087,13384.09331,14853.51958,1129.553051
LowerMainstem,1993,13427.38249,15095.43659,15977.32003,16859.12421,18515.4631,1272.020154
WhiteDonjek,1993,7385.289992,8809.167798,9582.913835,10346.66145,11801.70882,1104.104707
Pelly,1993,5392.561915,6909.685266,7680.225217,8470.434003,9963.244218,1142.670576
Stewart,1993,1971.066753,2996.117035,3525.668229,4060.327686,5097.726497,781.6649359
Carmacks,1993,4255.404344,5465.941346,6086.125444,6706.805081,7870.601405,903.7992651
Teslin,1993,5906.806897,7380.763645,8178.468486,8979.014698,10474.06277,1141.813969
MiddleMainstem,1993,8982.775895,10398.73035,11116.41831,11865.16204,13222.32461,1059.887178
UpperLakesAndMainstem,1993,3120.026483,3808.763486,4165.091149,4537.754558,5220.469778,525.1108239
LowerMainstem,1994,16368.46718,18491.21897,19574.57098,20653.94569,22707.01477,1584.636896
WhiteDonjek,1994,5227.688456,6758.149093,7519.904047,8328.514856,9838.539755,1152.712825
Pelly,1994,6090.877542,7591.349642,8382.193291,9179.328489,10717.71091,1156.708341
Stewart,1994,3461.300117,4680.07974,5321.297044,5980.430989,7250.150084,947.2124917
Carmacks,1994,5855.713882,7185.257427,7874.116186,8578.15788,9883.533043,1006.95479
Teslin,1994,2815.171117,4064.827832,4729.265221,5365.818342,6659.450539,961.0698557
MiddleMainstem,1994,7540.99392,9047.783746,9815.484607,10614.67236,12104.7734,1140.94487
UpperLakesAndMainstem,1994,5148.817019,6079.907359,6555.666424,7044.485492,7961.731358,703.2285848
LowerMainstem,1995,9146.866519,10734.75593,11580.06787,12395.96383,14048.80664,1225.485032
WhiteDonjek,1995,2544.396806,3924.775607,4859.586792,12225.65761,15335.13156,3197.683689
Pelly,1995,4772.34118,7169.356854,13730.51092,15331.31742,17664.59209,3223.062728
Stewart,1995,6213.970998,7918.919807,8814.380948,9709.914896,11431.64438,1304.418345
Carmacks,1995,8393.212912,10570.52321,11723.11682,12865.92764,15079.9769,1671.690996
Teslin,1995,7777.467778,9912.761127,11050.96805,12144.02559,14253.16272,1618.923735
MiddleMainstem,1995,27711.00574,30767.32915,32394.56871,34046.33651,37152.16038,2360.28866
UpperLakesAndMainstem,1995,8607.351621,9896.529349,10551.65225,11220.48284,12504.18312,974.2078741
LowerMainstem,1996,12011.64536,13749.61449,14635.35498,15535.13975,17287.43667,1318.947828
WhiteDonjek,1996,8830.809346,10707.88114,11672.18835,12606.41596,14484.4914,1413.420512
Pelly,1996,5324.340252,6924.885021,7770.565349,8592.336248,10217.75404,1223.353448
Stewart,1996,2096.019844,3208.875239,3800.642154,4392.862797,5547.639747,862.9049757
Carmacks,1996,9060.787914,10673.37489,11561.42528,12421.19616,14068.07212,1251.821051
