stream_id,indicator,sppqualifiedid,geofeatureid,stream_name,cu_id,cu_name,major_drainage,Species_CU_INDEX,POP_ID
10194,Y,CK,,BIG SALMON RIVER,1201,Big Salmon ,Yukon,,44597
10195,Y,CK,,BIG SALMON RIVER,1201,Big Salmon ,Yukon,,44597
10196,Y,CK,,LITTLE SALMON RIVER,1204,Middle Yukon ,Yukon,,44580
10197,Y,CK,,TATCHUN RIVER,1204,Middle Yukon ,Yukon,,44578
10198,Y,CK,,TATCHUN RIVER,1204,Middle Yukon ,Yukon,,44578
10199,Y,CK,,TATCHUN RIVER,1204,Middle Yukon ,Yukon,,44578
10200,Y,CK,,TATCHUN RIVER,1204,Middle Yukon ,Yukon,,44578
10201,Y,CK,,NORDENSKIOLD RIVER,1202,Nordenskiold,Yukon,,44579
10202,Y,CK,,CHANDINDU RIVER,1207,North Yukon,Yukon,,44577
10203,Y,CK,,KLONDIKE RIVER,1207,North Yukon,Yukon,,44625
10204,Y,CK,,BLIND CREEK,1203,Pelly,Yukon,,44595
10205,Y,CK,,EARN RIVER,1203,Pelly,Yukon,,44620
10206,Y,CK,,GLENLYON RIVER,1203,Pelly,Yukon,,44621
10207,Y,CK,,HOOLE RIVER,1203,Pelly,Yukon,,44622
10208,Y,CK,,HUSKY DOG CREEK,1203,Pelly,Yukon,,44623
10209,Y,CK,,KALZAS RIVER,1203,Pelly,Yukon,,44619
10210,Y,CK,,LEWIS LAKE,1203,Pelly,Yukon,,44628
10211,Y,CK,,LITTLE KALZAS RIVER,1203,Pelly,Yukon,,44629
10212,Y,CK,,MACMILLAN RIVER,1203,Pelly,Yukon,,44632
10213,Y,CK,,MOOSE RIVER,1203,Pelly,Yukon,,44652
10214,Y,CK,,PELLY RIVER,1203,Pelly,Yukon,,44594
10215,Y,CK,,PELLY RIVER,1203,Pelly,Yukon,,44594
10216,Y,CK,,PREVOST RIVER,1203,Pelly,Yukon,,44637
10217,Y,CK,,RIDDELL RIVER,1203,Pelly,Yukon,,44639
10218,Y,CK,,ROSS RIVER,1203,Pelly,Yukon,,44596
10219,Y,CK,,RUSSELL CREEK,1203,Pelly,Yukon,,44640
10220,Y,CK,,SHELDON LAKE,1203,Pelly,Yukon,,44641
10221,Y,CK,,TAY RIVER,1203,Pelly,Yukon,,44643
10222,Y,CK,,MINER RIVER,1209,Porcupine,Yukon,,44634
10223,Y,CK,,MAYO RIVER,1205,Stewart,Yukon,,44631
10224,Y,CK,,MCQUESTEN RIVER,1205,Stewart,Yukon,,44589
10225,Y,CK,,OLLIE LAKE,1205,Stewart,Yukon,,44635
10226,Y,CK,,PLEASANT CREEK,1205,Stewart,Yukon,,44636
10227,Y,CK,,CROOKED CREEK,1205,Stewart,Yukon,,44588
10228,Y,CK,,GLADYS LAKE,1212,Teslin,Yukon,,44586
10229,Y,CK,,JENNINGS RIVER,1212,Teslin,Yukon,,44587
10230,Y,CK,,MORLEY RIVER,1212,Teslin,Yukon,,44601
10231,Y,CK,,NISUTLIN RIVER,1212,Teslin,Yukon,,44598
10232,Y,CK,,RED RIVER,1212,Teslin,Yukon,,44638
10233,Y,CK,,SIDNEY CREEK,1212,Teslin,Yukon,,44600
10234,Y,CK,,SWIFT RIVER,1212,Teslin,Yukon,,44642
10235,Y,CK,,WOLF RIVER,1212,Teslin,Yukon,,44599
10236,Y,CK,,LAKE LABERGE,1211,Upper Yukon,Yukon,,44627
10237,Y,CK,,MARSH LAKE,1211,Upper Yukon,Yukon,,44630
10238,Y,CK,,MCINTYRE CREEK,1211,Upper Yukon,Yukon,,44581
10239,Y,CK,,MICHIE CREEK,1211,Upper Yukon,Yukon,,44583
10240,Y,CK,,TAKHINI RIVER,1211,Upper Yukon,Yukon,,44602
10241,Y,CK,,TAKHINI RIVER,1211,Upper Yukon,Yukon,,44602
10242,Y,CK,,TAKHINI RIVER,1211,Upper Yukon,Yukon,,44602
10243,Y,CK,,TAKHINI RIVER,1211,Upper Yukon,Yukon,,44602
10244,Y,CK,,TAKHINI RIVER,1211,Upper Yukon,Yukon,,44602
10245,Y,CK,,TESLIN RIVER,1211,Upper Yukon,Yukon,,44585
10246,Y,CK,,WOLF CREEK,1211,Upper Yukon,Yukon,,44582
10247,Y,CK,,YUKON RIVER - UPPER,1211,Upper Yukon,Yukon,,44648
10248,Y,CK,,NISLING RIVER,1206,White,Yukon,,44591
10249,Y,CK,,TINCUP CREEK,1206,White,Yukon,,44592
10250,Y,CK,,TINCUP CREEK,1206,White,Yukon,,44592
10251,Y,CK,,LOWER YUKON RIVER,,#N/A,Yukon,,44647
10252,Y,CK,,YUKON RIVER,,#N/A,Yukon,,3336
10253,Y,CK,,Yukon River Eagle ,,#N/A,Yukon,,
10254,Y,CK,,Porcupine River,1209,Porcupine,Yukon,,
10255,Y,CM,,KLUANE RIVER,1216,Donjek Kluane,Yukon,,44593
10256,Y,CM,,KOIDERN RIVER,1216,Donjek Kluane,Yukon,,44626
10257,Y,CM,,YUKON RIVER - MIDDLE,1213,Middle Yukon,Yukon,,44649
10258,Y,CM,,CHANDINDU RIVER,1214,North Yukon ,Yukon,,44576
10259,Y,CM,,KLONDIKE RIVER,1214,North Yukon ,Yukon,,44624
10260,Y,CM,,FISHING BRANCH RIVER,1217,Porcupine,Yukon,,44603
10261,Y,CM,,MINER RIVER,1217,Porcupine,Yukon,,44633
10262,Y,CM,,TESLIN RIVER,1219,Teslin,Yukon,,44584
10263,Y,CM,,DONJEK RIVER,1215,White,Yukon,,44590
10264,Y,CM,,LOWER YUKON RIVER,,#N/A,Yukon,,44646
10265,Y,CM,,YUKON RIVER,,#N/A,Yukon,,3337
10266,Y,CM,,Porcupine River,1217,Porcupine,Yukon,,
10267,Y,CM,,Yukon River Eagle ,,#N/A,Yukon,,
10268,Y,CK,,,,,,,
10269,Y,CK,,,,,,,
10270,Y,CK,,,,,,,
