cuid,cuname,culabel,SPECIES_QUALIFIED,FULL_CU_IN,region
171,Alastair,Alastair,SEL,SEL-20-01,Skeena
172,Aldrich,Mcdonell/Dennis/Aldrich,SEL,SEL-20-02,Skeena
173,Dennis,Mcdonell/Dennis/Aldrich,SEL,SEL-20-03,Skeena
174,Ecstall/Lower,Ecstall/Lower,SEL,SEL-20-04,Skeena
175,Johnston,Johnston,SEL,SEL-20-05,Skeena
176,Kitsumkalum,Kitsumkalum,SEL,SEL-20-06,Skeena
177,Lakelse,Lakelse,SEL,SEL-20-07,Skeena
178,Mcdonell,Mcdonell/Dennis/Aldrich,SEL,SEL-20-08,Skeena
179,Atna,Morice/Atna,SEL,SEL-21-01,Skeena
180,Babine,Babine/Onerka,SEL,SEL-21-02,Skeena
181,Bulkley,Bulkley/Maxan,SEL,SEL-21-03,Skeena
182,Club Lake,Swan/Club,SEL,SEL-21-04,Skeena
183,Gitanyow,Gitanyow (Kitwanga/Kitwancool),SEL,SEL-21-05,Skeena
184,Maxan,Bulkley/Maxan,SEL,SEL-21-06,Skeena
185,Morice,Morice/Atna,SEL,SEL-21-07,Skeena
186,Nilkitkwa,Nilkitkwa,SEL,SEL-21-02-LW,Skeena
187,Stephens,Stephens,SEL,SEL-21-09,Skeena
188,Swan,Swan/Club,SEL,SEL-21-10,Skeena
189,Tahlo/Morrison,Tahlo/Morrison,SEL,SEL-21-11,Skeena
190,Asitika,Asitika,SEL,SEL-22-01,Skeena
191,Azuklotz,Azuklotz,SEL,SEL-22-02,Skeena
192,Bear,Bear,SEL,SEL-22-03,Skeena
193,Damshilgwit,Damshilgwit,SEL,SEL-22-04,Skeena
194,Johanson,Johanson,SEL,SEL-22-05,Skeena
195,Kluatantan,Kluatantan,SEL,SEL-22-06,Skeena
196,Kluayaz,Kluayaz,SEL,SEL-22-07,Skeena
197,Motase,Motase,SEL,SEL-22-08,Skeena
198,Sicintine,Sicintine,SEL,SEL-22-09,Skeena
199,Slamgeesh,Slamgeesh,SEL,SEL-22-10,Skeena
200,Spawning,Spawning,SEL,SEL-22-11,Skeena
201,Sustut,Sustut,SEL,SEL-22-12,Skeena
202,Lower Skeena-CO,Lower Skeena,CO,CO-32,Skeena
203,Babine (enhanced),Babine (enhanced),SEL,SEL-21-02-F,Skeena
204,Babine-Pinkut,Babine (enhanced),SEL,NA,Skeena
205,Ecstall,Ecstall,CK,CK-46,Skeena
206,Kalum-early timing,Kalum-Early,CK,CK-49,Skeena
207,Kalum-late timing,Kalum-Late,CK,CK-50,Skeena
209,Lower Skeena (odd),Lower Skeena River (odd),PKO,PKO-15,Skeena
210,Lower Skeena-CK,Lower Skeena,CK,CK-48,Skeena
211,Lower Skeena-CM,Lower Skeena,CM,CM-27,Skeena
212,Upper Skeena-CK,Upper Skeena,CK,CK-56,Skeena
213,Middle & Upper Skeena (odd),Middle-Upper Skeena (odd),PKO,PKO-16,Skeena
214,Middle Skeena-CM,Middle Skeena,CM,CM-28,Skeena
215,Middle Skeena-CO,Middle Skeena,CO,CO-33,Skeena
216,Skeena River-high interior,Skeena River-High Interior (river-type),SER,SER-19,Skeena
217,Middle Skeena-mainstem tributaries,Middle Skeena-Mainstem Tributaries,CK,CK-54,Skeena
218,Middle-Upper Skeena (even),Middle-Upper Skeena (even),PKE,PKE-8,Skeena
219,Nass-Skeena Estuary (even),Nass-Skeena Estuary (even),PKE,PKE-7,Skeena
220,Skeena Estuary-CM,Skeena Estuary,CM,CM-26,Skeena
221,Upper Bulkley River,Upper Bulkley River,CK,CK-55,Skeena
222,Middle Skeena-large lakes,Middle Skeena-Large Lakes,CK,CK-53,Skeena
223,Nass-Skeena Estuary (odd),Nass-Skeena Estuary (odd),PKO,PKO-14,Skeena
224,Skeena Estuary-CK,Skeena Estuary,CK,CK-45,Skeena
225,Skeena Estuary-CO,Skeena Estuary,CO,CO-31,Skeena
226,Skeena River,Skeena River (river-type),SER,SER-18,Skeena
227,Lakelse-CK,Lakelse,CK,CK-51,Skeena
229,Zymoetz,Zymoetz,CK,CK-80,Skeena
230,Footsore/Hodder,Footsore/Hodder,SEL,SEL-21-12,Skeena
231,Upper Skeena-CO,Upper Skeena,CO,CO-34,Skeena
240,Lower Skeena (even),Lower Skeena (even),PKE,PKE-7,Skeena
241,Sicintine,Sicintine,CK,CK-81,Skeena
242,Upper Skeena,Upper Skeena,CM,NA,Skeena
243,Onerka,Babine/Onerka,SEL,NA,Skeena
280,Upper Skeena Headwaters,Upper Skeena Headwaters,SH,NA,Skeena
281,Upper Sustut,Upper Sustut,SH,NA,Skeena
282,Upper Skeena,Upper Skeena,SH,NA,Skeena
283,Kispiox,Kispiox,SH,NA,Skeena
284,Babine,Babine,SH,NA,Skeena
285,Middle Skeena,Middle Skeena,SH,NA,Skeena
286,Suskwa,Suskwa,SH,NA,Skeena
287,Bulkley,Bulkley,SH,NA,Skeena
288,Skeena Coastal Summers,Skeena Coastal Summers,SH,NA,Skeena
289,Morice,Morice,SH,NA,Skeena
290,Skeena Coastal Winters,Skeena Coastal Winters,SH,NA,Skeena
301,CK001-Okanagan_1.x,Okanagan,CK,CK-1,Columbia
302,CK002-Boundary Bay_FA_0.3,Boundary Bay (Fall 4-1),CK,CK-2,Fraser
303,CK003-Lower Fraser River_FA_0.3,Lower Fraser River (Fall 4-1),CK,CK-3,Fraser
304,CK004-Lower Fraser River_SP_1.3,Lower Fraser River (Spring 5-2),CK,CK-4,Fraser
305,CK005-Lower Fraser River-Upper Pitt_SU_1.3,Lower Fraser River-Upper Pitt (Summer 5-2),CK,CK-5,Fraser
