"region","species_name","cuid","cu_name_pse","threegen_intercept","threegen_slope","threegen_percent_change","threegen_start_year","uploadid"
"Skeena","Chinook",205,"Ecstall",-989898,-989898,-989898,-989898,-989898
"Skeena","Chinook",206,"Kalum-Early",-989898,-989898,-989898,-989898,-989898
"Skeena","Chinook",207,"Kalum-Late",9.77,0.02,-34,2000,1435
"Skeena","Chinook",210,"Lower Skeena",7.91,-0.1,-81,2000,1435
"Skeena","Chinook",212,"Upper Skeena",-989898,-989898,-989898,-989898,-989898
"Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries",9.74,-0.06,-63,2000,1435
"Skeena","Chinook",221,"Upper Bulkley River",-989898,-989898,-989898,-989898,-989898
"Skeena","Chinook",222,"Middle Skeena-Large Lakes",10.39,-0.02,-31,2000,1435
"Skeena","Chinook",224,"Skeena Estuary",-989898,-989898,-989898,-989898,-989898
"Skeena","Chinook",227,"Lakelse",-989898,-989898,-989898,-989898,-989898
"Skeena","Chinook",229,"Zymoetz",-989898,-989898,-989898,-989898,-989898
"Skeena","Chinook",241,"Sicintine",-989898,-989898,-989898,-989898,-989898
"Skeena","Chum",211,"Lower Skeena",9.78,-0.21,-90,2006,1435
"Skeena","Chum",214,"Middle Skeena",-989898,-989898,-989898,-989898,-989898
"Skeena","Chum",220,"Skeena Estuary",-989898,-989898,-989898,-989898,-989898
"Skeena","Chum",242,"Upper Skeena",-989898,-989898,-989898,-989898,-989898
"Skeena","Coho",202,"Lower Skeena",11.09,0.03,36,2006,1435
"Skeena","Coho",215,"Middle Skeena",12.31,-0.03,-26,2006,1435
"Skeena","Coho",225,"Skeena Estuary",-989898,-989898,-989898,-989898,-989898
"Skeena","Coho",231,"Upper Skeena",9.04,0.06,100,2006,1435
"Skeena","Lake sockeye",171,"Alastair",9.51,0.035,63,2005,1435
"Skeena","Lake sockeye",174,"Ecstall/Lower",-989898,-989898,-989898,-989898,-989898
"Skeena","Lake sockeye",175,"Johnston",-989898,-989898,-989898,-989898,-989898
"Skeena","Lake sockeye",176,"Kitsumkalum",10.06,0.02,30,2005,1435
"Skeena","Lake sockeye",177,"Lakelse",8.28,0.14,583,2005,1435
"Skeena","Lake sockeye",178,"Mcdonell/Dennis/Aldrich",8.15,0.02,40,2005,1435
"Skeena","Lake sockeye",180,"Babine/Onerka",10.68,-0.04,-44,2005,1435
"Skeena","Lake sockeye",181,"Bulkley/Maxan",-989898,-989898,-989898,-989898,-989898
"Skeena","Lake sockeye",183,"Gitanyow (Kitwanga/Kitwancool)",7.29,0.03,56,2005,1435
"Skeena","Lake sockeye",185,"Morice/Atna",9.46,0.02,35,2005,1435
"Skeena","Lake sockeye",186,"Nilkitkwa",11.86,-0.03,-30,2005,1435
"Skeena","Lake sockeye",187,"Stephens",9.51,-0.05,-50,2005,1435
"Skeena","Lake sockeye",188,"Swan/Club",8.04,-0.02,-22,2005,1435
"Skeena","Lake sockeye",189,"Tahlo/Morrison",10.18,-0.03,-30,2005,1435
"Skeena","Lake sockeye",190,"Asitika",5.36,0.13,540,2005,1435
"Skeena","Lake sockeye",191,"Azuklotz",6.62,0.13,535,2005,1435
"Skeena","Lake sockeye",192,"Bear",7.66,0.11,398,2005,1435
"Skeena","Lake sockeye",193,"Damshilgwit",5.64,0.026,44,2005,1435
"Skeena","Lake sockeye",194,"Johanson",-989898,-989898,-989898,-989898,-989898
"Skeena","Lake sockeye",195,"Kluatantan",-989898,-989898,-989898,-989898,-989898
"Skeena","Lake sockeye",196,"Kluayaz",-989898,-989898,-989898,-989898,-989898
"Skeena","Lake sockeye",197,"Motase",6,-0.05,-50,2005,1435
"Skeena","Lake sockeye",198,"Sicintine",-989898,-989898,-989898,-989898,-989898
"Skeena","Lake sockeye",199,"Slamgeesh",-989898,-989898,-989898,-989898,-989898
"Skeena","Lake sockeye",200,"Spawning",-989898,-989898,-989898,-989898,-989898
"Skeena","Lake sockeye",201,"Sustut",-989898,-989898,-989898,-989898,-989898
"Skeena","Lake sockeye",203,"Babine (enhanced)",12.86,-0.005,-7,2005,1435
"Skeena","Lake sockeye",230,"Footsore/Hodder",-989898,-989898,-989898,-989898,-989898
"Skeena","Pink (even)",218,"Middle-Upper Skeena (even)",12.32,0.007,3,2012,1435
"Skeena","Pink (even)",219,"Nass-Skeena Estuary (even)",14.37,-0.05,-23,2012,1435
"Skeena","Pink (odd)",209,"Lower Skeena River (odd)",15.18,-0.7,-94,2013,1435
"Skeena","Pink (odd)",213,"Middle-Upper Skeena (odd)",13.08,0.06,25,2013,1435
"Skeena","Pink (odd)",223,"Nass-Skeena Estuary (odd)",13.72,-0.5,-86,2013,1435
"Skeena","River sockeye",216,"Skeena River-High Interior (river-type)",-989898,-989898,-989898,-989898,-989898
"Skeena","River sockeye",226,"Skeena River (river-type)",-989898,-989898,-989898,-989898,-989898
"Skeena","Steelhead",280,"Upper Skeena Headwaters",-989898,-989898,-989898,-989898,-989898
"Skeena","Steelhead",281,"Upper Sustut",6.27,0.016,25,2008,1624
"Skeena","Steelhead",282,"Upper Skeena",-989898,-989898,-989898,-989898,-989898
"Skeena","Steelhead",283,"Kispiox",-989898,-989898,-989898,-989898,-989898
"Skeena","Steelhead",284,"Babine",-989898,-989898,-989898,-989898,-989898
"Skeena","Steelhead",285,"Middle Skeena",-989898,-989898,-989898,-989898,-989898
"Skeena","Steelhead",286,"Suskwa",-989898,-989898,-989898,-989898,-989898
"Skeena","Steelhead",287,"Bulkley",-989898,-989898,-989898,-989898,-989898
"Skeena","Steelhead",288,"Skeena Coastal Summers",-989898,-989898,-989898,-989898,-989898
"Skeena","Steelhead",289,"Morice",-989898,-989898,-989898,-989898,-989898
"Skeena","Steelhead",290,"Skeena Coastal Winters",-989898,-989898,-989898,-989898,-989898
"Nass","Chinook",401,"Portland Sound-Observatory Inlet-Lower Nass",7.88,-0.04,-43,2003,1030
"Nass","Chinook",402,"Upper Nass",10.07,-0.05,-53,2003,1030
"Nass","Chum",404,"Portland Inlet",9.87,-0.03,-32,2006,1030
"Nass","Chum",405,"Lower Nass",-989898,-989898,-989898,-989898,-989898
"Nass","Chum",406,"Portland Canal-Observatory",9.82,-0.02,-23,2006,1030
"Nass","Coho",408,"Lower Nass",11.06,0.02,21,2006,1030
"Nass","Coho",409,"Upper Nass",9.51,0.01,12,2006,1030
"Nass","Coho",410,"Portland Sound-Observatory Inlet-Portland Canal",11.26,-0.08,-60,2006,1030
"Nass","Lake sockeye",418,"Clements",-989898,-989898,-989898,-989898,-989898
"Nass","Lake sockeye",419,"Leverson",-989898,-989898,-989898,-989898,-989898
"Nass","Lake sockeye",420,"Bowser",-989898,-989898,-989898,-989898,-989898
"Nass","Lake sockeye",421,"Damdochax",6.25,0.14,589,2003,1030
"Nass","Lake sockeye",422,"Fred Wright",7.65,-0.08,-68,2003,1030
"Nass","Lake sockeye",423,"Kwinageese",-989898,-989898,-989898,-989898,-989898
"Nass","Lake sockeye",424,"Meziadin",12.02,-0.009,-12,2003,1030
"Nass","Lake sockeye",425,"Oweegee",-989898,-989898,-989898,-989898,-989898
"Nass","Pink (even)",412,"Upper Nass (even)",-989898,-989898,-989898,-989898,-989898
"Nass","Pink (odd)",414,"Nass-Portland-Observatory (odd)",14.08,-0.05,-19,2013,1030
"Nass","Pink (odd)",415,"Upper Nass (odd)",-989898,-989898,-989898,-989898,-989898
"Nass","River sockeye",426,"Lower Nass-Portland (river-type)",8.39,0.18,587,2006,1030
"Nass","River sockeye",427,"Upper Nass River (river-type)",-989898,-989898,-989898,-989898,-989898
"Nass","Steelhead",480,"Nass Summer",9.43,0.009,14,2008,1624
"Nass","Steelhead",481,"Nass Winter",-989898,-989898,-989898,-989898,-989898
"Central Coast","Chinook",509,"Docee",-989898,-989898,-989898,-989898,-989898
"Central Coast","Chinook",510,"Rivers Inlet",8.44,-0.13,-83,2003,1595
"Central Coast","Chinook",511,"Wannock",8.48,0.03,49,2003,1595
"Central Coast","Chinook",512,"Bella Coola-Bentinck",9.71,-0.01,-14,2003,1595
"Central Coast","Chinook",513,"Dean River",8.01,-0.05,-48,2003,1595
"Central Coast","Chinook",514,"North & Central Coast-Late",-989898,-989898,-989898,-989898,-989898
"Central Coast","Chinook",515,"North & Central Coast-Early",6.84,-0.06,-54,2003,1595
"Central Coast","Chum",500,"Smith Inlet",10.71,-0.12,-81,2007,1595
"Central Coast","Chum",501,"Rivers Inlet",10.4,-0.18,-92,2007,1595
"Central Coast","Chum",502,"Wannock",-989898,-989898,-989898,-989898,-989898
"Central Coast","Chum",503,"Spiller-Fitz-Hugh-Burke",12.26,-0.02,-28,2007,1595
"Central Coast","Chum",504,"Bella Coola-Dean Rivers",11.62,0.03,56,2007,1595
"Central Coast","Chum",505,"Bella Coola River-Late",-989898,-989898,-989898,-989898,-989898
"Central Coast","Chum",506,"Hecate Lowlands",11.69,-0.07,-62,2007,1595
"Central Coast","Chum",507,"Mussel-Kynoch",11.6,-0.08,-68,2007,1595
"Central Coast","Chum",508,"Douglas-Gardner",11.58,-0.01,-17,2007,1595
"Central Coast","Coho",516,"Smith Inlet",-989898,-989898,-989898,-989898,-989898
"Central Coast","Coho",517,"Rivers Inlet",-989898,-989898,-989898,-989898,-989898
"Central Coast","Coho",518,"Bella Coola-Dean Rivers",10.5,-0.07,-51,2010,1595
"Central Coast","Coho",519,"Mussel-Kynoch",8.89,-0.11,-70,2010,1595
"Central Coast","Coho",520,"Hecate Strait Mainland",11.95,-0.11,-69,2010,1595
"Central Coast","Coho",521,"Brim-Wahoo",8.74,-0.005,-6,2010,1595
"Central Coast","Coho",522,"Douglas Channel-Kitimat Arm",11.27,0.02,28,2010,1595
"Central Coast","Coho",523,"Northern Coastal Streams",11.87,-0.04,-36,2010,1595
