"species","location","locationtype","parameter","year","datavalue"
"Chinook","Central Coast","Assessment Region","reg_runsize_raw","1985","8121.5714286"
"Chinook","Central Coast","Assessment Region","reg_runsize_raw","1986","8551.8571429"
"Chinook","Central Coast","Assessment Region","reg_runsize_raw","1987","5886.2857143"
"Chinook","Central Coast","Assessment Region","reg_runsize_raw","1988","5821.4285714"
"Chinook","Central Coast","Assessment Region","reg_runsize_raw","1989","6930.2857143"
"Chinook","Central Coast","Assessment Region","reg_runsize_raw","1990","7048.1428571"
"Chinook","Central Coast","Assessment Region","reg_runsize_raw","1991","5892.4285714"
"Chinook","Central Coast","Assessment Region","reg_runsize_raw","1992","9902.2857143"
"Chinook","Central Coast","Assessment Region","reg_runsize_raw","1993","11291.571429"
"Chinook","Central Coast","Assessment Region","reg_runsize_raw","1994","8083.5"
"Chinook","Central Coast","Assessment Region","reg_runsize_raw","1995","8975.3333333"
"Chinook","Central Coast","Assessment Region","reg_runsize_raw","1996","7277.6666667"
"Chinook","Central Coast","Assessment Region","reg_runsize_raw","1997","7302.8333333"
"Chinook","Central Coast","Assessment Region","reg_runsize_raw","1998","9352.8333333"
"Chinook","Central Coast","Assessment Region","reg_runsize_raw","1999","6854.7142857"
"Chinook","Central Coast","Assessment Region","reg_runsize_raw","2000","8408.1428571"
"Chinook","Central Coast","Assessment Region","reg_runsize_raw","2001","9747.5"
"Chinook","Central Coast","Assessment Region","reg_runsize_raw","2002","7106.2857143"
"Chinook","Central Coast","Assessment Region","reg_runsize_raw","2003","6328.2857143"
"Chinook","Central Coast","Assessment Region","reg_runsize_raw","2004","7729.4285714"
"Chinook","Central Coast","Assessment Region","reg_runsize_raw","2005","9626.1428571"
"Chinook","Central Coast","Assessment Region","reg_runsize_raw","2006","9153"
"Chinook","Central Coast","Assessment Region","reg_runsize_raw","2007","7174.5"
"Chinook","Central Coast","Assessment Region","reg_runsize_raw","2008","4744"
"Chinook","Central Coast","Assessment Region","reg_runsize_raw","2009","6915"
"Chinook","Central Coast","Assessment Region","reg_runsize_raw","2010","7014.8333333"
"Chinook","Central Coast","Assessment Region","reg_runsize_raw","2011","6846.1666667"
"Chinook","Central Coast","Assessment Region","reg_runsize_raw","2012","3345"
"Chinook","Central Coast","Assessment Region","reg_runsize_raw","2013","9424"
"Chinook","Central Coast","Assessment Region","reg_runsize_raw","2014","9791"
