"","streamid","Species","year","NuSEDS counts by stream","streamname","CUID"
"4",10194,"Chinook","1978",524,"BIG SALMON RIVER","1201"
"6",10194,"Chinook","2009",1827,"BIG SALMON RIVER","1201"
"7",10194,"Chinook","2009",9261,"BIG SALMON RIVER","1201"
"10",10194,"Chinook","2015",10078,"BIG SALMON RIVER","1201"
"11",10194,"Chinook","1993",572,"BIG SALMON RIVER","1201"
"14",10194,"Chinook","1999",353,"BIG SALMON RIVER","1201"
"16",10194,"Chinook","1977",316,"BIG SALMON RIVER","1201"
"18",10194,"Chinook","2005",952,"BIG SALMON RIVER","1201"
"19",10194,"Chinook","1983",540,"BIG SALMON RIVER","1201"
"23",10194,"Chinook","1989",1662,"BIG SALMON RIVER","1201"
"26",10194,"Chinook","2020",1635,"BIG SALMON RIVER","1201"
"28",10194,"Chinook","1973",75,"BIG SALMON RIVER","1201"
"30",10194,"Chinook","2004",762,"BIG SALMON RIVER","1201"
"34",10194,"Chinook","2010",656,"BIG SALMON RIVER","1201"
"35",10194,"Chinook","1988",765,"BIG SALMON RIVER","1201"
"38",10194,"Chinook","2016",6761,"BIG SALMON RIVER","1201"
"39",10194,"Chinook","1994",1764,"BIG SALMON RIVER","1201"
"40",10194,"Chinook","1972",415,"BIG SALMON RIVER","1201"
"44",10194,"Chinook","1975",153,"BIG SALMON RIVER","1201"
"54",10194,"Chinook","2021",1958,"BIG SALMON RIVER","1201"
"59",10194,"Chinook","2005",5618,"BIG SALMON RIVER","1201"
"62",10194,"Chinook","2011",405,"BIG SALMON RIVER","1201"
"63",10194,"Chinook","2011",5156,"BIG SALMON RIVER","1201"
"67",10194,"Chinook","1995",1314,"BIG SALMON RIVER","1201"
"72",10194,"Chinook","1979",632,"BIG SALMON RIVER","1201"
"75",10194,"Chinook","2010",3817,"BIG SALMON RIVER","1201"
"78",10194,"Chinook","2013",3242,"BIG SALMON RIVER","1201"
"82",10194,"Chinook","2000",113,"BIG SALMON RIVER","1201"
