to,Indicator,sppqualifiedid,geofeatureid,streamname,cuid
8864,Y,NA,NA,15 MILE CREEK,732
8865,N,NA,NA,25 MILE CREEK,732
8670,N,NA,NA,ABBOTT CREEK,728
8820,N,NA,NA,ADAMS LAKE,739
8821,N,NA,NA,ADAMS LAKE EAST SIDE - SHORE,739
8822,N,NA,NA,ADAMS LAKE NORTH END - SHORE,739
8823,N,NA,NA,ADAMS LAKE SOUTH END - SHORE,739
8036,Y,NA,NA,ADAMS RIVER,313
8421,Y,NA,NA,ADAMS RIVER,708
8466,N,NA,NA,ADAMS RIVER,710
8768,N,NA,NA,ADAMS RIVER,738
8824,Y,NA,NA,ADAMS RIVER,739
8825,N,NA,NA,ADAMS RIVER - SHORE,739
8037,NA,NA,NA,ADAMS CHANNEL,313
8769,N,NA,NA,ADAMS CHANNEL,738
8826,N,NA,NA,ADAMS CHANNEL,739
8049,N,NA,NA,ADAMS RIVER - UPPER,333
8422,N,NA,NA,ADAMS RIVER - UPPER,708
8582,N,NA,NA,ADAMS RIVER - UPPER,751
8827,N,NA,NA,ADAMS RIVER - UPPER,739
7947,Y,NA,NA,AHBAU CREEK,310
8206,N,NA,NA,AHBAU CREEK,749
8012,N,NA,NA,ALBREDA RIVER,318
8382,Y,NA,NA,ALBREDA RIVER,709
8110,N,NA,NA,ALOUETTE RIVER,701
8359,N,NA,NA,ALOUETTE RIVER,750
8467,N,NA,NA,ALOUETTE RIVER,710
9704,N,NA,NA,ALOUETTE RIVER,756
8195,N,NA,NA,AMERICAN CREEK,705
8468,N,NA,NA,AMERICAN CREEK,710
8196,N,NA,NA,ANDERSON CREEK CHANNEL,705
8587,,NA,NA,ANDERSON LAKE - SHORE SPAWNERS,719
7916,N,NA,NA,ANDERSON RIVER,308
8197,N,NA,NA,ANDERSON RIVER,705
8469,N,NA,NA,ANDERSON RIVER,710
8360,N,NA,NA,ANGEL-WING CHANNEL,750
8866,Y,NA,NA,ANKWILL CREEK,732
8423,Y,NA,NA,ANSTEY RIVER,708
8770,N,NA,NA,ANSTEY RIVER,738
8828,Y,NA,NA,ANSTEY RIVER,739
8829,N,NA,NA,ANSTEY RIVER - LAKE SHORE,739
8082,N,NA,NA,ANTLER CREEK,312
8593,N,NA,NA,ANTLER CREEK,735
8111,N,NA,NA,ATCHELITZ CREEK,701
8361,N,NA,NA,ATCHELITZ CREEK,750
8470,NA,NA,NA,AUSTRALIAN CREEK,710
8383,Y,NA,NA,AVOLA CREEK,709
8083,N,NA,NA,BAD RIVER (JAMES CREEK),312
7948,Y,NA,NA,BAEZAEKO RIVER,310
7949,N,NA,NA,BAKER CREEK,310
8471,NA,NA,NA,BAKER CREEK,710
7988,NA,NA,NA,BAPTISTE CREEK,311
8867,N,NA,NA,BAPTISTE CREEK,732
8112,N,NA,NA,BARNES CREEK,701
8362,N,NA,NA,BARNES CREEK,750
8113,N,NA,NA,BARRETT CREEK,701
8363,N,NA,NA,BARRETT CREEK,750
8022,Y,NA,NA,BARRIERE RIVER,319
8384,N,NA,NA,BARRIERE RIVER,709
8631,Y,NA,NA,BARRIERE RIVER,740
8868,N,NA,NA,BATES CREEK,732
8671,N,NA,NA,BAXTER BEACH,728
8672,N,NA,NA,BEAR BEACH - LAKE SHORE,728
7950,NA,NA,NA,BEECE CREEK,310
8114,N,NA,NA,BELCHARTON CREEK,701
8364,N,NA,NA,BELCHARTON CREEK,750
8472,NA,NA,NA,BELLE BAY CREEK,710
8032,Y,NA,NA,BESSETTE CREEK,316
8424,Y,NA,NA,BESSETTE CREEK,708
