species,year,preDate,p50,p25,p75
sockeye,2025,2025-07-11,2.974,1.404,6.392
pink,2025,2025-07-11,27,17.7,39
sockeye,2024,2025-07-12,0.567,0.299,1.121
sockeye,2023,2023-07-14,1.564,0.8,3.185
pink,2023,2023-07-14,6.135,4.389,8.575
sockeye,2022,2022-07-15,9.775,4.662,20.395
sockeye,2021,2021-07-09,1.33,0.624,2.775
pink,2021,2021-07-09,3.009,2.229,4.051
sockeye,2020,2020-07-10,0.941,0.488,1.913
sockeye,2019,2019-07-12,4.795,2.891,8.676
pink,2019,2019-07-12,5.0186,3.577,7.513
sockeye,2018,2018-07-13,13.981,8.423,22.937
sockeye,2017,2017-07-14,4.432,2.338,8.873
pink,2017,2017-07-14,8.693,6.177,12.353
sockeye,2016,2016-07-15,2.271,1.296,4.227
