region,species,gen_length
Central Coast,Chinook,5
Central Coast,Chum,4
Central Coast,Coho,4
Central Coast,Pink,2
Central Coast,Sockeye,5
Fraser,Chinook,5
Fraser,Chum,4
Fraser,Coho,4
Fraser,Pink,2
Fraser,Sockeye,4
Fraser,Steelhead,5
Haida Gwaii,Chinook,5
Haida Gwaii,Chum,5
Haida Gwaii,Coho,4
Haida Gwaii,Pink,2
Haida Gwaii,Sockeye,5
Nass,Chinook,5
Nass,Chum,4
Nass,Coho,4
Nass,Pink,2
Nass,Sockeye,5
Nass,Steelhead,5
Skeena,Chinook,6
Skeena,Chum,5
Skeena,Coho,4
Skeena,Pink,2
Skeena,Sockeye,5
Skeena,Steelhead,5
Transboundary,Chinook,5
Transboundary,Chum,NA
Transboundary,Coho,NA
Transboundary,Pink,2
Transboundary,Sockeye,NA
Vancouver Island & Mainland Inlets,Chinook,4
Vancouver Island & Mainland Inlets,Chum,4
Vancouver Island & Mainland Inlets,Coho,4
Vancouver Island & Mainland Inlets,Pink,2
Vancouver Island & Mainland Inlets,Sockeye,5
Vancouver Island & Mainland Inlets,Steelhead,5
Yukon,Chinook,6
Yukon,Chum,4
Yukon,Coho,4
Yukon,Pink,2
Yukon,Sockeye,4
Columbia,Sockeye,4
Columbia,Chinook,5
Columbia,Steelhead,5
