,region,species_qualified,streamid,stream_name_pse,indicator_nuseds,SYS_NM,Indicator_LGL
1,Central Coast,CK,1926,BRIM RIVER,N,BRIM RIVER,Y
2,Central Coast,CK,1970,KHUTZE RIVER,N,KHUTZE RIVER,Y
3,Central Coast,CK,1925,WAHOO CREEK,N,WAHOO CREEK,Y
4,Haida Gwaii,CK,1493,YAKOUN RIVER,N,YAKOUN RIVER,Y
5,Nass,CK,1818,NASS RIVER,Y,NASS RIVER,N
6,Nass,CK,1821,Xnukw,Y,XNUKW,N
7,Skeena,CK,1852,KADEEN CREEK,Y,KADEEN CREEK,N
8,Skeena,CK,1662,BABINE RIVER - SECTION 5,N,BABINE RIVER-SECTION 5,Y
9,Skeena,CK,1871,NANIKA RIVER,N,NANIKA RIVER,Y
10,Central Coast,CM,17,AIRPORT SIDE CHANNEL,N,AIRPORT SIDE CHANNEL,Y
11,Central Coast,CM,1229,BELLA COOLA RIVER,Y,BELLA COOLA RIVER,N
12,Central Coast,CM,26,FISH CREEK,N,FISH CREEK,Y
13,Central Coast,CM,18,GARBAGE DUMP CREEK,N,GARBAGE DUMP CREEK,Y
14,Central Coast,CM,19,GEORGE HALL CREEK,N,GEORGE HALL CREEK,Y
15,Central Coast,CM,1231,NECLEETSCONNAY RIVER,Y,NECLEETSCONNAY RIVER,N
16,Central Coast,CM,24,NOOHALK CREEK,N,NOOHALK CREEK,Y
17,Central Coast,CM,25,NOOKLIKONNIK CREEK,N,NOOKLIKONNIK CREEK,Y
18,Central Coast,CM,29,SALLOOMT RIVER,N,SALLOOMT RIVER,Y
19,Central Coast,CM,1238,SKOWQUILTZ RIVER,Y,SKOWQUILTZ RIVER,N
20,Central Coast,CM,1230,SNOOTLI CREEK,N,SNOOTLI CREEK,Y
21,Central Coast,CM,30,TASTSQUAN CREEK,N,TASTSQUAN CREEK,Y
22,Central Coast,CM,23,THORSEN CREEK,N,THORSEN CREEK,Y
23,Central Coast,CM,639,BIG TILLHORN CREEK,N,BIG TILLHORN CREEK,Y
24,Central Coast,CM,1078,EAGLE BAY CREEK,N,EAGLE BAY CREEK,Y
25,Central Coast,CM,1171,HEAD CREEK,N,HEAD CREEK,Y
26,Central Coast,CM,1084,KITIMAT RIVER,Y,KITIMAT RIVER,N
27,Central Coast,CM,1316,KITKIATA CREEK,N,KITKIATA CREEK,Y
28,Central Coast,CM,1062,KLEKANE RIVER,N,KLEKANE RIVER,Y
29,Central Coast,CM,638,LITTLE TILLHORN CREEK,N,LITTLE TILLHORN CREEK,Y
30,Central Coast,CM,1307,MCKAY CREEK,Y,MCKAY CREEK,N
31,Central Coast,CM,1065,PARIL RIVER,N,PARIL RIVER,Y
32,Central Coast,CM,634,RIORDAN CREEK,N,RIORDAN CREEK,Y
33,Central Coast,CM,636,VERNEY PASSAGE CREEK,N,VERNEY PASSAGE CREEK,Y
34,Central Coast,CM,1082,WATHL CREEK,N,WATHL CREEK,Y
35,Central Coast,CM,602,WHALEN CREEK,N,WHALEN CREEK,Y
36,Central Coast,CM,1321,GABION RIVER,N,GABION RIVER,Y
37,Central Coast,CM,377,GORILLA CREEK,N,GORILLA CREEK,Y
38,Central Coast,CM,640,LAGOON CREEK,Y,LAGOON CREEK,N
39,Central Coast,CM,376,MEYERS PASS CREEK,Y,MEYERS PASS CREEK,N
40,Central Coast,CM,676,SHAW CREEK,Y,SHAW CREEK,N
41,Central Coast,CM,1261,TANKEEAH RIVER,N,TANKEEAH RIVER,Y
42,Central Coast,CM,1271,BIG CREEK,N,BIG CREEK,Y
43,Central Coast,CM,1276,BOLIN BAY CREEK,N,BOLIN BAY CREEK,Y
44,Central Coast,CM,1215,MILTON RIVER,N,MILTON RIVER,Y
45,Central Coast,CM,731,NEKITE SPAWNING CHANNEL,N,NEKITE SPAWNING CHANNEL,Y
46,Central Coast,CM,44,BULLOCK CHANNEL #2 CREEK,N,BULLOCK CHANNEL #2 CREEK,Y
47,Central Coast,CM,45,BULLOCK CHANNEL #3 NORTH CREEK,N,BULLOCK CHANNEL #3 NORTH CREEK,Y
48,Central Coast,CM,46,BULLOCK CHANNEL #3 SOUTH CREEK,N,BULLOCK CHANNEL #3 SOUTH CREEK,Y
49,Central Coast,CM,43,BULLOCK CHANNEL EAST CREEK,Y,BULLOCK CHANNEL EAST CREEK,N
50,Central Coast,CM,28,COOPER INLET-ADA COVE CREEK,N,COOPER INLET-ADA COVE CREEK,Y
51,Central Coast,CM,551,COOPER INLET-FANNIE COVE CREEKS,Y,COOPER INLET-FANNIE COVE CREEKS,N
52,Central Coast,CM,42,COOPER INLET-FANNIE COVE LH CREEK,N,COOPER INLET-FANNIE COVE LH CREEK,Y
53,Central Coast,CM,557,FOUR LAKES CREEK,N,FOUR LAKES CREEK,Y
54,Central Coast,CM,560,KADJUSDIS RIVER,N,KADJUSDIS RIVER,Y
55,Central Coast,CM,1252,LEE CREEK,N,LEE CREEK,Y
56,Central Coast,CM,1246,MARTIN RIVER,Y,MARTIN RIVER,N
57,Central Coast,CM,1250,RAINBOW CREEK,N,RAINBOW CREEK,Y
58,Central Coast,CM,554,SAGAR CREEK,N,SAGAR CREEK,Y
59,Central Coast,CM,563,SCRIBNER CREEK,N,SCRIBNER CREEK,Y
60,Haida Gwaii,CM,399,DASS CREEK,Y,DASS CREEK,N
61,Haida Gwaii,CM,430,ISLAND BAY CREEKS-R/H,N,ISLAND BAY CREEKS-R/H,Y
62,Haida Gwaii,CM,402,SEWELL INLET CREEK,Y,SEWELL INLET CREEK,N
63,Haida Gwaii,CM,400,SEWELL POINT CREEK,Y,SEWELL POINT CREEK,N
64,Haida Gwaii,CM,428,SKAAT HARBOUR CREEK-L/H,N,SKAAT HARBOUR CREEK-L/H,Y
65,Haida Gwaii,CM,340,HONNA RIVER,Y,HONNA RIVER,N
66,Haida Gwaii,CM,347,INDIAN CABIN CREEK-R/H,Y,INDIAN CABIN CREEK-R/H,N
67,Haida Gwaii,CM,345,LAGINS CREEK-RH,Y,LAGINS CREEK-RH,N
68,Haida Gwaii,CM,342,OUTLOOK CREEK,Y,OUTLOOK CREEK,N
69,Haida Gwaii,CM,350,SALTSPRING BAY CREEK-L/H,Y,SALTSPRING BAY CREEK-L/H,N
70,Haida Gwaii,CM,14,SLEEPING BEAUTY CREEK,N,SLEEPING BEAUTY CREEK,Y
71,Haida Gwaii,CM,341,TARUNDL CREEK,Y,TARUNDL CREEK,N
72,Haida Gwaii,CM,351,TWO TORRENT CREEK,Y,TWO TORRENT CREEK,N
73,Haida Gwaii,CM,354,WEST NARROWS CREEK,Y,WEST NARROWS CREEK,N
74,Haida Gwaii,CM,469,BOTTLE INLET CREEK,N,BOTTLE INLET CREEK,Y
75,Haida Gwaii,CM,458,FAIRFAX INLET CREEK-OUTER,N,FAIRFAX INLET CREEK-OUTER,Y
76,Haida Gwaii,CM,463,FLAT CREEK,N,FLAT CREEK,Y
77,Haida Gwaii,CM,457,GOSKI BAY CREEK,N,GOSKI BAY CREEK,Y
78,Haida Gwaii,CM,468,KOOTENAY INLET NORTH ARM CREEK,N,KOOTENAY INLET NORTH ARM CREEK,Y
79,Haida Gwaii,CM,451,LOUSCOONE INLET CREEK,N,LOUSCOONE INLET CREEK,Y
80,Haida Gwaii,CM,370,MCKENZIE COVE CREEK,N,MCKENZIE COVE CREEK,Y
81,Haida Gwaii,CM,364,ROCKRUN CREEK,N,ROCKRUN CREEK,Y
82,Haida Gwaii,CM,277,SEAL INLET CREEK,Y,SEAL INLET CREEK,N
83,Haida Gwaii,CM,276,TARTU INLET CREEK-HEAD,Y,TARTU INLET CREEK-HEAD,N
84,Haida Gwaii,CM,456,YAKULANAS CREEK,N,YAKULANAS CREEK,Y
85,Nass,CM,862,Ksemamaith Creek,N,KSEMAMAITH CREEK,Y
86,Nass,CM,525,Ksi X'Anmas,N,KSI X'ANMAS,Y
87,Nass,CM,517,LACHMACH RIVER,N,LACHMACH RIVER,Y
88,Skeena,CM,895,ANDESITE CREEK,N,ANDESITE CREEK,Y
89,Skeena,CM,954,DATE CREEK,N,DATE CREEK,Y
90,Skeena,CM,661,ALPHA CREEK,N,ALPHA CREEK,Y
91,Skeena,CM,509,DENISE CREEK,N,DENISE CREEK,Y
92,Skeena,CM,578,KITKATLA CREEK,N,KITKATLA CREEK,Y
93,Skeena,CM,511,SILVER CREEK,N,SILVER CREEK,Y
94,Skeena,CM,516,STUMAUN CREEK,N,STUMAUN CREEK,Y
