"","region","species_qualified","streamid","stream_name_pse","indicator","SYS_NM","Indicator"
"1","Haida Gwaii","CK",1493,"YAKOUN RIVER","N","YAKOUN RIVER","Y"
"2","Nass","CK",1818,"NASS RIVER","Y","NASS RIVER","N"
"3","Nass","CK",1821,"XNUKW","Y","XNUKW","N"
"4","Skeena","CK",1852,"KADEEN CREEK","Y","KADEEN CREEK","N"
"5","Skeena","CK",1662,"BABINE RIVER - SECTION 5","N","BABINE RIVER-SECTION 5","Y"
"6","Skeena","CK",1871,"NANIKA RIVER","N","NANIKA RIVER","Y"
"7","Central Coast","CK",1926,"BRIM RIVER","N","BRIM RIVER","Y"
"8","Central Coast","CK",1970,"KHUTZE RIVER","N","KHUTZE RIVER","Y"
"9","Central Coast","CK",1925,"WAHOO CREEK","N","WAHOO CREEK","Y"
"10","Haida Gwaii","CM",399,"DASS CREEK","Y","DASS CREEK","N"
"11","Haida Gwaii","CM",402,"SEWELL INLET CREEK","Y","SEWELL INLET CREEK","N"
"12","Haida Gwaii","CM",400,"SEWELL POINT CREEK","Y","SEWELL POINT CREEK","N"
"13","Haida Gwaii","CM",430,"ISLAND BAY CREEKS-R/H","N","ISLAND BAY CREEKS-R/H","Y"
"14","Haida Gwaii","CM",428,"SKAAT HARBOUR CREEK-L/H","N","SKAAT HARBOUR CREEK-L/H","Y"
"15","Haida Gwaii","CM",340,"HONNA RIVER","Y","HONNA RIVER","N"
"16","Haida Gwaii","CM",347,"INDIAN CABIN CREEK-R/H","Y","INDIAN CABIN CREEK-R/H","N"
"17","Haida Gwaii","CM",345,"LAGINS CREEK-RH","Y","LAGINS CREEK-RH","N"
"18","Haida Gwaii","CM",342,"OUTLOOK CREEK","Y","OUTLOOK CREEK","N"
"19","Haida Gwaii","CM",350,"SALTSPRING BAY CREEK-L/H","Y","SALTSPRING BAY CREEK-L/H","N"
"20","Haida Gwaii","CM",341,"TARUNDL CREEK","Y","TARUNDL CREEK","N"
"21","Haida Gwaii","CM",351,"TWO TORRENT CREEK","Y","TWO TORRENT CREEK","N"
"22","Haida Gwaii","CM",354,"WEST NARROWS CREEK","Y","WEST NARROWS CREEK","N"
"23","Haida Gwaii","CM",14,"SLEEPING BEAUTY CREEK","N","SLEEPING BEAUTY CREEK","Y"
"24","Haida Gwaii","CM",277,"SEAL INLET CREEK","Y","SEAL INLET CREEK","N"
"25","Haida Gwaii","CM",276,"TARTU INLET CREEK-HEAD","Y","TARTU INLET CREEK-HEAD","N"
"26","Haida Gwaii","CM",469,"BOTTLE INLET CREEK","N","BOTTLE INLET CREEK","Y"
"27","Haida Gwaii","CM",458,"FAIRFAX INLET CREEK-OUTER","N","FAIRFAX INLET CREEK-OUTER","Y"
"28","Haida Gwaii","CM",463,"FLAT CREEK","N","FLAT CREEK","Y"
"29","Haida Gwaii","CM",457,"GOSKI BAY CREEK","N","GOSKI BAY CREEK","Y"
"30","Haida Gwaii","CM",468,"KOOTENAY INLET NORTH ARM CREEK","N","KOOTENAY INLET NORTH ARM CREEK","Y"
"31","Haida Gwaii","CM",451,"LOUSCOONE INLET CREEK","N","LOUSCOONE INLET CREEK","Y"
"32","Haida Gwaii","CM",370,"MCKENZIE COVE CREEK","N","MCKENZIE COVE CREEK","Y"
"33","Haida Gwaii","CM",364,"ROCKRUN CREEK","N","ROCKRUN CREEK","Y"
"34","Haida Gwaii","CM",456,"YAKULANAS CREEK","N","YAKULANAS CREEK","Y"
"35","Nass","CM",862,"KSEMAMAITH CREEK","N","KSEMAMAITH CREEK","Y"
"36","Nass","CM",525,"KSI X'ANMAS","N","KSI X'ANMAS","Y"
"37","Nass","CM",517,"LACHMACH RIVER","N","LACHMACH RIVER","Y"
"38","Skeena","CM",895,"ANDESITE CREEK","N","ANDESITE CREEK","Y"
"39","Skeena","CM",954,"DATE CREEK","N","DATE CREEK","Y"
"40","Skeena","CM",661,"ALPHA CREEK","N","ALPHA CREEK","Y"
"41","Skeena","CM",509,"DENISE CREEK","N","DENISE CREEK","Y"
"42","Skeena","CM",578,"KITKATLA CREEK","N","KITKATLA CREEK","Y"
"43","Skeena","CM",511,"SILVER CREEK","N","SILVER CREEK","Y"
"44","Skeena","CM",516,"STUMAUN CREEK","N","STUMAUN CREEK","Y"
"45","Central Coast","CM",1231,"NECLEETSCONNAY RIVER","Y","NECLEETSCONNAY RIVER","N"
"46","Central Coast","CM",1238,"SKOWQUILTZ RIVER","Y","SKOWQUILTZ RIVER","N"
"47","Central Coast","CM",17,"AIRPORT SIDE CHANNEL","N","AIRPORT SIDE CHANNEL","Y"
"48","Central Coast","CM",26,"FISH CREEK","N","FISH CREEK","Y"
"49","Central Coast","CM",18,"GARBAGE DUMP CREEK","N","GARBAGE DUMP CREEK","Y"
"50","Central Coast","CM",19,"GEORGE HALL CREEK","N","GEORGE HALL CREEK","Y"
"51","Central Coast","CM",24,"NOOHALK CREEK","N","NOOHALK CREEK","Y"
"52","Central Coast","CM",25,"NOOKLIKONNIK CREEK","N","NOOKLIKONNIK CREEK","Y"
"53","Central Coast","CM",29,"SALLOOMT RIVER","N","SALLOOMT RIVER","Y"
"54","Central Coast","CM",1230,"SNOOTLI CREEK","N","SNOOTLI CREEK","Y"
"55","Central Coast","CM",30,"TASTSQUAN CREEK","N","TASTSQUAN CREEK","Y"
"56","Central Coast","CM",23,"THORSEN CREEK","N","THORSEN CREEK","Y"
"57","Central Coast","CM",1084,"KITIMAT RIVER","Y","KITIMAT RIVER","N"
"58","Central Coast","CM",1307,"MCKAY CREEK","Y","MCKAY CREEK","N"
"59","Central Coast","CM",639,"BIG TILLHORN CREEK","N","BIG TILLHORN CREEK","Y"
"60","Central Coast","CM",1078,"EAGLE BAY CREEK","N","EAGLE BAY CREEK","Y"
"61","Central Coast","CM",1171,"HEAD CREEK","N","HEAD CREEK","Y"
"62","Central Coast","CM",1316,"KITKIATA CREEK","N","KITKIATA CREEK","Y"
"63","Central Coast","CM",1062,"KLEKANE RIVER","N","KLEKANE RIVER","Y"
"64","Central Coast","CM",638,"LITTLE TILLHORN CREEK","N","LITTLE TILLHORN CREEK","Y"
"65","Central Coast","CM",1065,"PARIL RIVER","N","PARIL RIVER","Y"
"66","Central Coast","CM",634,"RIORDAN CREEK","N","RIORDAN CREEK","Y"
"67","Central Coast","CM",636,"VERNEY PASSAGE CREEK","N","VERNEY PASSAGE CREEK","Y"
"68","Central Coast","CM",1082,"WATHL CREEK","N","WATHL CREEK","Y"
"69","Central Coast","CM",602,"WHALEN CREEK","N","WHALEN CREEK","Y"
"70","Central Coast","CM",640,"LAGOON CREEK","Y","LAGOON CREEK","N"
"71","Central Coast","CM",376,"MEYERS PASS CREEK","Y","MEYERS PASS CREEK","N"
"72","Central Coast","CM",676,"SHAW CREEK","Y","SHAW CREEK","N"
"73","Central Coast","CM",1321,"GABION RIVER","N","GABION RIVER","Y"
"74","Central Coast","CM",377,"GORILLA CREEK","N","GORILLA CREEK","Y"
"75","Central Coast","CM",1261,"TANKEEAH RIVER","N","TANKEEAH RIVER","Y"
