StatArea/CU,Region,Year,T_Idx_E,ExpFactor1,AdjSum,ExpFactor2,ObsE,ExpFactor3,TE,CDN Harvest,Cdn ER,TRTC,Total Harvest,Total ER,Total Run,Q1,Q2,Q3
03,Nass,1982,350008,1,350008,1,350008,1,350008,412904.6652,0.44844043,762888,570749,0.619869303,920757,4.5,5,5
03,Nass,1983,209432,1,209432,1,209432,1,209432,238418.9031,0.38743929,447874,405939,0.65966547,615371,4.5,5,5
03,Nass,1984,201970,1,201970,1,201970,1,201970,198505.9768,0.365551159,400490,341062,0.628069801,543032,4.5,5,5
03,Nass,1985,407042,1,407042,1,407042,1,407042,252625.1833,0.300278477,659672,434261,0.516176693,841303,4.5,5,5
03,Nass,1986,213695,1,213695,1,213695,1,213695,164532.0205,0.249714319,378228,445186,0.67566981,658881,4.5,5,5
03,Nass,1987,210166,1,210166,1,210166,1,210166,202420.9758,0.359624877,412563,352701,0.626615168,562867,4.5,5,5
03,Nass,1988,155793,1,155793,1,155793,1,155793,103385.536,0.257729311,259195,245347,0.611624371,401140,4.5,5,5
03,Nass,1989,127418,1,127418,1,127418,1,127418,235492.7222,0.401394821,362884,459268,0.782817384,586686,4.5,5,5
03,Nass,1990,177461,1,177461,1,177461,1,177461,108704.6857,0.236508368,286161,282162,0.613898782,459623,4.5,5,5
03,Nass,1991,308716,1,308716,1,308716,1,308716,417918.0412,0.435787962,726632,650278,0.678083492,958994,4.5,5,5
03,Nass,1992,672844,1,672844,1,672844,1,672844,899376.0276,0.458845655,1572315,1287240,0.656726957,1960084,4.5,5,5
03,Nass,1993,538263,1,538263,1,538263,1,538263,1047283.772,0.486976455,1585605,1612321,0.749713101,2150584,4.5,5,5
03,Nass,1994,310044,1,310044,1,310044,1,310044,279690.1478,0.334102798,589758,527094,0.629638124,837138,4.5,5,5
03,Nass,1995,264689,1,264689,1,264689,1,264689,589876.449,0.504715759,854566,904041,0.773524253,1168730,4.5,5,5
03,Nass,1996,217909,1,217909,1,217909,1,217909,476012.343,0.451454569,693967,836488,0.793333061,1054397,4.5,5,5
03,Nass,1997,250460,1,250460,1,250460,1,250460,323476.1202,0.325179737,573929,744301,0.748220929,994761,4.5,5,5
03,Nass,1998,266463,1,266463,1,266463,1,266463,179861.2821,0.252691174,446293,445320,0.625640118,711783,4.5,5,5
03,Nass,1999,210959,1,210959,1,210959,1,210959,434357.5533,0.51537013,645348,631848,0.74969477,842807,4.5,5,5
03,Nass,2000,204408,1,204408,1,204408,1,204408,335061.3094,0.535256244,539491,421575,0.673460781,625983,4.5,5,5
03,Nass,2001,167258,1,167258,1,167258,1,167258,211568.233,0.362345724,378850,416627,0.713542907,583885,4.5,5,5
03,Nass,2002,405474,1,405474,1,405474,1,405474,873058.3992,0.621847097,1278576,998502,0.711195918,1403976,4.5,5,5
03,Nass,2003,263688,1,263688,1,263688,1,263688,763683.272,0.648578711,1027343,913784,0.776055821,1177472,4.5,5,5
03,Nass,2004,215860,1,215860,1,215860,1,215860,470316.719,0.476947723,686195,770237,0.781096586,986097,4.5,5,5
