year,runsize,escapement
1985,5338234,2290753
1986,1836206,820369
1987,2397591,1424980
1988,3974781,1489190
1989,2612496,1207583
1990,2719901,1077302
1991,3756752,1379229
1992,4858381,2135104
1993,4728100,1745398
1994,2717408,1139618
1995,5591412,1895493
1996,7471192,2111030
1997,3753029,1181015
1998,985894,553591
1999,942036,725900
2000,4680551,1416903
2001,4420588,1589180
2002,1350832,637553
2003,2106707,1371846
2004,1630546,982171
2005,1111221,765404
2006,2839738,1240303
2007,2147441,1131604
2008,2146842,914837
2009,1022306,806138
2010,956834,719053
2011,1907199,1021044
2012,2230772,1214934
2013,457860,414633
2014,3266992,1624393
2015,2142551,1321204
2016,1666390,974724
2017,1060579,952511
2018,1730000,1254438
2019,799954,583882
2020,1663897,1296467
