"","region","species_name","species_qualified","streamid","POP_ID","stream_name_pse","GFE_ID","indicator_nuseds","latitude","longitude","year","stream_observed_count","source_id","POP_ID_pk","indicator_lgl","indicator"
"1","West Vancouver Island","Chinook","CK",1541,41873,"ARTLISH RIVER",1413,"Y",50.1150961,-127.0875277,1953,1500,"NuSEDS_20251103",41873,NA,"Y"
"2","West Vancouver Island","Chinook","CK",1541,41873,"ARTLISH RIVER",1413,"Y",50.1150961,-127.0875277,1954,750,"NuSEDS_20251103",41873,NA,"Y"
"3","West Vancouver Island","Chinook","CK",1541,41873,"ARTLISH RIVER",1413,"Y",50.1150961,-127.0875277,1955,750,"NuSEDS_20251103",41873,NA,"Y"
"4","West Vancouver Island","Chinook","CK",1541,41873,"ARTLISH RIVER",1413,"Y",50.1150961,-127.0875277,1956,400,"NuSEDS_20251103",41873,NA,"Y"
"5","West Vancouver Island","Chinook","CK",1541,41873,"ARTLISH RIVER",1413,"Y",50.1150961,-127.0875277,1957,400,"NuSEDS_20251103",41873,NA,"Y"
"6","West Vancouver Island","Chinook","CK",1541,41873,"ARTLISH RIVER",1413,"Y",50.1150961,-127.0875277,1958,3500,"NuSEDS_20251103",41873,NA,"Y"
"7","West Vancouver Island","Chinook","CK",1541,41873,"ARTLISH RIVER",1413,"Y",50.1150961,-127.0875277,1959,200,"NuSEDS_20251103",41873,NA,"Y"
"8","West Vancouver Island","Chinook","CK",1541,41873,"ARTLISH RIVER",1413,"Y",50.1150961,-127.0875277,1960,750,"NuSEDS_20251103",41873,NA,"Y"
"9","West Vancouver Island","Chinook","CK",1541,41873,"ARTLISH RIVER",1413,"Y",50.1150961,-127.0875277,1961,400,"NuSEDS_20251103",41873,NA,"Y"
"10","West Vancouver Island","Chinook","CK",1541,41873,"ARTLISH RIVER",1413,"Y",50.1150961,-127.0875277,1962,200,"NuSEDS_20251103",41873,NA,"Y"
"11","West Vancouver Island","Chinook","CK",1541,41873,"ARTLISH RIVER",1413,"Y",50.1150961,-127.0875277,1963,750,"NuSEDS_20251103",41873,NA,"Y"
"12","West Vancouver Island","Chinook","CK",1541,41873,"ARTLISH RIVER",1413,"Y",50.1150961,-127.0875277,1964,25,"NuSEDS_20251103",41873,NA,"Y"
"13","West Vancouver Island","Chinook","CK",1541,41873,"ARTLISH RIVER",1413,"Y",50.1150961,-127.0875277,1965,400,"NuSEDS_20251103",41873,NA,"Y"
"14","West Vancouver Island","Chinook","CK",1541,41873,"ARTLISH RIVER",1413,"Y",50.1150961,-127.0875277,1966,3500,"NuSEDS_20251103",41873,NA,"Y"
"15","West Vancouver Island","Chinook","CK",1541,41873,"ARTLISH RIVER",1413,"Y",50.1150961,-127.0875277,1967,25,"NuSEDS_20251103",41873,NA,"Y"
