"region","species_name","cuid","cu_name_pse","year","estimated_count","observed_count","total_run","uploadid"
"Skeena","Lake sockeye",171,"Alastair",1950,NA,13000,NA,1700
"Skeena","Lake sockeye",171,"Alastair",1951,NA,13500,NA,1700
"Skeena","Lake sockeye",171,"Alastair",1952,NA,18000,NA,1700
"Skeena","Lake sockeye",171,"Alastair",1953,NA,16000,NA,1700
"Skeena","Lake sockeye",171,"Alastair",1954,NA,20000,NA,1700
"Skeena","Lake sockeye",171,"Alastair",1955,NA,19250,NA,1700
"Skeena","Lake sockeye",171,"Alastair",1956,NA,26000,NA,1700
"Skeena","Lake sockeye",171,"Alastair",1957,NA,42900,NA,1700
"Skeena","Lake sockeye",171,"Alastair",1958,NA,44000,NA,1700
"Skeena","Lake sockeye",171,"Alastair",1959,NA,22500,NA,1700
"Skeena","Lake sockeye",171,"Alastair",1960,7763,3900,11451,1700
"Skeena","Lake sockeye",171,"Alastair",1961,29389,14250,42244,1700
"Skeena","Lake sockeye",171,"Alastair",1962,22058,10395,33049,1700
"Skeena","Lake sockeye",171,"Alastair",1963,19962,9000,25081,1700
"Skeena","Lake sockeye",171,"Alastair",1964,4214,2350,6212,1700
"Skeena","Lake sockeye",171,"Alastair",1965,17523,7900,24110,1700
"Skeena","Lake sockeye",171,"Alastair",1966,18632,8400,30001,1700
"Skeena","Lake sockeye",171,"Alastair",1967,27726,12500,47480,1700
"Skeena","Lake sockeye",171,"Alastair",1968,33271,15000,52659,1700
"Skeena","Lake sockeye",171,"Alastair",1969,6654,3000,9540,1700
"Skeena","Lake sockeye",171,"Alastair",1970,4991,2250,7179,1700
"Skeena","Lake sockeye",171,"Alastair",1971,2551,1150,3810,1700
"Skeena","Lake sockeye",171,"Alastair",1972,8872,4000,13417,1700
"Skeena","Lake sockeye",171,"Alastair",1973,8872,4000,14253,1700
"Skeena","Lake sockeye",171,"Alastair",1974,3882,1750,6568,1700
"Skeena","Lake sockeye",171,"Alastair",1975,1331,600,1785,1700
"Skeena","Lake sockeye",171,"Alastair",1976,6654,3000,10164,1700
"Skeena","Lake sockeye",171,"Alastair",1977,15526,7000,23852,1700
