"","region","species_name","cu_name_pse","stream_name_pse","streamid","indicator","indicator_old"
"1","Haida Gwaii","Chinook","North Haida Gwaii","YAKOUN RIVER",8938,"N","Y"
"2","Haida Gwaii","Chum","East Haida Gwaii","DASS CREEK",8970,"Y","N"
"3","Haida Gwaii","Chum","East Haida Gwaii","SEWELL INLET CREEK",8973,"Y","N"
"4","Haida Gwaii","Chum","East Haida Gwaii","SEWELL POINT CREEK",8971,"Y","N"
"5","Haida Gwaii","Chum","East Haida Gwaii","ISLAND BAY CREEKS-R/H",9001,"N","Y"
"6","Haida Gwaii","Chum","East Haida Gwaii","SKAAT HARBOUR CREEK-L/H",8999,"N","Y"
"7","Haida Gwaii","Chum","Skidegate","HONNA RIVER",9057,"Y","N"
"8","Haida Gwaii","Chum","Skidegate","INDIAN CABIN CREEK-R/H",9064,"Y","N"
"9","Haida Gwaii","Chum","Skidegate","LAGINS CREEK-RH",9062,"Y","N"
"10","Haida Gwaii","Chum","Skidegate","OUTLOOK CREEK",9059,"Y","N"
"11","Haida Gwaii","Chum","Skidegate","SALTSPRING BAY CREEK-L/H",9067,"Y","N"
"12","Haida Gwaii","Chum","Skidegate","TARUNDL CREEK",9058,"Y","N"
"13","Haida Gwaii","Chum","Skidegate","TWO TORRENT CREEK",9068,"Y","N"
"14","Haida Gwaii","Chum","Skidegate","WEST NARROWS CREEK",9071,"Y","N"
"15","Haida Gwaii","Chum","Skidegate","SLEEPING BEAUTY CREEK",9040,"N","Y"
"16","Haida Gwaii","Chum","West Haida Gwaii","SEAL INLET CREEK",9095,"Y","N"
"17","Haida Gwaii","Chum","West Haida Gwaii","TARTU INLET CREEK-HEAD",9094,"Y","N"
"18","Haida Gwaii","Chum","West Haida Gwaii","BOTTLE INLET CREEK",9134,"N","Y"
"19","Haida Gwaii","Chum","West Haida Gwaii","FAIRFAX INLET CREEK-OUTER",9123,"N","Y"
"20","Haida Gwaii","Chum","West Haida Gwaii","FLAT CREEK",9128,"N","Y"
"21","Haida Gwaii","Chum","West Haida Gwaii","GOSKI BAY CREEK",9122,"N","Y"
"22","Haida Gwaii","Chum","West Haida Gwaii","KOOTENAY INLET NORTH ARM CREEK",9133,"N","Y"
"23","Haida Gwaii","Chum","West Haida Gwaii","LOUSCOONE INLET CREEK",9116,"N","Y"
"24","Haida Gwaii","Chum","West Haida Gwaii","MCKENZIE COVE CREEK",9112,"N","Y"
"25","Haida Gwaii","Chum","West Haida Gwaii","ROCKRUN CREEK",9106,"N","Y"
"26","Haida Gwaii","Chum","West Haida Gwaii","YAKULANAS CREEK",9121,"N","Y"
"27","Haida Gwaii","Coho","East Haida Gwaii","CRESCENT INLET CREEK",9216,"N","Y"
"28","Haida Gwaii","Coho","East Haida Gwaii","LAGOON CREEK",9202,"N","Y"
"29","Haida Gwaii","Coho","Haida Gwaii-Graham Island Lowlands","DATLAMEN CREEK",9342,"Y","N"
"30","Haida Gwaii","Coho","West Haida Gwaii","RILEY CREEK",9275,"Y","N"
"31","Haida Gwaii","Coho","West Haida Gwaii","BOTANY INLET CREEK-HEAD",9315,"N","Y"
"32","Haida Gwaii","Coho","West Haida Gwaii","BOTANY INLET CREEK-OUTER",9314,"N","Y"
"33","Haida Gwaii","Coho","West Haida Gwaii","DAWSON HARBOUR CREEK",9288,"N","Y"
"34","Haida Gwaii","Pink","East Haida Gwaii (even)","HAANS CREEK",9389,"Y","N"
"35","Haida Gwaii","Pink","East Haida Gwaii (even)","SANDY CREEK",9417,"Y","N"
"36","Haida Gwaii","Pink","East Haida Gwaii (even)","THURSTON HARBOUR CREEK",9396,"Y","N"
"37","Haida Gwaii","Pink","East Haida Gwaii (even)","CHADSEY CREEK",9421,"N","Y"
"38","Haida Gwaii","Pink","East Haida Gwaii (odd)","BIG GOOSE CREEK",9578,"Y","N"
"39","Haida Gwaii","Pink","East Haida Gwaii (odd)","HAANS CREEK",9548,"Y","N"
"40","Haida Gwaii","Pink","East Haida Gwaii (odd)","SACHS CREEK",9547,"Y","N"
"41","Haida Gwaii","Pink","North Haida Gwaii (even)","STANLEY CREEK",9361,"Y","N"
"42","Haida Gwaii","Pink","North Haida Gwaii (even)","AIN RIVER",9366,"N","Y"
"43","Haida Gwaii","Pink","West Haida Gwaii (even)","CELESTIAL RIVER",9480,"Y","N"
"44","Haida Gwaii","Pink","West Haida Gwaii (even)","DAWSON INLET CREEK",9500,"Y","N"
"45","Haida Gwaii","Pink","West Haida Gwaii (even)","FLAT CREEK",9526,"Y","N"
"46","Haida Gwaii","Pink","West Haida Gwaii (even)","INSKIP CREEK",9511,"Y","N"
"47","Haida Gwaii","Pink","West Haida Gwaii (even)","NORTH ARM HEAD CREEK",9497,"Y","N"
"48","Haida Gwaii","Pink","West Haida Gwaii (odd)","BROWNS CABIN CREEK",9626,"Y","N"
"49","Haida Gwaii","Pink","West Haida Gwaii (odd)","SECURITY INLET CREEK-L/H",9637,"Y","N"
"50","Haida Gwaii","Sockeye","Mathers","MATHERS CREEK",9658,"N","Y"
"51","Haida Gwaii","Sockeye","Mercer","MERCER CREEK",9659,"N","Y"
"52","Nass","Pink","Nass-Portland-Observatory (odd)","BELLE BAY CREEK",5457,"Y","N"
"53","Nass","Pink","Nass-Portland-Observatory (odd)","WELDA CREEK",5469,"Y","N"
"54","Nass","Sockeye","Damdochax","DAMDOCHAX CREEK",3683,"N","Y"
"55","Nass","Sockeye","Fred Wright","KWINAGEESE RIVER",3684,"N","Y"
"56","Nass","Sockeye","Upper Nass River (river-type)","BROWN BEAR CREEK",3690,"N","Y"
"57","Skeena","Chinook","Lower Skeena","Kadeen Creek",1918,"Y","N"
"58","Skeena","Chinook","Middle Skeena-Large Lakes","Babine River-Section 5",2244,"N","Y"
"59","Skeena","Chinook","Middle Skeena-Large Lakes","Nanika River",2254,"N","Y"
"60","Skeena","Chum","Lower Skeena","Andesite Creek",1928,"N","Y"
"61","Skeena","Chum","Middle Skeena","Date Creek",2139,"N","Y"
"62","Skeena","Chum","Skeena Estuary","Denise Creek",3124,"N","Y"
"63","Skeena","Chum","Skeena Estuary","Silver Creek",3142,"N","Y"
"64","Skeena","Chum","Skeena Estuary","Stumaun Creek",3144,"N","Y"
"65","Skeena","Coho","Lower Skeena","Lean-To Creek",2020,"Y","N"
"66","Skeena","Coho","Lower Skeena","Sockeye Creek",2045,"Y","N"
"67","Skeena","Coho","Lower Skeena","Southend Creek",2046,"Y","N"
"68","Skeena","Coho","Lower Skeena","Andalas Creek",1970,"N","Y"
"69","Skeena","Coho","Lower Skeena","Clear Creek",1977,"N","Y"
"70","Skeena","Coho","Lower Skeena","Deep Creek",1985,"N","Y"
"71","Skeena","Coho","Lower Skeena","Erlandsen Creek",1990,"N","Y"
"72","Skeena","Coho","Lower Skeena","Gitnadoix River",1997,"N","Y"
"73","Skeena","Coho","Lower Skeena","Goat Creek",1999,"N","Y"
"74","Skeena","Coho","Lower Skeena","Herman Creek",2004,"N","Y"
"75","Skeena","Coho","Lower Skeena","Salmon Run Creek",2037,"N","Y"
"76","Skeena","Coho","Lower Skeena","Zymoetz River-Upper",2059,"N","Y"
"77","Skeena","Coho","Middle Skeena","Babine River-Section 4",2152,"Y","N"
"78","Skeena","Coho","Middle Skeena","Fulton River",2182,"Y","N"
"79","Skeena","Coho","Middle Skeena","Pinkut Creek",2213,"Y","N"
"80","Skeena","Coho","Middle Skeena","Big Loon Creek",2159,"N","Y"
"81","Skeena","Coho","Middle Skeena","Buck Creek",2163,"N","Y"
"82","Skeena","Coho","Middle Skeena","Canyon Creek",2167,"N","Y"
"83","Skeena","Coho","Middle Skeena","Cullon Creek",2174,"N","Y"
"84","Skeena","Coho","Middle Skeena","Gosnell Creek",2185,"N","Y"
"85","Skeena","Coho","Middle Skeena","Morice River",2203,"N","Y"
"86","Skeena","Coho","Middle Skeena","Nangeese River",2206,"N","Y"
"87","Skeena","Coho","Middle Skeena","Skunsnat Creek",2220,"N","Y"
"88","Skeena","Coho","Middle Skeena","Station Creek",2222,"N","Y"
"89","Skeena","Coho","Middle Skeena","Steep Canyon Creek",2223,"N","Y"
"90","Skeena","Coho","Middle Skeena","Stephens Creek",2224,"N","Y"
"91","Skeena","Coho","Middle Skeena","Telkwa River",2232,"N","Y"
"92","Skeena","Coho","Upper Skeena","Asitka River",3414,"N","Y"
"93","Skeena","Coho","Upper Skeena","Motase Lake",3426,"N","Y"
"94","Skeena","Pink","Lower Skeena River (odd)","Dog Tag Creek",1860,"Y","N"
"95","Skeena","Pink","Lower Skeena River (odd)","Khyex River",1876,"Y","N"
"96","Skeena","Pink","Middle-Upper Skeena (even)","Kispiox River",2312,"Y","N"
"97","Skeena","Pink","Middle-Upper Skeena (odd)","Kispiox River",2098,"Y","N"
"98","Skeena","Pink","Nass-Skeena Estuary (even)","Andesite Creek",2441,"Y","N"
