"region","species_name","species_pooled","cuid","cu_name_pse","psf_status"
"Skeena","Chinook","Chinook",205,"Ecstall","data-deficient"
"Skeena","Chinook","Chinook",206,"Kalum-Early","data-deficient"
"Skeena","Chinook","Chinook",207,"Kalum-Late","good"
"Skeena","Chinook","Chinook",227,"Lakelse","data-deficient"
"Skeena","Chinook","Chinook",210,"Lower Skeena","data-deficient"
"Skeena","Chinook","Chinook",222,"Middle Skeena-Large Lakes","good"
"Skeena","Chinook","Chinook",217,"Middle Skeena-Mainstem Tributaries","fair"
"Skeena","Chinook","Chinook",241,"Sicintine","data-deficient"
"Skeena","Chinook","Chinook",224,"Skeena Estuary","data-deficient"
"Skeena","Chinook","Chinook",221,"Upper Bulkley River","data-deficient"
"Skeena","Chinook","Chinook",212,"Upper Skeena","data-deficient"
"Skeena","Chinook","Chinook",229,"Zymoetz","data-deficient"
"Skeena","Chum","Chum",211,"Lower Skeena","poor"
"Skeena","Chum","Chum",214,"Middle Skeena","data-deficient"
"Skeena","Chum","Chum",220,"Skeena Estuary","data-deficient"
"Skeena","Chum","Chum",242,"Upper Skeena","data-deficient"
"Skeena","Coho","Coho",202,"Lower Skeena","good"
"Skeena","Coho","Coho",215,"Middle Skeena","good"
"Skeena","Coho","Coho",225,"Skeena Estuary","data-deficient"
"Skeena","Coho","Coho",231,"Upper Skeena","good"
"Skeena","Lake sockeye","Sockeye",171,"Alastair","good"
"Skeena","Lake sockeye","Sockeye",190,"Asitika","good"
"Skeena","Lake sockeye","Sockeye",191,"Azuklotz","good"
"Skeena","Lake sockeye","Sockeye",203,"Babine (enhanced)","good"
"Skeena","Lake sockeye","Sockeye",180,"Babine/Onerka","fair"
"Skeena","Lake sockeye","Sockeye",192,"Bear","fair"
"Skeena","Lake sockeye","Sockeye",181,"Bulkley/Maxan","data-deficient"
"Skeena","Lake sockeye","Sockeye",193,"Damshilgwit","good"
"Skeena","Lake sockeye","Sockeye",174,"Ecstall/Lower","data-deficient"
"Skeena","Lake sockeye","Sockeye",230,"Footsore/Hodder","data-deficient"
"Skeena","Lake sockeye","Sockeye",183,"Gitanyow (Kitwanga/Kitwancool)","poor"
"Skeena","Lake sockeye","Sockeye",194,"Johanson","data-deficient"
"Skeena","Lake sockeye","Sockeye",175,"Johnston","data-deficient"
"Skeena","Lake sockeye","Sockeye",176,"Kitsumkalum","good"
"Skeena","Lake sockeye","Sockeye",195,"Kluatantan","data-deficient"
"Skeena","Lake sockeye","Sockeye",196,"Kluayaz","data-deficient"
"Skeena","Lake sockeye","Sockeye",177,"Lakelse","good"
"Skeena","Lake sockeye","Sockeye",178,"Mcdonell/Dennis/Aldrich","good"
"Skeena","Lake sockeye","Sockeye",185,"Morice/Atna","poor"
"Skeena","Lake sockeye","Sockeye",197,"Motase","poor"
"Skeena","Lake sockeye","Sockeye",186,"Nilkitkwa","fair"
"Skeena","Lake sockeye","Sockeye",198,"Sicintine","data-deficient"
"Skeena","Lake sockeye","Sockeye",199,"Slamgeesh","data-deficient"
"Skeena","Lake sockeye","Sockeye",200,"Spawning","data-deficient"
"Skeena","Lake sockeye","Sockeye",187,"Stephens","good"
"Skeena","Lake sockeye","Sockeye",201,"Sustut","data-deficient"
"Skeena","Lake sockeye","Sockeye",188,"Swan/Club","poor"
"Skeena","Lake sockeye","Sockeye",189,"Tahlo/Morrison","good"
"Skeena","Pink (even)","Pink",218,"Middle-Upper Skeena (even)","data-deficient"
"Skeena","Pink (even)","Pink",219,"Nass-Skeena Estuary (even)","data-deficient"
"Skeena","Pink (odd)","Pink",209,"Lower Skeena River (odd)","data-deficient"
"Skeena","Pink (odd)","Pink",213,"Middle-Upper Skeena (odd)","data-deficient"
"Skeena","Pink (odd)","Pink",223,"Nass-Skeena Estuary (odd)","data-deficient"
"Skeena","River sockeye","Sockeye",216,"Skeena River-High Interior (river-type)","data-deficient"
"Skeena","River sockeye","Sockeye",226,"Skeena River (river-type)","data-deficient"
"Skeena","Steelhead","Steelhead",284,"Babine","data-deficient"
"Skeena","Steelhead","Steelhead",287,"Bulkley","data-deficient"
"Skeena","Steelhead","Steelhead",283,"Kispiox","data-deficient"
"Skeena","Steelhead","Steelhead",285,"Middle Skeena","data-deficient"
"Skeena","Steelhead","Steelhead",289,"Morice","data-deficient"
"Skeena","Steelhead","Steelhead",288,"Skeena Coastal Summers","data-deficient"
"Skeena","Steelhead","Steelhead",290,"Skeena Coastal Winters","data-deficient"
"Skeena","Steelhead","Steelhead",286,"Suskwa","data-deficient"
"Skeena","Steelhead","Steelhead",282,"Upper Skeena","data-deficient"
"Skeena","Steelhead","Steelhead",280,"Upper Skeena Headwaters","data-deficient"
"Skeena","Steelhead","Steelhead",281,"Upper Sustut","poor"
"Nass","Chinook","Chinook",401,"Portland Sound-Observatory Inlet-Lower Nass","good"
"Nass","Chinook","Chinook",402,"Upper Nass","fair"
"Nass","Chum","Chum",405,"Lower Nass","data-deficient"
"Nass","Chum","Chum",406,"Portland Canal-Observatory","poor"
"Nass","Chum","Chum",404,"Portland Inlet","fair"
"Nass","Coho","Coho",408,"Lower Nass","good"
"Nass","Coho","Coho",410,"Portland Sound-Observatory Inlet-Portland Canal","fair"
"Nass","Coho","Coho",409,"Upper Nass","good"
"Nass","Lake sockeye","Sockeye",420,"Bowser","data-deficient"
"Nass","Lake sockeye","Sockeye",418,"Clements","data-deficient"
"Nass","Lake sockeye","Sockeye",421,"Damdochax","fair"
"Nass","Lake sockeye","Sockeye",422,"Fred Wright","poor"
"Nass","Lake sockeye","Sockeye",423,"Kwinageese","data-deficient"
"Nass","Lake sockeye","Sockeye",419,"Leverson","data-deficient"
"Nass","Lake sockeye","Sockeye",424,"Meziadin","fair"
