"Year","AboveBorderMR_RunEstimate","AboveBorderMR_EndDate","ExpansionMethod","ExpansionFactor","ExpandedEstimate","CanadianHarvest","Escapement","TerminalRun_USHarvest","TerminalRun","TerminalRun_HarvestRate","TotalRun"
1987,43750,264,"assessment Fish CPUE",1.41659428571429,61976,6519,55457,NA,NA,NA,NA
1988,43093,262,NA,1,43093,3643,39450,NA,NA,NA,NA
1989,60841,275,NA,1,60841,4033,56808,NA,NA,NA,NA
1990,75881,NA,NA,1,75881,3685,72196,NA,NA,NA,NA
1991,132923,NA,NA,1,132923,5439,127484,NA,NA,NA,NA
1992,49928.351328628,249,"District 111-32 CPUE",1.7879621021817,89270,5541,83729,74745,164015,0.489504008779685,212798
1993,67447.57276,255,"District 111-32 CPUE",1.83793122461358,123964,4634,119330,35703,159667,0.252632040434154,249320
1994,98643,268,"District 111-32 CPUE",1.12563486511967,111036,14693,96343,101292,212328,0.546253909046381,339736
1995,61738,274,"District 111-32 CPUE",1.12488256827238,69448,13738,55710,59240,128688,0.567092502797464,181116
1996,44171.743,272,"District 111-32 CPUE",1.12485939257593,49687,5052,44635,17019,66706,0.330869786825773,94283
1997,35035,271,"District 111-32 CPUE",1,35035,2690,32345,6479,41514,0.220865250277015,50886
1998,49290,270,"District 111-32 CPUE",1.3485899776831,66472,5090,61382,17042,83514,0.265009459491822,119925
1999,59052,277,"Troll CPUE",1.12346745241482,66343,5575,60768,9009,75352,0.193544962310224,117176
2000,70146.97,276,"no expansion",1,70146.97,5447,64699.97,11520,81666.97,0.207758411999368,109148
2001,107493,279,"no expansion",1,107493,3099,104394,11739,119232,0.124446457326892,162777
2002,223162.04,281,"no expansion",1,223162.04,3802,219360.04,33238,256400.04,0.144461755934203,303275
2003,186755,282,"no expansion",1,186755,3643,183112,25139,211894,0.135832066976885,265090
2004,139011,282,"no expansion",1,139011,9684,129327,25898,164909,0.215767483885052,251537
2005,143817,282,"no expansion",1,143817,8259,135558,21718,165535,0.181091612045791,222997
2006,134053,282,"no expansion",1,134053,11669,122384,36170,170223,0.281037227636688,226694
2007,82319,282,"no expansion",1,82319,8073,74246,16617,98936,0.249555268052074,133301
2008,99198.6,282,"no expansion",1,99198.6,3973,95225.6,24390,123588.6,0.229495277072481,174070
2009,113716,282,"no expansion",1,113716,9766,103950,42946,156662,0.336469596966718,224010
2010,141238,282,"no expansion",1,141238,14408,126830,55254,196492,0.354528428638316,246822
2011,83349,283,"no expansion",1,83349,12478,70871,9393,92742,0.235826270729551,129939
2012,61797,259,"CYI run timing",1.372995,84846.972015,14072,70774.972015,11554,96400.972015,0.265827195145009,112947
2013,55161,256,"CYI run timing",1.42296187523794,78492,10375,68117,25300,103792,0.343716278711269,142983.657717169
2014,140739,283,"no expansion",1,140739,16568,124171,31149,171888,0.277605184771479,189655.311612456
2015,70361,283,"no expansion",1,70361,10183,60178,9558,79919,0.247012600257761,105882.356933309
2016,99224,283,"no expansion",1,99224,11520,87704,11993,111217,0.211415521008479,124272
2017,65670,278,"no expansion",1,65670,7802,57868,12386,78056,0.258634826278569,108261.634987872
2018,60678,277,"no expansion",1,60678,9505,51173,24807,85485,0.401380359127332,83601.1729139382
2019,95011,282,"no expansion",1,95011,12252,82759,10099,105110,0.212643896869946,117087.23285711
2020,53707,266,"CYI run timing",1.10039659634684,59099,7036,52063,2836.32290484022,61935.3229048402,0.159397294497171,73863
2021,85800,273,"CYI run timing",1.00706294367336,86406.0005671747,10880,75526.0005671747,13626.0522930607,100032.052860235,0.244981999192804,116732.683051874
2022,54446,257,"CYI run timing",1.356022481,73830.000000526,7796,66034.000000526,16610.9001315789,90440.9001321049,0.269865736585199,97237.7431846373
2023,100409,274,"no expansion",1,100409,11387,89022,17521.8525549149,117930.852554915,0.24513392321533,138283.978636377
2024,77570,274,"no expansion",1,77570,12574,64996,16064.8196484648,93634.8196484648,0.305856515300442,100310.157445065
2025,56651,45931,"no expansion",1,56651,9083,47568,10530.3764815684,67181.3764815684,0.291946630283013,NA
