Year,Above border run,Canadian Harvest,Escapement/broodstock,U.S. Harvest,  Terminal Run
1979,40352.51271,13534,26818.51271,8299,48651.51271
1980,62743.24918,20919,41824.24918,23206,85949.24918
1981,138878.8481,27017,111861.8481,27538,166416.8481
1982,68760.69257,20540,48220.69257,42482,111242.6926
1983,71683.2133,21120,50563.2133,5774,77457.2133
1984,76211.15664,5327,70884.15664,7750,83961.15664
1985,184746.6459,26804,157942.6459,29747.2437,214493.8896
1986,69036.42233,17846,51190.42233,6419.864081,75456.28641
1987,39264.42448,11283,27981.42448,4077.326433,43341.75092
1988,41914.9907,16538,25376.9907,3180.985664,45095.97636
1989,75057.50714,21639,53418.50714,15492,90549.50714
1990,57528.53036,19964,37564.53036,9856,67384.53036
1991,120152.9797,25138,95014.97972,31283.87592,151436.8556
1992,154541.4743,29242,125299.4743,77394.01511,231935.4894
1993,176100.4395,52698,123402.4395,104630,280730.4395
1994,127526.8069,53380,74146.8069,80509,208035.8069
1995,140091.7666,65665,74426.76663,75834,215925.7666
1996,165241.627,81229,84012.62697,168943,334184.627
1997,96919.14019,47378,49541.14019,63738,160657.1402
1998,59017.59687,27575,31442.59687,15048,74065.59687
1999,49714.58941,33325,16389.58941,43541.21434,93255.80375
2000,32365.87372,16563.80623,15802.06749,12104,44469.87372
2001,75972.12271,20355.74361,55616.3791,10532,86504.12271
2002,61175.66072,16682,44493.66072,4018,65193.66072
2003,163611.319,52106,111505.319,37792,201403.319
2004,184486.3191,84805.93825,99680.38089,118334.7021,302821.0212
2005,164245.3605,86411.71879,77833.64169,92356.99953,256602.36
2006,165961.9872,84904.13033,81057.85682,64695.0339,230657.0211
2007,91955.32789,50216,41739.32789,68603.72961,160559.0575
2008,50086.92773,23492.70998,26594.21775,28176.65078,78263.57851
2009,84509.47491,37037.06904,47472.40587,54967.65039,139477.1253
2010,82672.44109,35139.23835,47533.20274,28582.58979,111255.0309
2011,110976.6117,47335.23447,63641.37721,56500.72806,167477.3397
2012,70707.88352,23433.3048,47274.57872,20528.33598,91236.2195
2013,70408.10568,27488.90159,42919.20409,23302.07028,93710.17596
2014,91500.50293,32064.16955,59436.33338,18896.19393,110396.6969
2015,102604.8759,43014.04606,59590.82985,22758.60589,125363.4818
2016,140741.5351,73637.84733,67103.68781,70242.60159,210984.1367
2017,67746.74845,36827.92174,30918.82671,21819.6826,89566.43105
2018,52082.67602,23573.31769,28509.35834,8642.39782,60725.07384
2019,76385.51486,16425,59960.51486,12936.20075,89321.71561
2020,31652.62182,13369,18283.62182,5931.034974,37583.6568
2021,79847.49232,5105,74742.49232,5404.98299,85252.47531
2022,110450.1967,12428,98022.19666,14064.32554,124514.5222
2023,73107.01765,17688,55419.01765,9828.897511,82935.91516
