"Year","StikineRiver_EscapementBroodstock","StikineRiver_TerminalRun"
1979,26819,48652
1980,41824,85949
1981,111862,166417
1982,48221,111243
1983,50563,77457
1984,70884,83961
1985,157943,214494
1986,51190,75456
1987,27981,43342
1988,25377,45096
1989,53419,90550
1990,37565,67385
1991,95015,151437
1992,125299,231935
1993,123402,280730
1994,74147,208036
1995,75531,218728
1996,94252,372785
1997,57460,226915
1998,39973,121448
1999,18677,124644
2000,21610,78504
2001,74414,127255
2002,48646,79329
2003,124854,240977
2004,100944,311987
2005,79482,259932
2006,91035,268585
2007,48660,196786
2008,37170,120209
2009,60699,185275
2010,60883,157001
2011,77594,213399
2012,60918,124540
2013,48009,113515
2014,78703,146640
2015,80423,174292
2016,75802,247892
2017,31502,98768
2018,29603,62809
2019,59961,89380
2020,18284,37584
2021,80563,91072
2022,107731,134223
2023,57640,85157
2024,132886,192938
