"Year","Escapement","Run"
1984,67298.6345,152210.0045
1985,76114.70847,164812.60847
1986,71020.81937,146603.940007538
1987,46508.8822,115358.617843366
1988,46591.37445,85343.71788
1989,67989.76592,150160.696675
1990,58086.3752,190511.534369005
1991,85082.0056,217673.812265635
1992,75272.5399,227950.236180214
1993,65314.76933,241673.3230967
1994,66831.18894,194641.765705759
1995,77598.7558,203686.670191015
1996,60074.4868,292181.668641478
1997,51764.41195,157625.399685501
1998,48851.33302,119222.293638281
1999,68203.4725,152628.594690746
2000,58671.15611,220405.905087845
2001,90873.0648,346419.248439181
2002,68534.7092,217776.315067061
2003,110142,281658
2004,75147,173112.366451729
2005,66959,136077
2006,97548,188184.652703747
2007,68833,154702
2008,83850,182754
2009,86922,135238
2010,56439,125267
2011,73442.2228327181,171089.605360943
2012,80739.0901775134,163037.895511053
2013,60129.2696890557,186745.55510156
2014,53886.2985946542,105815.519992227
2015,104297.076860295,166797.827232972
2016,112125.491076372,226110.025531601
2017,77138.7564995612,183837.686735496
2018,83490.3391924916,130270.443471153
2019,78011.2807017544,169183.918720471
2020,109322.284210526,131963.178666212
2021,153242.811440011,212788.258566774
2022,90396.403778102,210045.610312609
2023,101518.249,172003.442987397
2024,112671.036649215,197739.996759052
2025,136268.084210526,251233.04706712
