Year,Total estimated Canadian-origin run size,Spawning escapement
2001,90100,33989
2002,89900,85650
2003,170800,131618
2004,181300,115455
2005,504500,437733
2006,284200,211193
2007,278500,226626
2008,237000,174249
2009,128000,93624
2010,143000,117871
2011,326000,205617
2012,238000,137743
2013,303000,200262
2014,223000,156796
2015,205000,108658
2016,298000,145267
2017,563000,401585
2018,279000,154126
2019,178000,99738
2020,25000,23512
2021,23000,23170
2022,23000,22059
2023,23000,22090
