"paste(locationid, channel)", avg_release ,release_site_name,release_stage,channel,species_name
1246 TRUE," 67,658,947 ",Fulton Channel #2,Chan Fry,TRUE,Sockeye
1218 TRUE," 43,222,238 ",Pinkut Channel,Chan Fry,TRUE,Sockeye
450 TRUE," 18,168,856 ",Little Qualicum River,Chan Fry,TRUE,Chum
470 TRUE," 9,296,574 ",Big Qualicum Channel #2,Chan Fry,TRUE,Chum
1164 TRUE," 7,957,931 ",Nadina River,Chan Fry,TRUE,Sockeye
474 TRUE," 7,347,856 ",Big Qualicum River,Chan Fry,TRUE,Chum
391 TRUE," 6,209,852 ",Weaver Spwaning Channel,Chan Fry,TRUE,"Chum, Pink, Sockeye"
53 FALSE," 2,834,794 ",Nitinat Lake,"Smolt 1+, Seapen, Seapen 0+, Smolt 0+, Fed Fry",FALSE,"Chinook, Chum"
630 FALSE," 2,404,356 ",Moutcha Bay,Seapen 0+,FALSE,Chinook
328 TRUE," 2,399,274 ",Chehalis River,Chan Fry,TRUE,Chum
418 FALSE," 2,281,935 ",Robertson Creek,"Smolt 1+, Smolt 0+, Fed Fry, Unfed",FALSE,"Chinook, Coho"
1307 FALSE," 2,132,313 ",Tahltan Lake,Fed Fry,FALSE,Sockeye
50 FALSE," 2,067,543 ",Nitinat River,"Smolt 0+, Fed Fry, Smolt 1+, Unfed",FALSE,"Chinook, Chum, Coho"
691 FALSE," 1,871,069 ",Quinsam River,"Smolt 1+, Fed Fry, Unfed, Smolt 0+",FALSE,"Coho, Pink, Chinook"
1012 FALSE," 1,859,074 ",Nooklikonnik Creek,Fed Fry,FALSE,Chum
1013 FALSE," 1,797,872 ",Fish Creek + Airport Channel,Fed Fry,FALSE,Chum
450 FALSE," 1,722,333 ",Little Qualicum River,"Smolt 0+, Fed Fry",FALSE,"Chinook, Coho"
1309 FALSE," 1,320,282 ",Tatsamenie Lake,Fed Fry,FALSE,Sockeye
121 FALSE," 1,294,423 ",Powers Creek,Fed Fry,FALSE,Sockeye
840 TRUE," 1,150,665 ",Gates Creek,Chan Fry,TRUE,Sockeye
1005 FALSE," 1,125,196 ",Thorsen + Noohalk Creek,Fed Fry,FALSE,"Chum, Coho"
1016 FALSE," 1,017,117 ",Snootli Creek,"Fed Fry, Unfed",FALSE,"Chum, Coho"
474 FALSE," 1,015,082 ",Big Qualicum River,"Smolt 1+, Smolt 0+, Fed Fry",FALSE,"Sockeye, Coho, Chinook, Chum"
634 FALSE," 932,997 ",Conuma River,"Fed Fry, Seapen 2+, Fed Fall, Seapen, Seapen 0+, Seapen 1+",FALSE,"Chum, Chinook, Coho"
479 FALSE," 877,726 ",Nile Creek,Unfed,FALSE,Pink
143 FALSE," 855,607 ",Okanagan River,"Fed Fry, Smolt 1+, Unfed",FALSE,"Chinook, Sockeye"
589 FALSE," 844,509 ",Puntledge River,"Fed Fry, Unfed, Smolt 0+, Eyed Egg, Smolt 1+",FALSE,"Chum, Chinook, Coho, Pink"
328 FALSE," 785,906 ",Chehalis River,"Fed Fry, Smolt 1+, Unfed",FALSE,"Chum, Coho, Pink, Steelhead"
1172 FALSE," 777,336 ",Kitimat River,"Smolt 0+, Fed Fry, Smolt 1+, Smolt 2+",FALSE,"Chinook, Chum, Coho, Steelhead"
851 FALSE," 739,156 ",Alert Bay,Seapen,FALSE,Chum
695 FALSE," 715,131 ",Campbell River,"Smolt 1+, Smolt 0+, Unfed",FALSE,"Coho, Chinook"
547 FALSE," 666,124 ",A Patterson Channel,"Fed Fry, Fed Fall",FALSE,Sockeye
1017 FALSE," 586,389 ",Saloompt River,"Fed Fry, Smolt 0+, Unfed",FALSE,"Chum, Chinook, Coho"
613 FALSE," 541,112 ",Tlupana River,Fed Fry,FALSE,Chum
267 FALSE," 532,162 ",Siddle Creek,Fed Fry,FALSE,Chum
1007 FALSE," 530,656 ",Atnarko River Lower,"Smolt 0+, Fed Fry, Smolt 1+",FALSE,"Chinook, Chum, Sockeye"
773 FALSE," 527,192 ",Discovery Pass,Seapen 0+,FALSE,Chinook
637 FALSE," 512,239 ",Canton Creek,"Fed Fry, Seapen",FALSE,Chum
638 FALSE," 506,909 ",Sucwoa River,Fed Fry,FALSE,Chum
271 TRUE," 506,708 ",Harrison River,Chan Fry,TRUE,Chum
564 FALSE," 498,057 ",Comox Lake,Fed Fry,FALSE,Coho
659 FALSE," 474,162 ",Sliammon River,"Unfed, Fed Fry",FALSE,"Chum, Coho"
227 FALSE," 467,850 ",Inch Creek,"Fed Fry, Unfed, Smolt 1+",FALSE,"Chum, Coho"
981 FALSE," 454,202 ",McLoughlin Bay,"Fed Fry, Smolt 1+, Seapen, Seapen 1+",FALSE,"Chum, Coho"
556 FALSE," 450,578 ",Corbold Creek,Fed Fry,FALSE,Sockeye
190 FALSE," 383,817 ",Chilliwack River,"Smolt 0+, Fed Fry, Unfed, Smolt 1+",FALSE,"Chinook, Chum, Coho, Steelhead"
402 FALSE," 345,689 ",Englishman River,"Smolt 0+, Fed Fry, Unfed",FALSE,"Chinook, Pink"
654 FALSE," 332,110 ",Muchalat Lake,"Smolt 0+, Seapen 0+",FALSE,Chinook
225 FALSE," 325,775 ",Gallows Point,"Unfed, Seapen",FALSE,"Chum, Pink"
1028 FALSE," 319,290 ",Trout Bay,"Fed Fry, Smolt 1+, Seapen, Seapen 1+",FALSE,"Chum, Coho"
844 FALSE," 314,178 ",Nimpkish River Lower,"Smolt 0+, Fed Fry, Unfed",FALSE,"Chinook, Chum, Coho"
325 FALSE," 306,056 ",Alouette River North,Fed Fry,FALSE,Chum
836 FALSE," 301,715 ",Marble River,"Fed Fry, Unfed, Smolt 0+",FALSE,"Coho, Chinook"
262 FALSE," 300,148 ",Brandon Island,"Fed Fry, Seapen",FALSE,Pink
1310 FALSE," 276,289 ",Trapper Lake,Fed Fry,FALSE,Sockeye
542 FALSE," 262,419 ",Slough Creek,Fed Fry,FALSE,Sockeye
641 FALSE," 260,615 ",Paradise Channel Upper,"Unfed, Fed Fry",FALSE,"Pink, Coho"
