"region","species","year","spawners","smoothedSpawners","runsize","smoothedRunsize","spawners_short_trend","spawners_short_trend_lwr","spawners_short_trend_upr","spawners_long_trend","spawners_long_trend_lwr","spawners_long_trend_upr","runsize_short_trend","runsize_short_trend_lwr","runsize_short_trend_upr","runsize_long_trend","runsize_long_trend_lwr","runsize_long_trend_upr"
"Yukon","Chinook",1982,43538,43538.01,147587,147587.01,NA,NA,NA,45933.9766241252,42208.5104494577,49988.2650687757,NA,NA,NA,186188.308649728,167813.563973816,206574.995828437
"Yukon","Chinook",1983,44475,44004.0160681965,160221,153774.314516697,NA,NA,NA,45937.84870341,42340.4693197678,49840.8727489504,NA,NA,NA,180811.24897681,163576.325029648,199862.09954667
"Yukon","Chinook",1984,50005,45919.7359980299,111035,137956.609331821,NA,NA,NA,45941.721109098,42471.0075115346,49696.0600214844,NA,NA,NA,175589.477092562,159437.620881054,193377.599936972
"Yukon","Chinook",1985,40435,44482.4731851978,145359,139771.096749831,NA,NA,NA,45945.5938412166,42599.8909057529,49554.061020775,NA,NA,NA,170518.508334586,155394.412897866,187114.588886559
"Yukon","Chinook",1986,41425,43853.4398424751,159082,143435.982418504,NA,NA,NA,45949.4668997936,42726.8512410456,49415.144038205,NA,NA,NA,165593.987556126,151443.661084799,181066.467347116
"Yukon","Chinook",1987,41307,43418.3865395871,174128,148147.115419567,NA,NA,NA,45953.3402848562,42851.5809093907,49279.6167264163,NA,NA,NA,160811.685385689,147582.314937964,175226.944823683
"Yukon","Chinook",1988,39699,42755.5204833251,145675,147825.498915225,NA,NA,NA,45957.2139964323,42973.7271492824,49147.8319061543,NA,NA,NA,156167.494594699,143807.304246156,169590.039225265
"Yukon","Chinook",1989,60299,44980.5283310975,164516,148478.693439051,NA,NA,NA,45961.0880345491,43092.8857131437,49020.1938988567,NA,NA,NA,151657.426570044,140115.530368717,164150.07653558
"Yukon","Chinook",1990,59212,46265.5006868834,151188,156317.298069862,NA,NA,NA,45964.9623992343,43208.5941939879,48897.1651999961,NA,NA,NA,147277.607888505,136503.858840353,158901.689444021
"Yukon","Chinook",1991,42728,46692.7857337086,124382,152309.260226074,NA,NA,NA,45968.8370905153,43320.3253618635,48779.2731426392,NA,NA,NA,143024.276990104,132969.114593141,153839.813637423
