"region","species","type","current_status","short_trend","short_trend_cat","long_trend","long_trend_cat","current_abundance","current_abundance_year","average_abundance","previous_gen_abundance","gen_length","nyears","rangeyears"
"Yukon","Chinook","Spawners",-0.412742412963637,-0.0110612969027225,"arrows-left-right",8.42966267957657e-05,"arrows-left-right",27021.7297205053,2023,46013.4195232323,53342.7671667438,6,42,"1982-2023"
"Yukon","Chinook","Run Size",-0.661220804408045,-0.0433034759713435,"arrow-down",-0.0288796848304417,"arrow-down",34591.2651361992,2023,102105.635724641,65445.9191051815,6,42,"1982-2023"
"Yukon","Chum","Spawners",-0.722276300912265,-0.166669713209831,"arrow-down",0.0269327139204072,"arrow-up",22698.621197658,2023,81730.947960935,173049.473132639,4,44,"1980-2023"
"Yukon","Chum","Run Size",-0.857850578600275,-0.194488886103682,"arrow-down",-0.0197478108472002,"arrows-left-right",23412.4255142479,2023,164702.925159379,302125.395331203,4,23,"2001-2023"
"Yukon","Coho","Spawners",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"Yukon","Coho","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"Yukon","Pink","Spawners",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"Yukon","Pink","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"Yukon","Sockeye","Spawners",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"Yukon","Sockeye","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"Yukon","Steelhead","Spawners",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"Yukon","Steelhead","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"Transboundary","Chinook","Spawners",-0.494940112483549,-0.0547609469384412,"arrow-down",-0.0117989157587962,"arrow-down",28754.2126607596,2023,56932.2834211873,28933.984917853,5,48,"1976-2023"
"Transboundary","Chinook","Run Size",-0.559954270598255,-0.0845236974600265,"arrow-down",-0.00775466064680752,"arrows-left-right",30892.5559973329,2023,70203.0583033546,36824.9628695681,5,48,"1976-2023"
"Transboundary","Chum","Spawners",-0.772918480044264,-0.14238401927501,"arrow-down",-0.0502603400663437,"arrow-down",58.4662290099468,2023,257.468018627598,87.586294991349,4,40,"1984-2023"
"Transboundary","Chum","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,4,NA,NA
"Transboundary","Coho","Spawners",-0.259067823390673,-0.0415458542076945,"arrow-down",-0.00133417448040285,"arrows-left-right",62630.2468076854,2021,84528.9876521432,79418.6682881094,5,30,"1992-2021"
"Transboundary","Coho","Run Size",-0.299261920971205,-0.0419909228867815,"arrow-down",-0.00980986988959232,"arrows-left-right",84373.05966307,2021,120405.986470735,108858.533692865,5,30,"1992-2021"
"Transboundary","Pink","Spawners",-0.599378665010595,-0.0787384915712271,"arrows-left-right",-0.0249066095304108,"arrow-down",3806.85767925464,2023,9502.38378930898,11301.1666163321,2,40,"1984-2023"
"Transboundary","Pink","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,2,NA,NA
"Transboundary","Sockeye","Spawners",0.340549102721488,0.0310049081359991,"arrow-up",-0.000899376811070218,"arrows-left-right",163056.129165883,2023,121633.835593831,117950.64070207,5,40,"1984-2023"
