"region","species","year","spawners","smoothedSpawners","spawnersAnomaly","spawners_short_trend","spawners_long_trend","runsize","smoothedRunsize","runsizeAnomaly","runsize_short_trend","runsize_long_trend","source_id","datasetversion"
"Yukon","Chinook",1982,35777,35777,-22.3,NA,21.5,162185,162185,73.4,NA,142.8,"JTC_202603","20260910"
"Yukon","Chinook",1983,55250,44460,-3.4,NA,20.7,183136,172342,84.2,NA,134.3,"JTC_202603","20260910"
"Yukon","Chinook",1984,68331,51308,11.5,NA,19.8,138298,160152,71.2,NA,126,"JTC_202603","20260910"
"Yukon","Chinook",1985,39082,47933,4.1,NA,19,158372,159705,70.7,NA,118,"JTC_202603","20260910"
"Yukon","Chinook",1986,49804,48301,4.9,NA,18.1,176175,162871,74.1,NA,110.4,"JTC_202603","20260910"
"Yukon","Chinook",1987,33795,45510,-1.1,NA,17.3,176108,165006,76.4,NA,102.9,"JTC_202603","20260910"
"Yukon","Chinook",1988,49442,48031,4.4,NA,16.5,160326,164690,76,NA,95.8,"JTC_202603","20260910"
"Yukon","Chinook",1989,60545,48769,6,NA,15.7,166594,162111,73.3,NA,88.9,"JTC_202603","20260910"
"Yukon","Chinook",1990,85985,50674,10.1,NA,14.9,178126,169096,80.7,NA,82.2,"JTC_202603","20260910"
"Yukon","Chinook",1991,51662,53086,15.3,NA,14,141490,165948,77.4,NA,75.8,"JTC_202603","20260910"
"Yukon","Chinook",1992,46024,52392,13.8,NA,13.2,179658,166491,78,NA,69.6,"JTC_202603","20260910"
"Yukon","Chinook",1993,55346,56882,23.6,NA,12.5,159529,163770,75.1,NA,63.6,"JTC_202603","20260910"
"Yukon","Chinook",1994,64047,59389,29,NA,11.7,192917,168899,80.5,NA,57.9,"JTC_202603","20260910"
"Yukon","Chinook",1995,69485,60768,32,NA,10.9,214663,176189,88.3,NA,52.3,"JTC_202603","20260910"
"Yukon","Chinook",1996,76425,59586,29.5,NA,10.1,195905,179005,91.3,NA,46.9,"JTC_202603","20260910"
"Yukon","Chinook",1997,83707,64577,40.3,NA,9.3,199464,189549,102.6,NA,41.8,"JTC_202603","20260910"
"Yukon","Chinook",1998,35520,61848,34.4,NA,8.6,97139,171085,82.9,NA,36.8,"JTC_202603","20260910"
"Yukon","Chinook",1999,47002,60186,30.8,NA,7.8,124131,164079,75.4,NA,31.9,"JTC_202603","20260910"
"Yukon","Chinook",2000,21345,50114,8.9,NA,7,53788,132619,41.8,NA,27.3,"JTC_202603","20260910"
"Yukon","Chinook",2001,68219,49961,8.5,NA,6.3,103240,117387,25.5,NA,22.8,"JTC_202603","20260910"
"Yukon","Chinook",2002,48542,46321,0.6,NA,5.5,93774,103823,11,NA,18.5,"JTC_202603","20260910"
"Yukon","Chinook",2003,94909,47301,2.8,NA,4.8,172467,101336,8.3,NA,14.3,"JTC_202603","20260910"
"Yukon","Chinook",2004,55433,50943,10.7,NA,4.1,127492,106035,13.3,NA,10.3,"JTC_202603","20260910"
"Yukon","Chinook",2005,69335,54353,18.1,NA,3.3,131682,107083,14.5,NA,6.4,"JTC_202603","20260910"
"Yukon","Chinook",2006,64261,65313,41.9,NA,2.6,126125,123426,31.9,NA,2.6,"JTC_202603","20260910"
"Yukon","Chinook",2007,36229,58775,27.7,NA,1.9,92824,121258,29.6,NA,-1,"JTC_202603","20260910"
"Yukon","Chinook",2008,33885,55357,20.3,21.2,1.2,69577,115374,23.3,13.3,-4.5,"JTC_202603","20260910"
"Yukon","Chinook",2009,64971,51969,12.9,17.4,0.5,86638,102867,10,6.6,-7.8,"JTC_202603","20260910"
"Yukon","Chinook",2010,32250,47483,3.2,13.7,-0.3,62767,91408,-2.3,0.4,-11.1,"JTC_202603","20260910"
"Yukon","Chinook",2011,47008,44505,-3.3,10.1,-1,70497,82368,-12,-5.5,-14.2,"JTC_202603","20260910"
"Yukon","Chinook",2012,32328,39690,-13.8,6.7,-1.7,51449,70934,-24.2,-11,-17.3,"JTC_202603","20260910"
"Yukon","Chinook",2013,28507,38135,-17.1,3.3,-2.3,39673,61564,-34.2,-16.2,-20.2,"JTC_202603","20260910"
"Yukon","Chinook",2014,63366,42329,-8,0.1,-3,65109,60886,-34.9,-21.1,-23,"JTC_202603","20260910"
"Yukon","Chinook",2015,82700,44066,-4.3,-3.1,-3.7,88362,61087,-34.7,-25.7,-25.7,"JTC_202603","20260910"
"Yukon","Chinook",2016,69171,50042,8.7,-6.1,-4.4,83745,64094,-31.5,-30.1,-28.3,"JTC_202603","20260910"
"Yukon","Chinook",2017,69394,53398,16,-9.1,-5.1,99898,67928,-27.4,-34.2,-30.8,"JTC_202603","20260910"
"Yukon","Chinook",2018,54604,58273,26.6,-12,-5.7,76807,72620,-22.4,-38,-33.3,"JTC_202603","20260910"
"Yukon","Chinook",2019,42149,62197,35.1,-14.7,-6.4,85421,82521,-11.8,-41.7,-35.6,"JTC_202603","20260910"
"Yukon","Chinook",2020,30630,55100,19.7,-17.4,-7,52148,79524,-15,-45.1,-37.9,"JTC_202603","20260910"
"Yukon","Chinook",2021,31512,46915,1.9,-20,-7.7,33250,67570,-27.8,-48.3,-40.1,"JTC_202603","20260910"
"Yukon","Chinook",2022,12004,35039,-23.9,-22.5,-8.3,13336,49747,-46.8,-51.3,-42.2,"JTC_202603","20260910"
"Yukon","Chinook",2023,14580,27016,-41.3,-25,-9,15826,36593,-60.9,-54.2,-44.2,"JTC_202603","20260910"
"Yukon","Chinook",2024,24176,23586,-48.8,-27.4,-9.6,25385,30427,-67.5,-56.8,-46.2,"JTC_202603","20260910"
