"region","species","type","current_status","short_trend","short_trend_cat","long_trend","long_trend_cat","current_abundance","current_abundance_year","average_abundance","previous_gen_abundance","gen_length","regionspecies","nyears","rangeyears","datasetversion"
"Yukon","Chinook","Spawners",-0.53392645255526,-0.0315036346955455,"arrow-down",-0.00702715386969199,"arrow-down",21453,2025,46029,62197,6,"Yukon Chinook",44,"1982-2025","20260910"
"Yukon","Chinook","Run Size",-0.735184918030284,-0.0585071168138136,"arrow-down",-0.0352503440019041,"arrow-down",24775,2025,93555,82521,6,"Yukon Chinook",44,"1982-2025","20260910"
"Yukon","Chum","Spawners",-0.739213375166611,-0.209104415802775,"arrow-down",0.0158035538345784,"arrow-up",19813,2025,75973,53812,4,"Yukon Chum",46,"1980-2025","20260910"
"Yukon","Chum","Run Size",-0.840036929432426,-0.249513404357696,"arrow-down",-0.0509185968593305,"arrow-down",20284,2025,126804,73101,4,"Yukon Chum",25,"2001-2025","20260910"
"Yukon","Coho","Spawners",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20260910"
"Yukon","Coho","Run Size",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20260910"
"Northern Transboundary","Chinook","Spawners",-0.379106741476353,-0.0390592922879306,"arrow-down",-0.0130341706964687,"arrow-down",34683,2025,55860,23753,5,"Northern Transboundary Chinook",50,"1976-2025","20260910"
"Northern Transboundary","Chinook","Run Size",-0.452060948541617,-0.0650682696672261,"arrow-down",-0.0102391828388114,"arrow-down",37748,2025,68892,28412,5,"Northern Transboundary Chinook",50,"1976-2025","20260910"
"Northern Transboundary","Chum","Spawners",-0.442319557715731,-0.0598706525244213,"arrow-down",-0.0499697375051844,"arrow-down",130,2025,233,68,4,"Northern Transboundary Chum",42,"1984-2025","20260910"
"Northern Transboundary","Chum","Run Size",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,"20260910"
"Northern Transboundary","Coho","Spawners",-0.14098136932243,-0.0253316174217124,"arrow-down",0.00479665493086645,"arrows-left-right",67222,2025,78255,64531,5,"Northern Transboundary Coho",39,"1987-2025","20260910"
"Northern Transboundary","Coho","Run Size",-0.175864719695649,-0.0298112100490898,"arrow-down",-0.0118383328448802,"arrow-down",92334,2025,112038,86459,5,"Northern Transboundary Coho",34,"1992-2025","20260910"
"Northern Transboundary","Pink","Spawners",-0.663236455288674,-0.283477026135069,"arrow-down",-0.0273176134766482,"arrow-down",3015,2025,8953,7046,2,"Northern Transboundary Pink",42,"1984-2025","20260910"
