"region","species","indicator","nonindicator"
"Haida Gwaii","Chinook","1","6"
"Haida Gwaii","Chum","79","123"
"Haida Gwaii","Coho","9","184"
"Haida Gwaii","Pink","7","134"
"Haida Gwaii","Sockeye","6","39"
"Haida Gwaii","Steelhead","0","0"
"Nass","Chinook","6","23"
"Nass","Chum","13","38"
"Nass","Coho","8","52"
"Nass","Pink","36","87"
"Nass","Sockeye","5","14"
"Nass","Steelhead","7","0"
"Skeena","Chinook","16","71"
"Skeena","Chum","12","56"
"Skeena","Coho","50","151"
"Skeena","Pink","18","129"
"Skeena","Sockeye","30","65"
"Skeena","Steelhead","3","1"
"Central Coast","Chinook","14","62"
"Central Coast","Chum","128","207"
"Central Coast","Coho","65","264"
"Central Coast","Pink","93","221"
"Central Coast","Sockeye","34","171"
"Central Coast","Steelhead","1","0"
"Vancouver Island & Mainland Inlets","Chinook","41","210"
"Vancouver Island & Mainland Inlets","Chum","67","502"
"Vancouver Island & Mainland Inlets","Coho","83","511"
"Vancouver Island & Mainland Inlets","Pink","18","295"
"Vancouver Island & Mainland Inlets","Sockeye","6","196"
"Vancouver Island & Mainland Inlets","Steelhead","9","0"
"Vancouver Island & Mainland Inlets","Steelhead","8","0"
"Fraser","Chinook","53","82"
"Fraser","Chum","9","93"
"Fraser","Coho","44","209"
"Fraser","Pink","12","81"
"Fraser","Sockeye","48","226"
"Fraser","Steelhead","6","4"
"Columbia","Chinook","1","0"
"Columbia","Chum","0","0"
"Columbia","Coho","0","0"
"Columbia","Pink","0","0"
"Columbia","Sockeye","1","0"
"Columbia","Steelhead","0","0"
