"","region","cu_name_dfo","cu_index","species_abbr"
"1","Skeena","Alastair","SEL-20-01","SEL"
"2","Skeena","Ecstall/Lower","SEL-20-04","SEL"
"3","Skeena","Johnston","SEL-20-05","SEL"
"4","Skeena","Kitsumkalum","SEL-20-06","SEL"
"5","Skeena","Lakelse","SEL-20-07","SEL"
"6","Skeena","Aldrich","SEL-20-02","SEL"
"7","Skeena","Dennis","SEL-20-03","SEL"
"8","Skeena","Mcdonell","SEL-20-08","SEL"
"9","Skeena","Babine","SEL-21-02","SEL"
"10","Skeena","Onerka","SEL-21-13","SEL"
"11","Skeena","Bulkley","SEL-21-03","SEL"
"12","Skeena","Maxan","SEL-21-06","SEL"
"13","Skeena","Gitanyow","SEL-21-05","SEL"
"14","Skeena","Atna","SEL-21-01","SEL"
"15","Skeena","Morice","SEL-21-07","SEL"
"16","Skeena","Nilkitkwa","SEL-21-02-LW","SEL"
"17","Skeena","Stephens","SEL-21-09","SEL"
"18","Skeena","Club Lake",NA,"SEL"
"19","Skeena","Swan","SEL-21-10","SEL"
"20","Skeena","Tahlo/Morrison","SEL-21-11","SEL"
"21","Skeena","Asitika","SEL-22-01","SEL"
"22","Skeena","Azuklotz","SEL-22-02","SEL"
"23","Skeena","Bear","SEL-22-03","SEL"
"24","Skeena","Damshilgwit","SEL-22-04","SEL"
"25","Skeena","Johanson","SEL-22-05","SEL"
"26","Skeena","Kluatantan","SEL-22-06","SEL"
"27","Skeena","Kluayaz","SEL-22-07","SEL"
"28","Skeena","Motase","SEL-22-08","SEL"
"29","Skeena","Sicintine","SEL-22-09","SEL"
"30","Skeena","Slamgeesh","SEL-22-10","SEL"
"31","Skeena","Spawning","SEL-22-11","SEL"
"32","Skeena","Sustut","SEL-22-12","SEL"
"33","Skeena","Babine-Pinkut",NA,"SEL"
"34","Skeena","Babine (enhanced)","SEL-21-02-F","SEL"
"35","Skeena","Footsore/Hodder","SEL-21-12","SEL"
"36","Skeena","Skeena River-high interior","SER-19","SER"
"37","Skeena","Skeena River","SER-18","SER"
"38","Skeena","Lower Skeena (odd)","PKO-15","PKO"
"39","Skeena","Middle & Upper Skeena (odd)","PKO-16","PKO"
"40","Skeena","Nass-Skeena Estuary (odd)","PKO-14","PKO"
"41","Skeena","Middle-Upper Skeena (even)","PKE-8","PKE"
"42","Skeena","Nass-Skeena Estuary (even)","PKE-7","PKE"
"43","Skeena","Ecstall","CK-46","CK"
"44","Skeena","Kalum-early timing","CK-49","CK"
"45","Skeena","Kalum-late timing","CK-50","CK"
"46","Skeena","Lower Skeena-CK","CK-48","CK"
"47","Skeena","Upper Skeena-CK","CK-56","CK"
"48","Skeena","Middle Skeena-mainstem tributaries","CK-54","CK"
"49","Skeena","Upper Bulkley River","CK-55","CK"
"50","Skeena","Middle Skeena-large lakes","CK-53","CK"
"51","Skeena","Skeena Estuary-CK","CK-45","CK"
"52","Skeena","Lakelse-CK","CK-51","CK"
"53","Skeena","Zymoetz","CK-80","CK"
"54","Skeena","Sicintine","CK-81","CK"
"55","Skeena","Lower Skeena-CO","CO-32","CO"
"56","Skeena","Middle Skeena-CO","CO-33","CO"
"57","Skeena","Skeena Estuary-CO","CO-31","CO"
"58","Skeena","Upper Skeena-CO","CO-34","CO"
"59","Skeena","Lower Skeena-CM","CM-27","CM"
"60","Skeena","Middle Skeena-CM","CM-28","CM"
"61","Skeena","Skeena Estuary-CM","CM-26","CM"
"62","Skeena","Upper Skeena",NA,"CM"
"63","Skeena","Upper Skeena Headwaters",NA,"SH"
"64","Skeena","Upper Sustut",NA,"SH"
"65","Skeena","Upper Skeena",NA,"SH"
"66","Skeena","Kispiox",NA,"SH"
"67","Skeena","Babine",NA,"SH"
"68","Skeena","Middle Skeena",NA,"SH"
"69","Skeena","Suskwa",NA,"SH"
"70","Skeena","Bulkley",NA,"SH"
"71","Skeena","Skeena Coastal Summers",NA,"SH"
"72","Skeena","Morice",NA,"SH"
"73","Skeena","Skeena Coastal Winters",NA,"SH"
"74","Nass","Clements","SEL-23-01","SEL"
"75","Nass","Leverson","SEL-23-02","SEL"
"76","Nass","Bowser","SEL-24-01","SEL"
"77","Nass","Damdochax","SEL-24-02","SEL"
"78","Nass","Fred Wright","SEL-24-03","SEL"
"79","Nass","Kwinageese","SEL-24-04","SEL"
"80","Nass","Meziadin","SEL-24-05","SEL"
"81","Nass","Oweegee","SEL-24-06","SEL"
"82","Nass","Lower Nass-Portland","SER-20","SER"
"83","Nass","Upper Nass River","SER-21","SER"
"84","Nass","Nass-Portland-Observatory","PKO-17","PKO"
"85","Nass","Upper Nass","PKE-12","PKO"
"86","Nass","Upper Nass","PKO-18","PKE"
"87","Nass","Portland Sound-Observatory Inlet-Lower Nass","CK-57","CK"
"88","Nass","Upper Nass","CK-58","CK"
"89","Nass","Lower Nass","CO-35","CO"
"90","Nass","Upper Nass","CO-36","CO"
"91","Nass","Portland Sound-Observatory Inlet-Portland Canal","CO-37","CO"
"92","Nass","Portland Inlet","CM-30","CM"
"93","Nass","Lower Nass","CM-31","CM"
"94","Nass","Portland Canal-Observatory","CM-32","CM"
"95","Nass","Nass Summer",NA,"SH"
"96","Nass","Nass Winter",NA,"SH"
"97","Central Coast","Long (Sockeye-Lake)","SEL-15-01","SEL"
"98","Central Coast","Owikeno (Sockeye-Lake)","SEL-15-02","SEL"
"99","Central Coast","Wannock[Owikeno] (Sockeye-Lake)","SEL-15-04","SEL"
"100","Central Coast","South Atnarko Lakes (Sockeye-Lake)","SX_528","SEL"
"101","Central Coast","Backland (Sockeye-Lake)","SEL-18-01","SEL"
"102","Central Coast","Soda Creek (Sockeye-Lake)","SEL-18-10","SEL"
"103","Central Coast","Canoona (Sockeye-Lake)","SEL-18-02","SEL"
"104","Central Coast","Dome (Sockeye-Lake)","SEL-18-03","SEL"
"105","Central Coast","Evelyn (Sockeye-Lake)","SEL-18-04","SEL"
"106","Central Coast","Kainet Creek (Sockeye-Lake)","SEL-18-05","SEL"
"107","Central Coast","Kimsquit (Sockeye-Lake)","SEL-18-06","SEL"
"108","Central Coast","Kitkiata (Sockeye-Lake)","SEL-18-07","SEL"
"109","Central Coast","Kitlope (Sockeye-Lake)","SEL-18-08","SEL"
"110","Central Coast","Pine River (Sockeye-Lake)","SEL-18-09","SEL"
"111","Central Coast","Banks (Sockeye-Lake)","SEL-19-01","SEL"
"112","Central Coast","Bloomfield (Sockeye-Lake)","SEL-19-02","SEL"
"113","Central Coast","Bolton Creek (Sockeye-Lake)","SEL-19-03","SEL"
"114","Central Coast","Bonilla (Sockeye-Lake)","SEL-19-04","SEL"
"115","Central Coast","Borrowman Creek (Sockeye-Lake)","SEL-19-05","SEL"
"116","Central Coast","Busey Creek (Sockeye-Lake)","SEL-19-06","SEL"
"117","Central Coast","Cartwright Creek (Sockeye-Lake)","SEL-19-07","SEL"
"118","Central Coast","Chic Chic (Sockeye-Lake)","SEL-19-08","SEL"
"119","Central Coast","Citeyats (Sockeye-Lake)","SEL-19-09","SEL"
"120","Central Coast","Fannie Cove (Sockeye-Lake)","SEL-19-10","SEL"
"121","Central Coast","Curtis Inlet (Sockeye-Lake)","SEL-19-11","SEL"
"122","Central Coast","Dallain Creek (Sockeye-Lake)","SEL-19-12","SEL"
"123","Central Coast","Deer (Sockeye-Lake)","SEL-19-13","SEL"
"124","Central Coast","Devon (Sockeye-Lake)","SEL-19-14","SEL"
"125","Central Coast","Douglas Creek (Sockeye-Lake)","SEL-19-15","SEL"
"126","Central Coast","Elizabeth (Sockeye-Lake)","SEL-19-16","SEL"
"127","Central Coast","Elsie/Hoy (Sockeye-Lake)","SEL-19-17","SEL"
"128","Central Coast","End Hill Creek (Sockeye-Lake)","SEL-19-18","SEL"
"129","Central Coast","Evinrude Inlet (Sockeye-Lake)","SEL-19-19","SEL"
"130","Central Coast","Freeda (Sockeye-Lake)","SEL-19-20","SEL"
"131","Central Coast","Hartley Bay (Sockeye-Lake)","SEL-19-21","SEL"
"132","Central Coast","Hevenor Inlet (Sockeye-Lake)","SEL-19-22","SEL"
"133","Central Coast","Higgins Lagoon (Sockeye-Lake)","SEL-19-23","SEL"
"134","Central Coast","Kadjusdis River (Sockeye-Lake)","SEL-19-24","SEL"
"135","Central Coast","Kdelmashan Creek (Sockeye-Lake)","SEL-19-25","SEL"
"136","Central Coast","Keecha (Sockeye-Lake)","SEL-19-26","SEL"
"137","Central Coast","Kent Inlet Lagoon Creek (Sockeye-Lake)","SEL-19-27","SEL"
"138","Central Coast","Kenzuwash Creeks (Sockeye-Lake)","SEL-19-28","SEL"
"139","Central Coast","Keswar Creek (Sockeye-Lake)","SEL-19-29","SEL"
"140","Central Coast","Kildidt Creek (Sockeye-Lake)","SEL-19-30","SEL"
"141","Central Coast","Kildidt Lagoon Creek (Sockeye-Lake)","SEL-19-31","SEL"
"142","Central Coast","Kisameet (Sockeye-Lake)","SEL-19-32","SEL"
"143","Central Coast","Koeye (Sockeye-Lake)","SEL-19-33","SEL"
"144","Central Coast","Kooryet (Sockeye-Lake)","SEL-19-34","SEL"
"145","Central Coast","Kunsoot River (Sockeye-Lake)","SEL-19-35","SEL"
"146","Central Coast","Kwakwa Creek (Sockeye-Lake)","SEL-19-36","SEL"
"147","Central Coast","Lewis Creek (Sockeye-Lake)","SEL-19-37","SEL"
"148","Central Coast","Limestone Creek (Sockeye-Lake)","SEL-19-38","SEL"
"149","Central Coast","Lowe/Simpson/Weir (Sockeye-Lake)","SEL-19-39","SEL"
"150","Central Coast","Mary Cove Creek (Sockeye-Lake)","SEL-19-40","SEL"
"151","Central Coast","Mcdonald Creek (Sockeye-Lake)","SEL-19-41","SEL"
"152","Central Coast","Mcloughlin (Sockeye-Lake)","SEL-19-42","SEL"
"153","Central Coast","Mikado (Sockeye-Lake)","SEL-19-43","SEL"
"154","Central Coast","Monckton Inlet Creek (Sockeye-Lake)","SEL-19-44","SEL"
"155","Central Coast","Namu (Sockeye-Lake)","SEL-19-45","SEL"
"156","Central Coast","Port John (Sockeye-Lake)","SEL-19-46","SEL"
"157","Central Coast","Powles Creek (Sockeye-Lake)","SEL-19-47","SEL"
