"","region","stream_name_pse","sppSum"
"c(""Skeena"", ""Nass"")-c(""Ksi Sii Aks"", ""KSI SII AKS"")",c("Skeena", "Nass"),c("Ksi Sii Aks", "KSI SII AKS"),3488.76595744681
"Central Coast-AALTANHASH RIVER",Central Coast,AALTANHASH RIVER,4800.85143199637
"Central Coast-ALLARD CREEK",Central Coast,ALLARD CREEK,868.234126984127
"Central Coast-ALPHA CREEK",Central Coast,ALPHA CREEK,276.642857142857
"Central Coast-AMBACK CREEK",Central Coast,AMBACK CREEK,2080.07272727273
"Central Coast-ANDERSON CREEK",Central Coast,ANDERSON CREEK,6454.725
"Central Coast-ANGLER COVE CREEK",Central Coast,ANGLER COVE CREEK,960.340909090909
"Central Coast-ARGYH CREEK",Central Coast,ARGYH CREEK,424.271590909091
"Central Coast-ARNOUP CREEK",Central Coast,ARNOUP CREEK,16469.1526577997
"Central Coast-ASHLULM CREEK",Central Coast,ASHLULM CREEK,12584.7219622332
"Central Coast-ASSEEK RIVER",Central Coast,ASSEEK RIVER,4788.12847075405
"Central Coast-BANKS LAKES CREEK",Central Coast,BANKS LAKES CREEK,7029.35897435897
"Central Coast-BARNARD CREEK",Central Coast,BARNARD CREEK,7240.25807787904
"Central Coast-BEAVER CREEK",Central Coast,BEAVER CREEK,1767.20159742219
"Central Coast-BELLA COOLA RIVER",Central Coast,BELLA COOLA RIVER,936462.522800511
"Central Coast-BELOWE CREEK",Central Coast,BELOWE CREEK,5316.38935688406
"Central Coast-BIG BAY CREEK",Central Coast,BIG BAY CREEK,3067.53388278388
"Central Coast-BIG CREEK",Central Coast,BIG CREEK,6519.58974358974
"Central Coast-BIG TILLHORN CREEK",Central Coast,BIG TILLHORN CREEK,2867.80194805195
"Central Coast-BILLY CREEK",Central Coast,BILLY CREEK,362.516129032258
"Central Coast-BISH CREEK",Central Coast,BISH CREEK,42690.4777777778
"Central Coast-BLACK ROCK CREEK",Central Coast,BLACK ROCK CREEK,3395.87044534413
"Central Coast-BLEE CREEK",Central Coast,BLEE CREEK,2610.48926390228
"Central Coast-BLOOMFIELD CREEK",Central Coast,BLOOMFIELD CREEK,3415.75506812117
"Central Coast-BOLIN BAY CREEK",Central Coast,BOLIN BAY CREEK,4041.833640553
"Central Coast-BOLTON CREEK",Central Coast,BOLTON CREEK,1736.14624505929
"Central Coast-BONILLA LAKE CREEK",Central Coast,BONILLA LAKE CREEK,14696.8013111294
"Central Coast-BOSWELL CREEK",Central Coast,BOSWELL CREEK,140.066666666667
"Central Coast-BOTTLENECK CREEK",Central Coast,BOTTLENECK CREEK,2270.58464384829
"Central Coast-BRIM RIVER",Central Coast,BRIM RIVER,20334.1387516072
"Central Coast-BULLEY BAY CREEK",Central Coast,BULLEY BAY CREEK,1839.29398859149
"Central Coast-BULLOCK CHANNEL #2 CREEK",Central Coast,BULLOCK CHANNEL #2 CREEK,3973.33333333333
"Central Coast-BULLOCK CHANNEL #3 NORTH CREEK",Central Coast,BULLOCK CHANNEL #3 NORTH CREEK,566.153846153846
"Central Coast-BULLOCK CHANNEL #3 SOUTH CREEK",Central Coast,BULLOCK CHANNEL #3 SOUTH CREEK,386.666666666667
"Central Coast-BULLOCK CHANNEL CREEKS",Central Coast,BULLOCK CHANNEL CREEKS,3254.19675925926
"Central Coast-BUSEY CREEK",Central Coast,BUSEY CREEK,1318.21645021645
"Central Coast-c(""AIRPORT SIDE CHANNEL"", ""GEORGE HALL CREEK"")",Central Coast,c("AIRPORT SIDE CHANNEL", "GEORGE HALL CREEK"),1228.26923076923
"Central Coast-c(""FISH CREEK"", ""HAGENSBORG SLOUGH"")",Central Coast,c("FISH CREEK", "HAGENSBORG SLOUGH"),81.5555555555556
"Central Coast-c(""JENNY BAY SOUTH CREEK"", ""JENNY BAY CREEK"")",Central Coast,c("JENNY BAY SOUTH CREEK", "JENNY BAY CREEK"),1796.51098901099
"Central Coast-c(""NEKITE SPAWNING CHANNEL"", ""NEKITE RIVER"")",Central Coast,c("NEKITE SPAWNING CHANNEL", "NEKITE RIVER"),26970.1011761526
"Central Coast-CAMP CREEK",Central Coast,CAMP CREEK,584.721257237386
"Central Coast-CANOE CREEK",Central Coast,CANOE CREEK,28873.9643724696
"Central Coast-CANOONA RIVER",Central Coast,CANOONA RIVER,13430.0398395722
"Central Coast-CANYON CREEK",Central Coast,CANYON CREEK,2665.24209601874
"Central Coast-CAPTAIN COVE CREEK",Central Coast,CAPTAIN COVE CREEK,8739.85827067669
"Central Coast-CARTER RIVER",Central Coast,CARTER RIVER,12420.9177872666
"Central Coast-CARTWRIGHT CREEK",Central Coast,CARTWRIGHT CREEK,1321.75362318841
"Central Coast-CASCADE RIVER",Central Coast,CASCADE RIVER,12116.1671241966
