"region","species","year","spawners","smoothedSpawners","expansion_factor1","expansion_factor2"
"Haida Gwaii","Chinook",1950,NA,NA,NA,NA
"Haida Gwaii","Chinook",1951,NA,NA,NA,NA
"Haida Gwaii","Chinook",1952,NA,NA,NA,NA
"Haida Gwaii","Chinook",1953,NA,NA,NA,NA
"Haida Gwaii","Chinook",1954,NA,NA,NA,NA
"Haida Gwaii","Chinook",1955,NA,NA,NA,NA
"Haida Gwaii","Chinook",1956,NA,NA,NA,NA
"Haida Gwaii","Chinook",1957,NA,NA,NA,NA
"Haida Gwaii","Chinook",1958,NA,NA,NA,NA
"Haida Gwaii","Chinook",1959,NA,NA,NA,NA
"Haida Gwaii","Chinook",1960,NA,NA,NA,NA
"Haida Gwaii","Chinook",1961,NA,NA,NA,NA
"Haida Gwaii","Chinook",1962,NA,NA,NA,NA
"Haida Gwaii","Chinook",1963,NA,NA,NA,NA
"Haida Gwaii","Chinook",1964,NA,NA,NA,NA
"Haida Gwaii","Chinook",1965,NA,NA,NA,NA
"Haida Gwaii","Chinook",1966,NA,NA,NA,NA
"Haida Gwaii","Chinook",1967,NA,NA,NA,NA
"Haida Gwaii","Chinook",1968,NA,NA,NA,NA
"Haida Gwaii","Chinook",1969,NA,NA,NA,NA
"Haida Gwaii","Chinook",1970,NA,NA,NA,NA
"Haida Gwaii","Chinook",1971,NA,NA,NA,NA
"Haida Gwaii","Chinook",1972,NA,NA,NA,NA
"Haida Gwaii","Chinook",1973,NA,NA,NA,NA
"Haida Gwaii","Chinook",1974,NA,NA,NA,NA
"Haida Gwaii","Chinook",1975,NA,NA,NA,NA
"Haida Gwaii","Chinook",1976,NA,NA,NA,NA
"Haida Gwaii","Chinook",1977,NA,NA,NA,NA
"Haida Gwaii","Chinook",1978,NA,NA,NA,NA
"Haida Gwaii","Chinook",1979,NA,NA,NA,NA
"Haida Gwaii","Chinook",1980,NA,NA,NA,NA
"Haida Gwaii","Chinook",1981,NA,NA,NA,NA
"Haida Gwaii","Chinook",1982,NA,NA,NA,NA
"Haida Gwaii","Chinook",1983,NA,NA,NA,NA
"Haida Gwaii","Chinook",1984,NA,NA,NA,NA
"Haida Gwaii","Chinook",1985,NA,NA,NA,NA
"Haida Gwaii","Chinook",1986,NA,NA,NA,NA
"Haida Gwaii","Chinook",1987,NA,NA,NA,NA
"Haida Gwaii","Chinook",1988,NA,NA,NA,NA
"Haida Gwaii","Chinook",1989,NA,NA,NA,NA
"Haida Gwaii","Chinook",1990,NA,NA,NA,NA
"Haida Gwaii","Chinook",1991,NA,NA,NA,NA
"Haida Gwaii","Chinook",1992,NA,NA,NA,NA
"Haida Gwaii","Chinook",1993,NA,NA,NA,NA
"Haida Gwaii","Chinook",1994,NA,NA,NA,NA
"Haida Gwaii","Chinook",1995,NA,NA,NA,NA
"Haida Gwaii","Chinook",1996,NA,NA,NA,NA
