"region","species","year","spawners","smoothedSpawners","runsize","smoothedRunsize","source_id","spawners_short_trend","spawners_short_trend_lwr","spawners_short_trend_upr","spawners_long_trend","spawners_long_trend_lwr","spawners_long_trend_upr","runsize_short_trend","runsize_short_trend_lwr","runsize_short_trend_upr","runsize_long_trend","runsize_long_trend_lwr","runsize_long_trend_upr"
"Yukon","Chinook",1982,35777,35777,162185,162185,"JTC_202603",NA,NA,NA,55934.7357795603,49010.8877262953,63836.7271411535,NA,NA,NA,227182.83414422,198469.677148978,260050.002958681
"Yukon","Chinook",1983,55250,44459.9,183136,172342.4,"JTC_202603",NA,NA,NA,55541.6737845768,48887.3557209302,63101.7464802583,NA,NA,NA,219174.561089308,192362.178589244,249724.184769536
"Yukon","Chinook",1984,68331,51308,138298,160152.4,"JTC_202603",NA,NA,NA,55151.3738967123,48761.1642555247,62379.028251983,NA,NA,NA,211448.582414444,186431.011529042,239823.313934618
"Yukon","Chinook",1985,39082,47932.8,158372,159705.4,"JTC_202603",NA,NA,NA,54763.8167062151,48632.0011469875,61668.7684960236,NA,NA,NA,203994.94714562,180670.196340602,230330.952773711
"Yukon","Chinook",1986,49804,48301.3,176175,162871.3,"JTC_202603",NA,NA,NA,54378.9829397289,48499.5124440865,60971.2064418883,NA,NA,NA,196804.055084086,175073.85537286,221231.411252421
"Yukon","Chinook",1987,33795,45510.1,176108,165006.2,"JTC_202603",NA,NA,NA,53996.8534593341,48363.2966319276,60286.6302869849,NA,NA,NA,189866.644441403,169636.201687102,212509.725594611
"Yukon","Chinook",1988,49442,48031.2,160326,164689.5,"JTC_202603",NA,NA,NA,53617.4092615962,48222.8982773426,59615.3835340135,NA,NA,NA,183173.779910356,164351.528119489,204151.637837244
"Yukon","Chinook",1989,60545,48769.4,166594,162111.4,"JTC_202603",NA,NA,NA,53240.6314766207,48077.8012291311,58957.8717737164,NA,NA,NA,176716.841156387,159214.197188746,196143.575759582
"Yukon","Chinook",1990,85985,50673.6,178126,169095.5,"JTC_202603",NA,NA,NA,52866.5013671149,47927.4216027945,58314.569683344,NA,NA,NA,170487.511714694,154218.63263753,188472.632350357
"Yukon","Chinook",1991,51662,53086.1,141490,165948.5,"JTC_202603",NA,NA,NA,52495.000327456,47771.1009501921,57686.0278404055,NA,NA,NA,164477.768278723,149359.313758986,181126.543615508
"Yukon","Chinook",1992,46024,52392.3,179658,166490.8,"JTC_202603",NA,NA,NA,52126.1098827654,47608.1002554218,57072.8787103975,NA,NA,NA,158679.870366232,144630.774124383,174093.66306641
"Yukon","Chinook",1993,55346,56881.8,159529,163769.8,"JTC_202603",NA,NA,NA,51759.8116879907,47437.5957203789,56475.8408450567,NA,NA,NA,153086.350349645,140027.606883519,167362.930674584
"Yukon","Chinook",1994,64047,59389.1,192917,168899.4,"JTC_202603",NA,NA,NA,51396.087526993,47258.6777055362,55895.7199255889,NA,NA,NA,147690.003837824,135544.479406266,160923.833483757
"Yukon","Chinook",1995,69485,60768.1,214663,176188.6,"JTC_202603",NA,NA,NA,51034.9193116405,47070.3546445907,55333.4048322276,NA,NA,NA,142483.880396898,131176.16055229,154766.354553158
"Yukon","Chinook",1996,76425,59586,195905,179004.6,"JTC_202603",NA,NA,NA,50676.2890809103,46871.5641778216,54789.8564952766,NA,NA,NA,137461.274598182,126917.56407428,148880.906689147
"Yukon","Chinook",1997,83707,64576.8,199464,189548.6,"JTC_202603",NA,NA,NA,50320.1789999938,46661.1939973966,54266.0870343929,NA,NA,NA,132615.717381655,122763.811229378,143258.247854416
"Yukon","Chinook",1998,35520,61847.8,97139,171085,"JTC_202603",NA,NA,NA,49966.5713594104,46438.1147317056,53763.1268590338,NA,NA,NA,127940.967723893,118710.314140212,137889.376678698
"Yukon","Chinook",1999,47002,60186.1,124131,164078.6,"JTC_202603",NA,NA,NA,49615.4485741269,46201.2263166726,53281.9782821107,NA,NA,NA,123431.004599689,114752.878369482,132765.409573728
"Yukon","Chinook",2000,21345,50114.4,53788,132618.6,"JTC_202603",NA,NA,NA,49266.7931826827,45949.5174461478,52823.5560547485,NA,NA,NA,119080.019227049,110887.818382491,127877.445746137
