"region","species","type","current_status","short_trend","short_trend_cat","long_trend","long_trend_cat","current_abundance","current_abundance_year","average_abundance","previous_gen_abundance","gen_length","regionspecies","nyears","rangeyears"
"Yukon","Chinook","Spawners",-0.533925674732523,-0.0315035818001258,"arrow-down",-0.00702715224385098,"arrow-down",21452.835802237,2025,46028.7869105971,62197.0791456864,6,"Yukon Chinook",44,"1982-2025"
"Yukon","Chinook","Run Size",-0.735185293924617,-0.0585071862573566,"arrow-down",-0.0352503589002047,"arrow-down",24774.6648333121,2025,93554.7168073803,82521.035532084,6,"Yukon Chinook",44,"1982-2025"
"Yukon","Chum","Spawners",-0.739212842913121,-0.209104397355693,"arrow-down",0.0158035516500425,"arrow-up",19812.8404370123,2025,75973.2214512841,53811.7856144922,4,"Yukon Chum",46,"1980-2025"
"Yukon","Chum","Run Size",-0.840036867426303,-0.249513431813161,"arrow-down",-0.0509186056325234,"arrow-down",20283.9078626022,2025,126803.6424159,73100.9655238295,4,"Yukon Chum",25,"2001-2025"
"Yukon","Coho","Spawners",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"Yukon","Coho","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"Northern Transboundary","Chinook","Spawners",-0.379106914460004,-0.0390593500836461,"arrow-down",-0.0130341700004205,"arrow-down",34683.0903371325,2025,55860.0041534821,23753.3925714712,5,"Northern Transboundary Chinook",50,"1976-2025"
"Northern Transboundary","Chinook","Run Size",-0.522498308810453,-0.07620292278917,"arrow-down",-0.00936348872556869,"arrow-down",32930.9299306922,2024,68965.0540266256,32387.1421271123,5,"Northern Transboundary Chinook",49,"1976-2024"
"Northern Transboundary","Chum","Spawners",-0.730856093884647,-0.129419474358599,"arrow-down",-0.0528557329235131,"arrow-down",59.4051510960939,2025,220.718915592439,46.8625476981719,4,"Northern Transboundary Chum",42,"1984-2025"
"Northern Transboundary","Chum","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,4,NA,NA,NA
"Northern Transboundary","Coho","Spawners",-0.140981387148111,-0.0253316135708689,"arrow-down",0.00479665491873082,"arrows-left-right",67222.1902113106,2025,78254.6375661606,64531.0459255165,5,"Northern Transboundary Coho",39,"1987-2025"
"Northern Transboundary","Coho","Run Size",-0.175864665957809,-0.0298112100176703,"arrow-down",-0.0118383355073551,"arrow-down",92334.4150564416,2025,112037.927804361,86458.9618885084,5,"Northern Transboundary Coho",34,"1992-2025"
"Northern Transboundary","Pink","Spawners",-0.862453665956499,-0.386201434186151,"arrow-down",-0.0341618760189041,"arrow-down",1167.82655394541,2025,8490.42296958689,3806.85767925464,2,"Northern Transboundary Pink",42,"1984-2025"
"Northern Transboundary","Pink","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,2,NA,NA,NA
"Northern Transboundary","Sockeye","Spawners",0.465451710692671,0.0247444678503193,"arrow-up",0.00473996816860112,"arrow-up",206439.81594926,2025,140871.114648795,132378.070466447,5,"Northern Transboundary Sockeye",42,"1984-2025"
"Northern Transboundary","Sockeye","Run Size",0.0350015426609369,-0.0128867530872127,"arrow-down",0.00150815396398674,"arrows-left-right",330835.236049261,2025,319647.09463012,257579.301529743,5,"Northern Transboundary Sockeye",42,"1984-2025"
"Northern Transboundary","Steelhead","Spawners",-0.585579686591649,-0.108245300828803,"arrow-down",-0.0250242602428911,"arrow-down",18.225711349988,2025,43.978807892144,14.6902985965642,5,"Northern Transboundary Steelhead",39,"1987-2025"
"Northern Transboundary","Steelhead","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,5,NA,NA,NA
"Haida Gwaii","Chinook","Spawners",0.108343728027659,0.118773394629781,"arrows-left-right",0.00561483090931358,"arrow-up",1799.64284145564,2025,1623.72267370356,NA,5,"Haida Gwaii Chinook",81,"1935-2025"
"Haida Gwaii","Chinook","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,5,NA,NA,NA
"Haida Gwaii","Chum","Spawners",-0.735251298450444,-0.0720471165593456,"arrow-down",-0.0166237741411065,"arrow-down",61547.8839917217,2024,232476.622667028,145380.209180072,5,"Haida Gwaii Chum",75,"1950-2024"
"Haida Gwaii","Chum","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,5,NA,NA,NA
"Haida Gwaii","Coho","Spawners",-0.80945023635087,-0.148994080807041,"arrow-down",-0.0109766354974309,"arrow-down",13465.1254541488,2024,70664.613780067,53184.6635541697,4,"Haida Gwaii Coho",75,"1950-2024"
"Haida Gwaii","Coho","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,4,NA,NA,NA
"Haida Gwaii","Pink","Spawners",-0.361048305414182,-0.0877769108650446,"arrows-left-right",-0.015658453086564,"arrow-down",72208.1204372099,2024,113010.29647322,25731.5596665046,2,"Haida Gwaii Pink",75,"1950-2024"
"Haida Gwaii","Pink","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,2,NA,NA,NA
"Haida Gwaii","Sockeye","Spawners",0.129385070516674,-0.0133424949850169,"arrows-left-right",-0.00330407879832906,"arrows-left-right",30328.7636953705,2024,26854.2275678353,25812.1887845343,5,"Haida Gwaii Sockeye",75,"1950-2024"
"Haida Gwaii","Sockeye","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,5,NA,NA,NA
"Haida Gwaii","Steelhead","Spawners",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"Haida Gwaii","Steelhead","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"Nass","Chinook","Spawners",-0.0199953843273244,-0.00640715997241559,"arrows-left-right",-0.00363038477740951,"arrows-left-right",16543.0955884321,2025,16880.630278539,10702.4667778973,5,"Nass Chinook",51,"1975-2025"
"Nass","Chinook","Run Size",-0.0581494572245129,-0.00367993456089388,"arrows-left-right",-2.22904021947024e-05,"arrows-left-right",21835.8798199578,2025,23184.017875714,16441.4536871852,5,"Nass Chinook",51,"1975-2025"
"Nass","Chum","Spawners",0.993133821589364,0.194642185076851,"arrow-up",-0.00909569023211176,"arrow-down",85055.8296319404,2025,42674.4199062937,60503.3107899833,4,"Nass Chum",76,"1950-2025"
"Nass","Chum","Run Size",0.95683340302553,0.191501903757445,"arrow-up",-0.0282986598439311,"arrow-down",99763.6864379118,2025,50982.2074192231,71086.6902480025,4,"Nass Chum",34,"1992-2025"
"Nass","Coho","Spawners",0.650636246865503,0.0243614617319781,"arrows-left-right",0.026452825899417,"arrow-up",211822.771115762,2025,128327.953247122,116254.247603655,4,"Nass Coho",34,"1992-2025"
"Nass","Coho","Run Size",0.446674676086098,-0.00645207782042034,"arrows-left-right",0.018632327047154,"arrow-up",399422.622107117,2025,276097.058108278,235273.801531708,4,"Nass Coho",34,"1992-2025"
"Nass","Pink","Spawners",4.70440788176293,0.337947079678953,"arrow-up",0.0255368365349196,"arrow-up",1388898.49515362,2025,243478.117964521,1023237.03367793,2,"Nass Pink",76,"1950-2025"
"Nass","Pink","Run Size",1.7562885263548,0.34555405166087,"arrow-up",0.0041190372210298,"arrows-left-right",1550764.98328406,2025,562627.957289708,1133441.67485142,2,"Nass Pink",34,"1992-2025"
"Nass","Sockeye","Spawners",0.598308710498278,0.0353039283771335,"arrow-up",0.00221432376481423,"arrows-left-right",419515.877720146,2025,262474.874199591,236298.108654827,5,"Nass Sockeye",44,"1982-2025"
"Nass","Sockeye","Run Size",-0.0839019420198118,-0.0051093566491569,"arrows-left-right",-0.0144521510220005,"arrow-down",607237.586772937,2025,662852.171209459,356348.421134151,5,"Nass Sockeye",44,"1982-2025"
"Nass","Steelhead","Spawners",0.0625588446917789,-0.0424544763116486,"arrow-down",0.0213410217943393,"arrow-up",12057.2745218731,2025,11347.3946239378,12919.9531917583,5,"Nass Steelhead",34,"1992-2025"
"Nass","Steelhead","Run Size",-0.0727421165609538,-0.0478452041814214,"arrow-down",0.0054436785383376,"arrows-left-right",16450.8630469578,2025,17741.4108208434,15995.8117364262,5,"Nass Steelhead",34,"1992-2025"
"Skeena","Chinook","Spawners",-0.451385527384987,-0.0650530486104198,"arrow-down",-0.0172090082309351,"arrow-down",24707.5078180938,2025,45036.1939967124,29811.6568229942,6,"Skeena Chinook",42,"1984-2025"
"Skeena","Chinook","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,6,NA,NA,NA
"Skeena","Chum","Spawners",-0.846826492007735,-0.0947904860703278,"arrow-down",-0.0269601260934391,"arrow-down",1333.31235935647,2024,8704.58852077605,2317.62156401698,5,"Skeena Chum",75,"1950-2024"
"Skeena","Chum","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,5,NA,NA,NA
"Skeena","Coho","Spawners",0.100406134627753,-0.0499062433088864,"arrows-left-right",-0.0100052758058177,"arrow-down",98808.7501957357,2024,89792.9837779039,44158.1713887661,4,"Skeena Coho",75,"1950-2024"
"Skeena","Coho","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,4,NA,NA,NA
"Skeena","Pink","Spawners",3.0962404641652,1.62145365012358,"arrow-up",-0.00427635406682625,"arrows-left-right",3942966.55121442,2024,962581.807808489,1471759.97257898,2,"Skeena Pink",75,"1950-2024"
"Skeena","Pink","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,2,NA,NA,NA
"Skeena","Sockeye","Spawners",0.727974984139686,0.0350906323096167,"arrow-up",0.00871674651908805,"arrow-up",1704655.63817778,2024,986504.812757161,950032.082160865,5,"Skeena Sockeye",65,"1960-2024"
"Skeena","Sockeye","Run Size",0.139537635487508,0.0155363786857601,"arrows-left-right",0.00200874257471995,"arrows-left-right",2367526.85344332,2024,2077620.58901237,1411025.40757077,5,"Skeena Sockeye",65,"1960-2024"
"Skeena","Steelhead","Spawners",-0.436059695674901,-0.0897936713133867,"arrow-down",0.0066132836813364,"arrow-up",12200.207118691,2025,21633.862706961,23697.1842324642,5,"Skeena Steelhead",70,"1956-2025"
"Skeena","Steelhead","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,5,NA,NA,NA
"Central Coast","Chinook","Spawners",0.0721035720869228,0.0200741734664402,"arrows-left-right",0.0109029216167715,"arrow-up",17899.3264946453,2025,16695.5198738896,18881.7869070847,5,"Central Coast Chinook",51,"1975-2025"
"Central Coast","Chinook","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,5,NA,NA,NA
"Central Coast","Chum","Spawners",-0.295984084015309,-0.0823025985053263,"arrow-down",-0.00683218835024912,"arrow-down",347784.791678136,2024,494001.319830529,212765.487642357,4,"Central Coast Chum",75,"1950-2024"
"Central Coast","Chum","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,4,NA,NA,NA
"Central Coast","Coho","Spawners",-0.0913344124411625,-0.0429717535459605,"arrow-down",-0.00417134950258291,"arrow-down",148662.27158515,2024,163605.041965479,105965.687905381,4,"Central Coast Coho",75,"1950-2024"
"Central Coast","Coho","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,4,NA,NA,NA
"Central Coast","Pink","Spawners",0.36818853392571,0.19680217856666,"arrows-left-right",0.00629300094960938,"arrow-up",2974557.63735793,2024,2174084.61158719,1714315.0979437,2,"Central Coast Pink",75,"1950-2024"
"Central Coast","Pink","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,2,NA,NA,NA
"Central Coast","Sockeye","Spawners",-0.387648408779395,0.0106360510963572,"arrows-left-right",-0.0162962903211219,"arrow-down",245201.905000951,2024,400426.664217836,267616.919877275,5,"Central Coast Sockeye",75,"1950-2024"
"Central Coast","Sockeye","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,5,NA,NA,NA
