"region","species","spawner_current_abundance","spawner_current_years","spawner_average_abundance","spawner_average_years","total_current_abundance","total_current_years","total_average_abundance","total_average_years","nCUs","text"
"Yukon","Chinook","21,500","2020-2025","46,000","1982-2025","24,800","2020-2025","93,600","1982-2025",12,"Numbers represent absolute estimates of Canadian-origin Chinook for the Yukon River mainstem."
"Yukon","Chum","19,800","2022-2025","76,000","1980-2025","20,300","2022-2025","126,800","2001-2025",7,"Numbers represent absolute estimates of Canadian-origin chum salmon for the Yukon River mainstem."
"Yukon","Coho","?","","?","","?","","?","",1,"A question mark indicates a lack of readily accessible data."
"Northern Transboundary","Chinook","29,900","2020-2024","55,700","1976-2024","32,200","2020-2024","68,500","1976-2024",9,"Numbers represent the sum of estimated abundance for three major watersheds (Alsek, Stikine, and Taku)."
"Northern Transboundary","Chum","59","2022-2025","220","1984-2025","?","","?","",5,"Numbers represent counts from a single fish wheel on the Taku River. A question mark indicates a lack of readily accessible data."
"Northern Transboundary","Coho","67,200","2021-2025","78,300","1987-2025","92,300","2021-2025","112,000","1992-2025",8,"Numbers represent estimated abundance for a single watershed (Taku)."
"Northern Transboundary","Pink","1,200","2024-2025","8,500","1984-2025","?","","?","",2,"Numbers represent counts from a single fish wheel on the Taku River. A question mark indicates a lack of readily accessible data."
"Northern Transboundary","Sockeye","206,400","2021-2025","140,900","1984-2025","330,800","2021-2025","319,600","1984-2025",15,"Numbers represent the sum of estimated abundance for two major watersheds (Stikine and Taku)."
"Northern Transboundary","Steelhead","18","2021-2025","44","1987-2025","?","","?","",5,"A question mark indicates a lack of readily accessible data."
"Haida Gwaii","Chinook","1,800","2021-2025","1,600","1935-2025","?","","?","",2,"Numbers represent estimated abundance for the Yakoun River. A question mark indicates a lack of readily accessible data."
"Haida Gwaii","Chum","61,500","2020-2024","232,500","1950-2024","?","","?","",5,"Numbers represent the sum of estimated abundance for 183 surveyed streams in the region. A question mark indicates a lack of readily accessible data."
