"region","species","type","current_status","short_trend_per_yr","short_trend_total","short_trend_years","short_trend_cat","long_trend_per_year","long_trend_total","long_trend_years","long_trend_cat","current_abundance","current_abundance_year","average_abundance","previous_gen_abundance","gen_length","nyears","rangeyears"
"Yukon","Chinook","Spawners",-50,-2.4,-33.8,"2007-2024","arrow-down",-0.5,-18.5,"1982-2024","arrows-left-right",23593,2024,46738,58263,6,43,"1982-2024"
"Yukon","Chinook","Run Size",-68,-5.2,-59.6,"2007-2024","arrow-down",-3.3,-75.7,"1982-2024","arrow-down",30415,2024,96469,72588,6,43,"1982-2024"
"Yukon","Chum","Spawners",-74,-18.3,-89.2,"2013-2024","arrow-down",2.1,150.4,"1980-2024","arrow-up",20672,2024,78297,109762,4,45,"1980-2024"
"Yukon","Chum","Run Size",-85,-21.6,-93.1,"2013-2024","arrow-down",-3.7,-58.4,"2001-2024","arrows-left-right",21005,2024,136947,162599,4,24,"2001-2024"
"Yukon","Coho","Spawners",NA,NA,NA,"NA-NA","",NA,NA,"NA-NA","",NA,NA,NA,NA,NA,NA,NA
"Yukon","Coho","Run Size",NA,NA,NA,"NA-NA","",NA,NA,"NA-NA","",NA,NA,NA,NA,NA,NA,NA
"Northern Transboundary","Chinook","Spawners",-46,-4.8,-49.9,"2010-2024","arrow-down",-1.3,-45.7,"1976-2024","arrow-down",29921,2024,55702,26281,5,49,"1976-2024"
"Northern Transboundary","Chinook","Run Size",-53,-7.7,-67.4,"2010-2024","arrow-down",-0.9,-35.7,"1976-2024","arrow-down",32247,2024,68481,32351,5,49,"1976-2024"
"Northern Transboundary","Chum","Spawners",-76,-13.4,-79.5,"2013-2024","arrow-down",-5.2,-88.1,"1984-2024","arrow-down",55,2024,230,79,4,41,"1984-2024"
"Northern Transboundary","Chum","Run Size",NA,NA,NA,"NA-NA","",NA,NA,"NA-NA","",NA,NA,NA,NA,4,NA,NA
"Northern Transboundary","Coho","Spawners",-14,-3,-35,"2010-2024","arrow-down",0.6,23.9,"1987-2024","arrows-left-right",68447,2024,79287,66428,5,38,"1987-2024"
"Northern Transboundary","Coho","Run Size",-22,-3.7,-40.6,"2010-2024","arrow-down",-1.2,-31.8,"1992-2024","arrow-down",88863,2024,113408,90981,5,33,"1992-2024"
"Northern Transboundary","Pink","Spawners",-84,-23.8,-74.3,"2019-2024","arrows-left-right",-3,-69.9,"1984-2024","arrow-down",1420,2024,8609,7418,2,41,"1984-2024"
"Northern Transboundary","Pink","Run Size",NA,NA,NA,"NA-NA","",NA,NA,"NA-NA","",NA,NA,NA,NA,2,NA,NA
"Northern Transboundary","Sockeye","Spawners",34,1.7,26.5,"2010-2024","arrow-up",0.4,15.7,"1984-2024","arrows-left-right",187383,2024,139553,142543,5,41,"1984-2024"
"Northern Transboundary","Sockeye","Run Size",-11,-2,-24.5,"2010-2024","arrow-down",0.1,6,"1984-2024","arrows-left-right",281941,2024,318359,296228,5,41,"1984-2024"
"Northern Transboundary","Steelhead","Spawners",NA,NA,NA,"NA-NA","",NA,NA,"NA-NA","",NA,NA,NA,NA,NA,NA,NA
