"region","species","year","spawners","spawners_short_trend","spawners_long_trend","total_return","total_return_short_trend","total_return_long_trend"
"Yukon","Chinook",1982,-5.4,NA,-0.2,44.5,NA,82.3
"Yukon","Chinook",1983,-4.4,NA,-0.2,50.6,NA,77.1
"Yukon","Chinook",1984,-0.2,NA,-0.2,35.1,NA,72
"Yukon","Chinook",1985,-3.3,NA,-0.1,36.9,NA,67
"Yukon","Chinook",1986,-4.7,NA,-0.1,40.5,NA,62.2
"Yukon","Chinook",1987,-5.6,NA,-0.1,45.1,NA,57.5
"Yukon","Chinook",1988,-7.1,NA,-0.1,44.8,NA,52.9
"Yukon","Chinook",1989,-2.2,NA,-0.1,45.4,NA,48.5
"Yukon","Chinook",1990,0.5,NA,-0.1,53.1,NA,44.2
"Yukon","Chinook",1991,1.5,NA,-0.1,49.2,NA,40.1
"Yukon","Chinook",1992,0.5,NA,-0.1,48.4,NA,36
"Yukon","Chinook",1993,-1.6,NA,-0.1,41.6,NA,32.1
"Yukon","Chinook",1994,4.3,NA,-0.1,45.7,NA,28.3
"Yukon","Chinook",1995,1.3,NA,-0.1,46.3,NA,24.6
"Yukon","Chinook",1996,5.2,NA,-0.1,51,NA,21
"Yukon","Chinook",1997,9.3,NA,0,57.7,NA,17.5
"Yukon","Chinook",1998,7.5,NA,0,43.7,NA,14.1
"Yukon","Chinook",1999,8,NA,0,39.6,NA,10.8
"Yukon","Chinook",2000,-5.2,NA,0,14.6,NA,7.6
"Yukon","Chinook",2001,-4.6,NA,0,2.4,NA,4.5
"Yukon","Chinook",2002,-13.1,NA,0,-10.5,NA,1.5
"Yukon","Chinook",2003,-7,NA,0,-11.6,NA,-1.5
"Yukon","Chinook",2004,-2.1,NA,0,-7.4,NA,-4.3
"Yukon","Chinook",2005,8.3,NA,0,-5.6,NA,-7.1
"Yukon","Chinook",2006,25.5,13.5,0,8.1,2.4,-9.7
"Yukon","Chinook",2007,17.2,12,0,8.6,-2.1,-12.4
"Yukon","Chinook",2008,12.9,10.5,0,4,-6.5,-14.9
"Yukon","Chinook",2009,9,9.1,0.1,-5,-10.7,-17.3
"Yukon","Chinook",2010,1.7,7.6,0.1,-15.1,-14.6,-19.7
"Yukon","Chinook",2011,-4.6,6.2,0.1,-22.5,-18.4,-22
"Yukon","Chinook",2012,-14.4,4.8,0.1,-33.3,-22,-24.3
"Yukon","Chinook",2013,-17.1,3.4,0.1,-42.2,-25.5,-26.5
"Yukon","Chinook",2014,-8,2,0.1,-41.9,-28.8,-28.6
"Yukon","Chinook",2015,-4.4,0.7,0.1,-41.9,-32,-30.7
"Yukon","Chinook",2016,8.7,-0.7,0.1,-38.6,-35,-32.7
"Yukon","Chinook",2017,15.9,-2,0.1,-35.9,-37.9,-34.6
"Yukon","Chinook",2018,26.2,-3.3,0.1,-30.8,-40.7,-36.5
